matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt_dual,baseline,0.015353,0.00118569,1.33e-06,1
3elt_dual,tuned,0.0220427,0.00116492,1.2e-06,1
662_bus,baseline,0.00661273,0.000440345,1.36e-06,1
662_bus,tuned,0.00433394,0.000422435,1.22e-06,1
adder_dcop_06,baseline,0.00668117,0.000538427,1.4e-06,1
adder_dcop_06,tuned,0.00409861,0.000527027,1.05e-06,1
adder_dcop_07,baseline,0.00651739,0.000575558,1.46e-06,1
adder_dcop_07,tuned,0.00401311,0.000523857,9.4e-07,1
adder_dcop_08,baseline,0.00612727,0.000534587,1.43e-06,1
adder_dcop_08,tuned,0.00415054,0.000531867,9.4e-07,1
adder_dcop_09,baseline,0.0060204,0.000590437,1.39e-06,1
adder_dcop_09,tuned,0.0041806,0.000524367,9.3e-07,1
adder_dcop_19,baseline,0.00615934,0.000530126,1.43e-06,1
adder_dcop_19,tuned,0.00417585,0.000529967,9.6e-07,1
adder_dcop_21,baseline,0.00593674,0.000550777,1.6e-06,1
adder_dcop_21,tuned,0.00414362,0.000525927,1.13e-06,1
adder_dcop_23,baseline,0.00598925,0.000535926,1.41e-06,1
adder_dcop_23,tuned,0.00416138,0.000521617,9.8e-07,1
adder_dcop_34,baseline,0.00614146,0.000532128,1.61e-06,1
adder_dcop_34,tuned,0.00422324,0.000524298,9.8e-07,1
adder_dcop_35,baseline,0.00597055,0.000525317,1.72e-06,1
adder_dcop_35,tuned,0.00419202,0.000517118,1.21e-06,1
adder_dcop_42,baseline,0.00596382,0.000535088,1.41e-06,1
adder_dcop_42,tuned,0.00422753,0.000526968,9.8e-07,1
adder_dcop_53,baseline,0.00600315,0.000539968,1.46e-06,1
adder_dcop_53,tuned,0.0040772,0.000535378,9.4e-07,1
adder_dcop_66,baseline,0.00605298,0.000530478,1.42e-06,1
adder_dcop_66,tuned,0.00432837,0.000527968,9.6e-07,1
adder_trans_01,baseline,0.00591619,0.000546828,1.25e-06,1
adder_trans_01,tuned,0.00414957,0.000534058,8.9e-07,1
af_2_k101,baseline,0.0068956,0.330568,2.05e-06,1
af_2_k101,tuned,0.00450787,0.368791,2.11e-06,1
af_3_k101,baseline,0.00622605,0.330603,2.43e-06,1
af_3_k101,tuned,0.00423814,0.327877,2.11e-06,1
af_shell5,baseline,0.00615896,0.275662,2.04e-06,5
af_shell5,tuned,0.00439406,0.294623,2.25e-06,1
af_shell6,baseline,0.00624162,0.27563,1.83e-06,5
af_shell6,tuned,0.00439435,0.294581,2.26e-06,1
aft01,baseline,0.00601471,0.00236542,1.39e-06,1
aft01,tuned,0.00424952,0.00235713,9.1e-07,1
airfoil1_dual,baseline,0.00608512,0.001145,1.25e-06,1
airfoil1_dual,tuned,0.0043236,0.00110386,8.7e-07,1
