matrix,Version,Initialization,FeatureExtraction,Inference,Format
2D_27628_bjtcai,baseline,0.0075289,0.00866119,1.06e-06,1
2D_27628_bjtcai,tuned,0.00421052,0.00858516,8.5e-07,1
494_bus,baseline,0.00529556,7.085e-05,9.4e-07,0
494_bus,tuned,0.00358918,6.7391e-05,7.4e-07,0
ACTIVSg70K,baseline,0.00548186,0.00492833,9.5e-07,0
ACTIVSg70K,tuned,0.0035817,0.00483255,7.8e-07,0
adder_dcop_03,baseline,0.00520778,0.000289263,1.08e-06,1
adder_dcop_03,tuned,0.00348458,0.000282372,8.8e-07,1
adder_dcop_12,baseline,0.00516344,0.000288833,1.08e-06,1
adder_dcop_12,tuned,0.00338191,0.000287052,8.7e-07,1
adder_dcop_15,baseline,0.00514565,0.000283463,1.09e-06,1
adder_dcop_15,tuned,0.00338644,0.000285653,8.6e-07,1
adder_dcop_17,baseline,0.00521596,0.000287903,1.08e-06,1
adder_dcop_17,tuned,0.00353505,0.000281353,8.5e-07,1
adder_dcop_18,baseline,0.00545921,0.000286433,1.08e-06,1
adder_dcop_18,tuned,0.00347632,0.000285403,8.9e-07,1
adder_dcop_21,baseline,0.00543533,0.000288373,1.13e-06,1
adder_dcop_21,tuned,0.00369138,0.000279192,9e-07,1
adder_dcop_33,baseline,0.00539518,0.000285742,1.08e-06,1
adder_dcop_33,tuned,0.0035099,0.000279032,8.7e-07,1
adder_dcop_34,baseline,0.00521244,0.000290053,1.15e-06,1
adder_dcop_34,tuned,0.00345539,0.000282912,8.6e-07,1
adder_dcop_36,baseline,0.00522229,0.000286142,1.08e-06,1
adder_dcop_36,tuned,0.0035683,0.000281672,8.6e-07,1
adder_dcop_37,baseline,0.0054105,0.000290572,1.11e-06,1
adder_dcop_37,tuned,0.00364958,0.000301393,8.7e-07,1
adder_dcop_41,baseline,0.00519241,0.000289043,1.14e-06,1
adder_dcop_41,tuned,0.00352149,0.000303652,9.1e-07,1
adder_dcop_65,baseline,0.00523614,0.000287522,1.09e-06,1
adder_dcop_65,tuned,0.00354056,0.000286673,8.6e-07,1
adder_dcop_66,baseline,0.00520079,0.000287063,1.06e-06,1
adder_dcop_66,tuned,0.00343796,0.000280832,8.2e-07,1
af_1_k101,baseline,0.00565581,0.344275,1.77e-06,1
af_1_k101,tuned,0.00373748,0.343937,1.61e-06,1
aft01,baseline,0.00550047,0.00254608,1.22e-06,1
aft01,tuned,0.0036908,0.00248724,9.9e-07,1
airfoil1,baseline,0.0052763,0.000476754,1.17e-06,1
airfoil1,tuned,0.00352071,0.000474485,9e-07,1
amazon0302,baseline,0.00574423,0.0280721,1.59e-06,0
