matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt_dual,baseline,0.933198,0.00125101,0.000158142,1
3elt_dual,tuned,0.465523,0.00115355,0.000120092,1
662_bus,baseline,0.464654,0.000437375,0.000134722,1
662_bus,tuned,0.492739,0.000434025,0.000134462,1
adder_dcop_06,baseline,0.476113,0.000540636,0.000134002,1
adder_dcop_06,tuned,0.460244,0.000531797,0.000134181,1
adder_dcop_07,baseline,0.492722,0.000534947,0.000140532,1
adder_dcop_07,tuned,0.464054,0.000532006,0.000130212,1
adder_dcop_08,baseline,0.465116,0.000543496,0.000126662,1
adder_dcop_08,tuned,0.46359,0.000535657,0.000131771,1
adder_dcop_09,baseline,0.494762,0.000548287,0.000135731,1
adder_dcop_09,tuned,0.464817,0.000535816,0.000133142,1
adder_dcop_19,baseline,0.463755,0.000541027,0.000132272,1
adder_dcop_19,tuned,0.464079,0.000547356,0.000137132,1
adder_dcop_21,baseline,0.515219,0.000539067,0.000173612,1
adder_dcop_21,tuned,0.466571,0.000536697,0.000135031,1
adder_dcop_23,baseline,0.469632,0.000542946,0.000134472,1
adder_dcop_23,tuned,0.467448,0.000540517,0.000136612,1
adder_dcop_34,baseline,0.460434,0.000539328,0.000134222,1
adder_dcop_34,tuned,0.461257,0.000526498,0.000133392,1
adder_dcop_35,baseline,0.466415,0.000541928,0.000137512,1
adder_dcop_35,tuned,0.467482,0.000531288,0.000134062,1
adder_dcop_42,baseline,0.469967,0.000550578,0.000129522,1
adder_dcop_42,tuned,0.469323,0.000526538,0.000133432,1
adder_dcop_53,baseline,0.48253,0.000538498,0.000130302,1
adder_dcop_53,tuned,0.468113,0.000529198,0.000128582,1
adder_dcop_66,baseline,0.470138,0.000542668,0.000129522,1
adder_dcop_66,tuned,0.470592,0.000536018,0.000135912,1
adder_trans_01,baseline,0.466268,0.000555039,0.000129662,1
adder_trans_01,tuned,0.464831,0.000556958,0.000128242,1
af_2_k101,baseline,0.465103,0.330379,0.000179652,1
af_2_k101,tuned,0.493134,0.337568,0.000169962,1
af_3_k101,baseline,0.47738,0.330275,0.000179872,1
af_3_k101,tuned,0.481271,0.338325,0.000175022,1
af_shell5,baseline,0.469308,0.275699,0.000172382,3
af_shell5,tuned,0.4724,0.273138,0.000158822,3
af_shell6,baseline,0.47573,0.275854,0.000165562,3
af_shell6,tuned,0.483287,0.273119,0.000167562,3
aft01,baseline,0.474651,0.00246652,0.000131681,1
aft01,tuned,0.47388,0.00239875,0.000130711,1
airfoil1_dual,baseline,0.471956,0.00120719,0.000137052,1
airfoil1_dual,tuned,0.471743,0.00110175,0.000135322,1
airfoil_2d,baseline,0.49889,0.0045823,0.000165042,1
airfoil_2d,tuned,0.470745,0.00463047,0.000139901,1
amazon-2008,baseline,0.565916,0.125361,0.0001867,0
amazon-2008,tuned,0.467428,0.144003,0.00017449,0
Andrews,baseline,0.468541,0.00520288,0.00013803,1
Andrews,tuned,0.494846,0.00521057,0.00013924,1
as-735,baseline,0.466078,0.00056219,0.00013563,1
as-735,tuned,0.464761,0.00051902,0.00012913,1
ASIC_680ks,baseline,0.470243,0.0646039,0.00016635,0
ASIC_680ks,tuned,0.47239,0.0757408,0.00017108,0
astro-ph,baseline,0.494961,0.00282635,0.00012897,1
astro-ph,tuned,0.46693,0.00276627,0.00013556,1
aug2dc,baseline,0.464808,0.000493566,0.000140772,0
aug2dc,tuned,0.468593,0.000441565,0.000138092,0
av41092,baseline,0.480725,0.00220893,0.000149352,0
av41092,tuned,0.510407,0.00214242,0.000149402,0
barth5,baseline,0.470975,0.00203129,0.000136882,1
barth5,tuned,0.508433,0.00206387,0.000139072,1
bayer05,baseline,0.496059,0.000477925,0.000147312,1
bayer05,tuned,0.467913,0.000471595,0.000138912,1
bayer08,baseline,0.468831,0.000483766,0.000132752,1
bayer08,tuned,0.470176,0.000460216,0.000137561,1
bayer09,baseline,0.49606,0.000456736,0.000148452,1
bayer09,tuned,0.469859,0.000415645,0.000136522,1
bcspwr07,baseline,0.470379,0.000587238,0.000143301,1
bcspwr07,tuned,0.472497,0.000563607,0.000138832,1
bcsstk02,baseline,0.50026,0.000496056,0.000132582,1
bcsstk02,tuned,0.488482,0.000500466,0.000137632,1
bcsstk16,baseline,0.470924,0.00515772,0.000138352,1
bcsstk16,tuned,0.469367,0.00457199,0.000133142,1
bcsstk17,baseline,0.500217,0.00610903,0.000140273,1
bcsstk17,tuned,0.475991,0.00615345,0.000133582,1
bcsstk20,baseline,0.471393,0.000509299,0.000134482,1
bcsstk20,tuned,0.473418,0.000493458,0.000125712,1
bcsstk21,baseline,0.878695,0.00100666,0.00014576,1
bcsstk21,tuned,0.466823,0.00114706,0.00013001,1
bcsstk32,baseline,0.492718,0.0335355,0.000171311,1
bcsstk32,tuned,0.4799,0.0324457,0.000156981,1
bcsstk35,baseline,0.465595,0.0227851,0.00014188,1
bcsstk35,tuned,0.466316,0.0277638,0.00015319,1
bcsstk38,baseline,0.492271,0.00665125,0.00013043,1
bcsstk38,tuned,0.46573,0.00661985,0.00012835,1
bcsstm03,baseline,0.471563,0.000396351,0.00011053,2
bcsstm03,tuned,0.485352,0.000368921,0.00010885,2
bcsstm09,baseline,0.495458,0.000425191,0.00011282,2
bcsstm09,tuned,0.466024,0.000416911,0.00010304,2
bcsstm27,baseline,0.465899,0.00178318,0.00013498,1
bcsstm27,tuned,0.484244,0.00181379,0.00012975,1
bcsstm37,baseline,0.496153,0.0010506,0.00011551,2
bcsstm37,tuned,0.46947,0.00100422,0.000110241,2
bcsstm38,baseline,0.468336,0.000784602,0.00013752,1
bcsstm38,tuned,0.469049,0.000767472,0.0001266,1
bcsstm39,baseline,0.473137,0.00221665,0.00010932,2
bcsstm39,tuned,0.47389,0.00216117,0.00010813,2
BenElechi1,baseline,0.488496,0.173962,0.000178651,1
BenElechi1,tuned,0.487824,0.110069,0.00017786,1
big,baseline,0.499935,0.00204613,0.000136241,1
big,tuned,0.473579,0.00200628,0.00013285,1
bips98_1142,baseline,0.47268,0.00124113,0.000131401,1
bips98_1142,tuned,0.470682,0.00124859,0.00013334,1
bips98_606,baseline,0.473367,0.000955352,0.00013009,1
bips98_606,tuned,0.474139,0.00100437,0.00012896,1
bmw7st_1,baseline,0.478096,0.109686,0.00018762,1
bmw7st_1,tuned,0.475179,0.105832,0.000177891,1
bodyy6,baseline,0.471336,0.00345834,0.0001272,1
bodyy6,tuned,0.476051,0.0032429,0.000130491,1
boyd1,baseline,0.557584,0.00779992,0.000149793,0
boyd1,tuned,0.465569,0.00776443,0.000134982,0
bp_1000,baseline,0.467647,0.000413157,0.000136372,1
bp_1000,tuned,0.489446,0.000402866,0.000122632,1
bp_1600,baseline,0.471068,0.000421456,0.000139592,1
bp_1600,tuned,0.469526,0.000403156,0.000127402,1
bp_600,baseline,0.471755,0.000405346,0.000132932,1
bp_600,tuned,0.472014,0.000395136,0.000128532,1
bratu3d,baseline,0.465028,0.000741741,0.000139272,1
bratu3d,tuned,0.493033,0.000677121,0.000132022,1
bwm200,baseline,0.467552,0.000412306,0.000114442,2
bwm200,tuned,0.468452,0.000405426,0.000103532,2
c-18,baseline,0.466485,0.000556638,0.000131522,1
c-18,tuned,0.507352,0.000552128,0.000155303,1
c-26,baseline,0.469459,0.000732331,0.000134302,1
c-26,tuned,0.47081,0.000744091,0.000130622,1
c-34,baseline,0.467075,0.000953975,0.000140462,1
c-34,tuned,0.496388,0.000961215,0.000179173,1
c-48,baseline,0.470193,0.00198251,0.000136812,0
c-48,tuned,0.469401,0.00195611,0.000142372,0
c-58,baseline,0.500372,0.003625,0.000158142,0
c-58,tuned,0.474267,0.00358603,0.000137152,0
c-62,baseline,0.468174,0.0038933,0.000134412,0
c-62,tuned,0.493885,0.00394949,0.000146212,0
c-64b,baseline,0.47321,0.00469574,0.000135013,0
c-64b,tuned,0.469122,0.00473451,0.000125442,0
c-67b,baseline,0.482097,0.00534975,0.000126342,0
c-67b,tuned,0.477418,0.00528472,0.000129752,0
c-73,baseline,0.473094,0.0140181,0.000139532,0
c-73,tuned,0.468083,0.0141242,0.000140382,0
cage,baseline,0.500988,0.000428907,0.000149682,1
cage,tuned,0.467828,0.000418477,0.000127292,1
cage10,baseline,0.470173,0.0023889,0.000136912,1
cage10,tuned,0.497749,0.00227711,0.000163853,1
cage4,baseline,0.470886,0.000374166,0.000115952,1
cage4,tuned,0.468811,0.000372526,0.000115321,1
cage6,baseline,0.469853,0.000415106,0.000128942,1
cage6,tuned,0.498443,0.000414306,0.000175213,1
ca-HepPh,baseline,0.47688,0.000952415,0.000130872,1
ca-HepPh,tuned,0.47781,0.000913054,0.000133233,1
caidaRouterLevel,baseline,0.47149,0.0062711,0.000148452,0
caidaRouterLevel,tuned,0.470304,0.00592109,0.000143563,0
can_1072,baseline,0.467637,0.000574239,0.000129872,1
can_1072,tuned,0.493523,0.000556078,0.000132712,1
can_144,baseline,0.469066,0.000413637,0.000140852,1
can_144,tuned,0.46802,0.000406367,0.000131952,1
can_634,baseline,0.46565,0.000543868,0.000132812,1
can_634,tuned,0.491434,0.000554778,0.000127252,1
can_715,baseline,0.469618,0.000533558,0.000132422,1
can_715,tuned,0.467928,0.000537868,0.000131042,1
can_838,baseline,0.470532,0.000513898,0.000133972,1
can_838,tuned,0.495721,0.000525208,0.000170182,1
can_96,baseline,0.488344,0.000418787,0.000117731,2
can_96,tuned,0.474229,0.000437337,0.000122532,2
cavity16,baseline,0.554923,0.00332502,0.000149873,1
cavity16,tuned,0.469196,0.00332938,0.000124332,1
cavity26,baseline,0.494018,0.00332051,0.000142582,1
cavity26,tuned,0.466241,0.00362091,0.000133222,1
cdde1,baseline,0.465726,0.000515458,0.000116011,2
cdde1,tuned,0.46812,0.000555148,0.000120052,2
cdde3,baseline,0.492711,0.000532848,0.000110312,2
cdde3,tuned,0.467154,0.000552339,0.000108632,2
cdde4,baseline,0.460445,0.000550198,0.000122722,2
cdde4,tuned,0.460779,0.000553798,0.000104962,2
cegb2802,baseline,0.49342,0.0037963,0.000131792,1
cegb2802,tuned,0.465621,0.0044058,0.000135402,1
cell1,baseline,0.461244,0.00130128,0.000139112,1
cell1,tuned,0.477075,0.00126897,0.000126642,1
ch7-8-b5,baseline,0.465024,0.00109918,0.000158392,1
ch7-8-b5,tuned,0.463993,0.000971315,0.000146662,1
chem_master1,baseline,0.464939,0.0066744,0.000110022,2
chem_master1,tuned,0.464504,0.00663555,0.000112342,2
chesapeake,baseline,0.470243,0.000393556,0.000133912,1
chesapeake,tuned,0.472545,0.000387356,0.000134852,1
circuit_2,baseline,0.468617,0.000782362,0.000138842,1
circuit_2,tuned,0.468257,0.000765422,0.000137112,1
circuit204,baseline,0.463534,0.000464187,0.000141352,1
circuit204,tuned,0.463673,0.000470887,0.000133122,1
ck104,baseline,0.4937,0.000420567,0.000129882,1
ck104,tuned,0.466403,0.000412626,0.000127572,1
coater2,baseline,0.471027,0.00364197,0.000126662,1
coater2,tuned,0.49311,0.00290882,0.000136412,1
com-LiveJournal,baseline,0.468396,0.259555,0.000286845,0
com-LiveJournal,tuned,0.497753,0.289267,0.000175143,0
commanche_dual,baseline,0.465844,0.0011274,0.000133462,1
commanche_dual,tuned,0.471384,0.00109547,0.000143292,1
comsol,baseline,0.501087,0.000804753,0.000137512,1
comsol,tuned,0.490366,0.000782032,0.000135542,1
cop20k_A,baseline,0.473687,0.0246263,0.000181213,1
cop20k_A,tuned,0.473798,0.0247954,0.000167383,1
CoupCons3D,baseline,0.486951,0.197389,0.000176483,1
CoupCons3D,tuned,0.476182,0.155204,0.000170872,1
crankseg_1,baseline,0.467907,0.0560252,0.000179062,1
crankseg_1,tuned,0.469079,0.0464196,0.000176703,1
crashbasis,baseline,0.470489,0.020425,0.000148702,1
crashbasis,tuned,0.47021,0.0235295,0.000142182,1
crplat2,baseline,0.478054,0.0127874,0.000152983,1
crplat2,tuned,0.504568,0.0148506,0.000156612,1
cryg2500,baseline,0.468183,0.000762022,0.000122962,2
cryg2500,tuned,0.466599,0.000748472,0.000111561,2
crystk01,baseline,0.492999,0.00455581,0.000149342,1
crystk01,tuned,0.465006,0.00457788,0.000134593,1
crystm01,baseline,0.473134,0.00185775,0.000135022,2
crystm01,tuned,0.467115,0.00183223,0.000120932,2
CSphd,baseline,0.494514,0.000439197,0.000138122,1
CSphd,tuned,0.471712,0.000396827,0.000139332,1
Cube_Coup_dt0,baseline,0.480232,1.18336,0.000171303,1
Cube_Coup_dt0,tuned,0.507215,1.26803,0.000176063,1
CurlCurl_1,baseline,0.568208,0.0432752,0.000182492,1
CurlCurl_1,tuned,0.466721,0.0636442,0.000182933,1
cz10228,baseline,0.466367,0.00322757,0.000128452,1
cz10228,tuned,0.466624,0.00322851,0.000135782,1
darcy003,baseline,0.492952,0.0312327,0.000166153,1
darcy003,tuned,0.466479,0.0313157,0.000166602,1
dataset18mfeatmorphological_10NN,baseline,0.469615,0.000575459,0.000134902,1
dataset18mfeatmorphological_10NN,tuned,0.468751,0.000544739,0.000130801,1
dc1,baseline,0.468887,0.0147624,0.000125812,0
dc1,tuned,0.46598,0.0148607,0.000125332,0
de2010,baseline,0.491396,0.000901593,0.000131802,1
de2010,tuned,0.465491,0.000814132,0.000130422,1
delaunay_n11,baseline,0.468729,0.00065832,0.000132252,1
delaunay_n11,tuned,0.466607,0.000565189,0.000131872,1
delaunay_n20,baseline,0.493704,0.137751,0.000170493,1
delaunay_n20,tuned,0.468649,0.137896,0.000171643,1
delaunay_n23,baseline,0.464584,1.09587,0.000305345,1
delaunay_n23,tuned,0.492666,1.09595,0.000296064,1
dendrimer,baseline,0.471162,0.00106419,0.000127871,1
dendrimer,tuned,0.499934,0.000946994,0.000130302,1
dgreen,baseline,0.471489,0.123312,0.000177613,1
dgreen,tuned,0.497228,0.119604,0.000172722,1
dolphins,baseline,0.476035,0.000398866,0.000130782,1
dolphins,tuned,0.470942,0.000378045,0.000128602,1
d_ss,baseline,0.496572,0.000383296,0.000126452,1
d_ss,tuned,0.469529,0.000371176,0.000127042,1
dwt_234,baseline,0.470841,0.000416177,0.000126082,1
dwt_234,tuned,0.47096,0.000405386,0.000128632,1
dwt_607,baseline,0.467167,0.000501107,0.000127492,1
dwt_607,tuned,0.497937,0.000493067,0.000135553,1
engine,baseline,0.470737,0.0428023,0.000181232,1
engine,tuned,0.472005,0.0433306,0.000182813,1
epb1,baseline,0.473746,0.00325157,0.000118041,1
epb1,tuned,0.4746,0.00321634,0.000123372,1
Erdos02,baseline,0.471054,0.000462487,0.000134942,1
Erdos02,tuned,0.499297,0.000414526,0.000133052,1
Erdos972,baseline,0.468542,0.000419686,0.000127902,1
Erdos972,tuned,0.468777,0.000410256,0.000131782,1
