matrix,Version,Initialization,FeatureExtraction,Inference,Format
2D_27628_bjtcai,baseline,0.613432,0.00849648,6.2851e-05,1
2D_27628_bjtcai,tuned,0.445287,0.00847988,5.5981e-05,1
494_bus,baseline,0.447689,7.491e-05,2.8041e-05,0
494_bus,tuned,0.447414,7.119e-05,2.8001e-05,0
ACTIVSg70K,baseline,0.445348,0.00496724,3.776e-05,0
ACTIVSg70K,tuned,0.442084,0.00496322,3.471e-05,0
adder_dcop_03,baseline,0.442801,0.000289932,3.4921e-05,1
adder_dcop_03,tuned,0.442745,0.000285813,3.056e-05,1
adder_dcop_12,baseline,0.443134,0.000288883,3.416e-05,1
adder_dcop_12,tuned,0.441672,0.000290512,3.079e-05,1
adder_dcop_15,baseline,0.449301,0.000290093,3.176e-05,1
adder_dcop_15,tuned,0.448375,0.000283332,3.1981e-05,1
adder_dcop_17,baseline,0.449407,0.000289232,3.362e-05,1
adder_dcop_17,tuned,0.448935,0.000286682,3.3281e-05,1
adder_dcop_18,baseline,0.442696,0.000289143,3.321e-05,1
adder_dcop_18,tuned,0.441466,0.000285703,3.169e-05,1
adder_dcop_21,baseline,0.446744,0.000288973,3.35e-05,1
adder_dcop_21,tuned,0.44584,0.000299892,3.2911e-05,1
adder_dcop_33,baseline,0.435744,0.000290493,3.159e-05,1
adder_dcop_33,tuned,0.437763,0.000286142,3.031e-05,1
adder_dcop_34,baseline,0.443812,0.000288382,3.123e-05,1
adder_dcop_34,tuned,0.443696,0.000286762,3.14e-05,1
adder_dcop_36,baseline,0.446254,0.000288492,3.491e-05,1
adder_dcop_36,tuned,0.446154,0.000286792,3.177e-05,1
adder_dcop_37,baseline,0.435841,0.000287383,3.125e-05,1
adder_dcop_37,tuned,0.437545,0.000284293,2.974e-05,1
adder_dcop_41,baseline,0.446949,0.000290272,4.1741e-05,1
adder_dcop_41,tuned,0.443764,0.000284842,3.129e-05,1
adder_dcop_65,baseline,0.436266,0.000289403,2.977e-05,1
adder_dcop_65,tuned,0.436967,0.000286872,2.926e-05,1
adder_dcop_66,baseline,0.444802,0.000291572,4.9161e-05,1
adder_dcop_66,tuned,0.446189,0.000292092,3.2071e-05,1
af_1_k101,baseline,0.445439,0.352088,7.7181e-05,1
af_1_k101,tuned,0.450173,0.352242,7.277e-05,1
aft01,baseline,0.44101,0.00251971,4.6541e-05,1
aft01,tuned,0.443672,0.0025522,4.509e-05,1
airfoil1,baseline,0.444124,0.000493695,4.016e-05,1
airfoil1,tuned,0.448201,0.000515625,4.338e-05,1
amazon0302,baseline,0.444878,0.0281969,5.2091e-05,0
amazon0302,tuned,0.449996,0.028192,5.1891e-05,0
analytics,baseline,0.473009,0.049375,6.9171e-05,1
analytics,tuned,0.454726,0.0492297,6.932e-05,1
apache1,baseline,0.478018,0.00989301,4.417e-05,2
apache1,tuned,0.448572,0.00993477,4.339e-05,2
apache2,baseline,0.443342,0.0875859,7.515e-05,1
apache2,tuned,0.444957,0.0869475,7.197e-05,1
AS365,baseline,0.445488,0.879531,8.0121e-05,0
AS365,tuned,0.447285,0.880146,7.4841e-05,0
ash292,baseline,0.448613,7.334e-05,5.2871e-05,1
ash292,tuned,0.453023,7.007e-05,5.2531e-05,1
ash85,baseline,0.444776,4.2351e-05,3.917e-05,1
ash85,tuned,0.449692,3.802e-05,3.6411e-05,1
asia_osm,baseline,0.534947,0.684224,5.8271e-05,0
asia_osm,tuned,0.45492,0.684164,5.9541e-05,0
aug2dc,baseline,0.439645,0.00195165,2.9201e-05,0
aug2dc,tuned,0.441573,0.00193055,2.982e-05,0
barrier2-1,baseline,0.44493,0.081758,0.00011025,1
barrier2-1,tuned,0.440927,0.081909,0.000109391,1
barrier2-10,baseline,0.47611,0.08536,0.000106581,1
barrier2-10,tuned,0.442845,0.0844435,0.00010823,1
bauru5727,baseline,0.444238,0.00317247,2.853e-05,0
bauru5727,tuned,0.443077,0.00315655,3.017e-05,0
bayer05,baseline,0.444882,0.000642923,5.16e-05,3
bayer05,tuned,0.449347,0.000650272,5.2511e-05,3
bayer08,baseline,0.441101,0.000639513,4.742e-05,3
bayer08,tuned,0.442994,0.000649193,5.166e-05,3
bbmat,baseline,0.443521,0.0383846,6.8701e-05,1
bbmat,tuned,0.443374,0.0377388,6.828e-05,1
bcspwr06,baseline,0.443013,0.000146431,2.838e-05,0
bcspwr06,tuned,0.441,0.000154021,2.706e-05,0
bcsstk02,baseline,0.449053,0.000129551,3.491e-05,1
bcsstk02,tuned,0.450284,0.00012485,3.547e-05,1
bcsstk03,baseline,0.445024,4.489e-05,4.005e-05,1
bcsstk03,tuned,0.446741,4.161e-05,4.043e-05,1
bcsstk04,baseline,0.446141,0.0001063,3.555e-05,1
bcsstk04,tuned,0.446207,0.00010648,3.407e-05,1
bcsstk10,baseline,0.453759,0.000463231,3.843e-05,1
bcsstk10,tuned,0.445906,0.00046645,3.983e-05,1
bcsstk11,baseline,0.445842,0.000695851,3.47e-05,1
bcsstk11,tuned,0.446927,0.000687631,3.311e-05,1
bcsstk19,baseline,0.449889,0.00017413,5.769e-05,1
bcsstk19,tuned,0.450253,0.00016601,5.531e-05,1
bcsstk21,baseline,0.44766,0.00052758,4.735e-05,1
bcsstk21,tuned,0.447617,0.00053467,4.809e-05,1
bcsstk30,baseline,0.444059,0.0444193,6.81e-05,1
bcsstk30,tuned,0.447251,0.0443619,6.719e-05,1
bcsstk33,baseline,0.446698,0.013385,5.877e-05,1
bcsstk33,tuned,0.450015,0.0127353,5.544e-05,1
