matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.0429925,0.00110261,1.743e-06,1
494_bus,tuned,0.0704901,0.000931163,4.21e-07,1
685_bus,baseline,0.00185623,0.00141056,2.104e-06,3
685_bus,tuned,0.00139887,0.00107237,3.81e-07,3
adder_dcop_04,baseline,0.00190947,0.00106546,1.393e-06,1
adder_dcop_04,tuned,0.00130773,0.000909211,2.7e-07,1
adder_dcop_10,baseline,0.00194292,0.00107105,1.423e-06,1
adder_dcop_10,tuned,0.00132276,0.000907438,2.71e-07,1
adder_dcop_11,baseline,0.0018798,0.00106032,1.292e-06,1
adder_dcop_11,tuned,0.0013097,0.000899915,2.81e-07,1
adder_dcop_12,baseline,0.00195829,0.00106173,1.313e-06,1
adder_dcop_12,tuned,0.00136064,0.000901177,3e-07,1
adder_dcop_13,baseline,0.00200119,0.00106822,1.292e-06,1
adder_dcop_13,tuned,0.00141066,0.000901768,2.6e-07,1
adder_dcop_23,baseline,0.00192415,0.00106388,1.633e-06,1
adder_dcop_23,tuned,0.00129913,0.000907799,2.9e-07,1
adder_dcop_24,baseline,0.00189345,0.00106506,1.442e-06,1
adder_dcop_24,tuned,0.00130917,0.000895176,3.41e-07,1
adder_dcop_26,baseline,0.00193872,0.00106045,1.383e-06,1
adder_dcop_26,tuned,0.00130813,0.000962902,2.81e-07,1
adder_dcop_28,baseline,0.00192165,0.00106082,1.262e-06,1
adder_dcop_28,tuned,0.00132124,0.000904283,3.01e-07,1
adder_dcop_39,baseline,0.00183214,0.00106607,1.452e-06,1
adder_dcop_39,tuned,0.00128664,0.00091327,3.3e-07,1
adder_dcop_40,baseline,0.00177474,0.00106397,1.342e-06,1
adder_dcop_40,tuned,0.0012049,0.000907579,2.8e-07,1
adder_dcop_41,baseline,0.00193885,0.00109744,1.453e-06,1
adder_dcop_41,tuned,0.00134594,0.000899303,3.11e-07,1
adder_dcop_48,baseline,0.00198751,0.00106387,1.302e-06,1
adder_dcop_48,tuned,0.00133806,0.000905014,2.7e-07,1
adder_dcop_58,baseline,0.00193505,0.00106337,1.372e-06,1
adder_dcop_58,tuned,0.00133969,0.000906528,3.1e-07,1
adder_dcop_60,baseline,0.0018038,0.00106402,1.372e-06,1
adder_dcop_60,tuned,0.00126045,0.000901428,3.11e-07,1
af_5_k101,baseline,0.00178423,0.00374754,3.287e-06,3
af_5_k101,tuned,0.00116281,0.00333038,3.5e-07,3
af_shell7,baseline,0.00204611,0.00394178,2.575e-06,3
af_shell7,tuned,0.00132211,0.0034378,2.9e-07,3
aft01,baseline,0.00196905,0.00124186,1.172e-06,1
aft01,tuned,0.0013482,0.00103072,3.7e-07,1
amazon0312,baseline,0.00199432,0.0021832,2.845e-06,1
amazon0312,tuned,0.0014105,0.0018738,3e-07,1
amazon0505,baseline,0.00208504,0.00217833,2.625e-06,1
amazon0505,tuned,0.00143065,0.00188014,3.91e-07,1
amazon0601,baseline,0.00210706,0.00219783,2.464e-06,3
amazon0601,tuned,0.0013963,0.00191465,3.11e-07,1
ar2010,baseline,0.00206359,0.0017842,2.455e-06,1
ar2010,tuned,0.00157921,0.00157793,3.51e-07,1
as-22july06,baseline,0.00197389,0.00112497,1.282e-06,1
as-22july06,tuned,0.00114819,0.000989953,3.31e-07,1
AS365,baseline,0.00211901,0.00641901,2.314e-06,1
AS365,tuned,0.00133946,0.00605175,2.9e-07,1
asia_osm,baseline,0.00218367,0.0193411,2.495e-06,1
asia_osm,tuned,0.00139348,0.0190823,3.2e-07,1
astro-ph,baseline,0.00193733,0.00135782,1.332e-06,1
astro-ph,tuned,0.00132212,0.00116474,2.91e-07,1
atmosmodj,baseline,0.00209192,0.00519939,2.905e-06,2
atmosmodj,tuned,0.00142795,0.0046822,2.71e-07,2
atmosmodl,baseline,0.00185123,0.00580951,2.244e-06,2
atmosmodl,tuned,0.00115166,0.00532239,2.9e-07,2
av41092,baseline,0.00180605,0.0017278,2.284e-06,1
av41092,tuned,0.0011755,0.0014025,3.2e-07,1
b1_ss,baseline,0.00221625,0.000213008,1.322e-06,1
b1_ss,tuned,0.00132564,0.000161603,2.6e-07,3
b2_ss,baseline,0.00191331,0.00107696,1.282e-06,3
b2_ss,tuned,0.00135213,0.000902219,3.61e-07,3
bayer05,baseline,0.00187539,0.00108028,1.372e-06,1
bayer05,tuned,0.00127571,0.00090327,3e-07,1
bayer10,baseline,0.00185549,0.00111681,1.453e-06,1
bayer10,tuned,0.00123262,0.000920964,3.3e-07,1
bcspwr02,baseline,0.00192663,0.00105497,1.232e-06,1
bcspwr02,tuned,0.0012508,0.000889405,2.91e-07,1
bcspwr03,baseline,0.00187805,0.00105066,1.312e-06,1
bcspwr03,tuned,0.00131433,0.000895366,3.8e-07,1
bcspwr07,baseline,0.00191775,0.00115507,1.402e-06,3
bcspwr07,tuned,0.00137209,0.000911236,3.71e-07,3
bcsstk07,baseline,0.0019189,0.0010546,1.343e-06,2
bcsstk07,tuned,0.00133906,0.000895677,3.6e-07,2
bcsstk11,baseline,0.00197442,0.00107812,1.312e-06,1
bcsstk11,tuned,0.00135509,0.000923769,3.6e-07,1
bcsstk15,baseline,0.0019198,0.00110022,1.392e-06,1
bcsstk15,tuned,0.00137919,0.000940871,3.2e-07,1
bcsstk17,baseline,0.00241555,0.00114711,1.563e-06,1
bcsstk17,tuned,0.00133164,0.000984453,3.41e-07,1
bcsstk32,baseline,0.00203338,0.00194812,2.625e-06,1
bcsstk32,tuned,0.00138966,0.00165541,4.41e-07,1
bcsstk33,baseline,0.00173757,0.00157993,2.204e-06,1
bcsstk33,tuned,0.00112528,0.00133745,3.5e-07,1
bcsstk36,baseline,0.00205494,0.00169535,2.425e-06,1
bcsstk36,tuned,0.00133101,0.00146567,3.71e-07,1
bcsstk37,baseline,0.0019841,0.00144274,2.254e-06,1
bcsstk37,tuned,0.00137787,0.0011812,3.51e-07,1
bcsstm36,baseline,0.00172857,0.00115465,1.392e-06,1
bcsstm36,tuned,0.00114331,0.000992899,3.1e-07,1
b_dyn,baseline,0.00199446,0.001064,1.362e-06,3
