matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.134238,0.00113064,2.1681e-05,1
494_bus,tuned,0.134826,0.00100899,1.9867e-05,1
685_bus,baseline,0.133046,0.00150564,1.9997e-05,3
685_bus,tuned,0.129508,0.00115316,1.8494e-05,3
adder_dcop_04,baseline,0.134302,0.00110126,1.9988e-05,1
adder_dcop_04,tuned,0.129872,0.000938398,1.8875e-05,1
adder_dcop_10,baseline,0.131659,0.00115963,2.0489e-05,1
adder_dcop_10,tuned,0.131216,0.000912309,1.9817e-05,1
adder_dcop_11,baseline,0.136581,0.00107964,1.9928e-05,1
adder_dcop_11,tuned,0.135116,0.000913932,1.9036e-05,1
adder_dcop_12,baseline,0.129149,0.00108452,1.9366e-05,1
adder_dcop_12,tuned,0.128807,0.000922097,1.9587e-05,1
adder_dcop_13,baseline,0.151788,0.00115806,2.0739e-05,1
adder_dcop_13,tuned,0.130139,0.000914693,1.9426e-05,1
adder_dcop_23,baseline,0.131549,0.0010936,1.9086e-05,1
adder_dcop_23,tuned,0.135017,0.000983683,2.0007e-05,1
adder_dcop_24,baseline,0.130549,0.00108376,1.9937e-05,1
adder_dcop_24,tuned,0.130138,0.000914403,1.8775e-05,1
adder_dcop_26,baseline,0.135494,0.00113838,2.641e-05,1
adder_dcop_26,tuned,0.135631,0.000921556,1.9226e-05,1
adder_dcop_28,baseline,0.128035,0.00129962,1.9126e-05,1
adder_dcop_28,tuned,0.13438,0.001107,2.4345e-05,1
adder_dcop_39,baseline,0.133791,0.0011631,2.0278e-05,1
adder_dcop_39,tuned,0.134844,0.000919862,2.149e-05,1
adder_dcop_40,baseline,0.135794,0.00109125,2.0559e-05,1
adder_dcop_40,tuned,0.135055,0.000924009,1.9155e-05,1
adder_dcop_41,baseline,0.133581,0.00112955,2.167e-05,1
adder_dcop_41,tuned,0.132306,0.000920043,1.8915e-05,1
adder_dcop_48,baseline,0.133539,0.00117155,2.2592e-05,1
adder_dcop_48,tuned,0.130701,0.000926054,1.8805e-05,1
adder_dcop_58,baseline,0.134076,0.00108586,1.9637e-05,1
adder_dcop_58,tuned,0.129438,0.000974124,1.8585e-05,1
adder_dcop_60,baseline,0.13392,0.00113643,2.3023e-05,1
adder_dcop_60,tuned,0.134299,0.000925282,2.1601e-05,1
af_5_k101,baseline,0.12886,0.00371767,1.4538e-05,3
af_5_k101,tuned,0.129639,0.00334197,1.3536e-05,3
af_shell7,baseline,0.132766,0.00386909,1.2964e-05,3
af_shell7,tuned,0.128743,0.00344316,1.4096e-05,3
aft01,baseline,0.133504,0.00138686,1.7392e-05,1
aft01,tuned,0.129845,0.00116929,1.7423e-05,1
amazon0312,baseline,0.128756,0.00210556,1.8555e-05,1
amazon0312,tuned,0.127509,0.00190335,1.6852e-05,1
amazon0505,baseline,0.132551,0.00194244,2.0328e-05,1
amazon0505,tuned,0.133777,0.00172734,1.6931e-05,1
amazon0601,baseline,0.130753,0.00186806,2.136e-05,1
amazon0601,tuned,0.134336,0.00163874,1.9847e-05,1
ar2010,baseline,0.128969,0.00155797,2.0879e-05,1
ar2010,tuned,0.128903,0.00136246,2.0298e-05,1
as-22july06,baseline,0.136805,0.00111273,1.9106e-05,1
as-22july06,tuned,0.130601,0.000951913,1.8946e-05,1
AS365,baseline,0.137371,0.00648738,1.7142e-05,1
AS365,tuned,0.13126,0.00608907,1.604e-05,1
asia_osm,baseline,0.130235,0.0206515,1.8354e-05,1
asia_osm,tuned,0.131685,0.0203496,1.6791e-05,1
astro-ph,baseline,0.129398,0.00143244,1.9376e-05,1
astro-ph,tuned,0.129361,0.00118543,1.9957e-05,1
