matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.0113668,8.3922e-05,2.033e-06,1
494_bus,tuned,0.0165765,6.4545e-05,3.01e-07,1
685_bus,baseline,0.00185205,8.6458e-05,1.423e-06,1
685_bus,tuned,0.00112302,7.795e-05,4.31e-07,1
adaptive,baseline,0.00900368,0.256491,9.819e-06,1
adaptive,tuned,0.00199479,0.260244,1.102e-06,1
adder_dcop_01,baseline,0.00191879,0.000130803,1.473e-06,1
adder_dcop_01,tuned,0.00111351,0.000121444,4.41e-07,1
adder_dcop_02,baseline,0.00177073,0.000125533,1.432e-06,1
adder_dcop_02,tuned,0.00110171,0.000115693,4.31e-07,1
adder_dcop_06,baseline,0.00173866,0.00012437,1.353e-06,1
adder_dcop_06,tuned,0.00112112,0.00011368,3.11e-07,1
adder_dcop_07,baseline,0.00181853,0.000132026,1.462e-06,1
adder_dcop_07,tuned,0.00112693,0.000114471,4.11e-07,1
adder_dcop_08,baseline,0.00175441,0.000121725,1.423e-06,1
adder_dcop_08,tuned,0.00106415,0.000117277,3.9e-07,1
adder_dcop_09,baseline,0.00169556,0.000122677,1.443e-06,1
adder_dcop_09,tuned,0.00115016,0.000117528,4.21e-07,1
adder_dcop_10,baseline,0.00183176,0.000122937,1.162e-06,1
adder_dcop_10,tuned,0.00109642,0.000117707,3.21e-07,1
adder_dcop_19,baseline,0.00181262,0.000125383,1.453e-06,1
adder_dcop_19,tuned,0.00106423,0.000117918,4.41e-07,1
adder_dcop_35,baseline,0.00181563,0.000122787,1.342e-06,1
adder_dcop_35,tuned,0.00109628,0.000116786,3.31e-07,1
adder_dcop_36,baseline,0.00184106,0.000124842,1.262e-06,1
adder_dcop_36,tuned,0.00113434,0.000117718,2.9e-07,1
adder_dcop_50,baseline,0.0074895,0.000193641,3.578e-06,1
adder_dcop_50,tuned,0.00472577,0.000172942,8.12e-07,1
adder_dcop_54,baseline,0.00449786,0.000186989,2.515e-06,1
adder_dcop_54,tuned,0.00347661,0.000179234,8.81e-07,1
af_4_k101,baseline,0.00341197,0.198012,1.1933e-05,5
af_4_k101,tuned,0.00196972,0.194637,1.572e-06,5
af_5_k101,baseline,0.00335189,0.198154,1.3436e-05,5
af_5_k101,tuned,0.0020311,0.194386,1.674e-06,5
af_shell4,baseline,0.0643949,0.15491,1.1061e-05,5
af_shell4,tuned,0.0667565,0.157345,1.884e-06,5
amazon0302,baseline,0.0292856,0.00664386,3.297e-06,1
amazon0302,tuned,0.00184192,0.00610994,7.81e-07,1
apache1,baseline,0.00303356,0.00909431,2.856e-06,1
apache1,tuned,0.0017544,0.00907738,5.21e-07,1
arc130,baseline,0.00282669,8.878e-05,2.485e-06,1
arc130,tuned,0.00170241,7.7599e-05,7.41e-07,1
as-22july06,baseline,0.00283326,0.000360561,2.484e-06,0
as-22july06,tuned,0.00174399,0.000371333,7.41e-07,0
AS365,baseline,0.219731,0.143331,1.1051e-05,1
AS365,tuned,0.0499507,0.144672,2.044e-06,1
ASIC_100ks,baseline,0.00302644,0.00856564,3.276e-06,1
ASIC_100ks,tuned,0.00174438,0.00833263,6.51e-07,1
ASIC_680ks,baseline,0.00324369,0.0377463,3.567e-06,1
ASIC_680ks,tuned,0.00175014,0.037188,6.81e-07,0
atmosmodm,baseline,0.00313392,0.176108,1.1823e-05,5
atmosmodm,tuned,0.00215937,0.176312,1.613e-06,5
aug3dcqp,baseline,0.00518123,0.00109316,3.076e-06,1
aug3dcqp,tuned,0.0102873,0.00112107,5.61e-07,1
b1_ss,baseline,0.00301157,7.3612e-05,1.803e-06,2
b1_ss,tuned,0.0017261,6.3493e-05,3.7e-07,2
barth,baseline,0.00296303,0.000375948,1.934e-06,1
barth,tuned,0.00169801,0.000373924,5.71e-07,1
Baumann,baseline,0.00322395,0.0137984,3.287e-06,1
Baumann,tuned,0.0018173,0.0135039,5.5e-07,1
bayer01,baseline,0.00302638,0.000635401,2.856e-06,0
bayer01,tuned,0.00173241,0.000407099,5.81e-07,5
bayer04,baseline,0.00276442,0.000326894,2.315e-06,1
bayer04,tuned,0.00170569,0.00023755,7.52e-07,1
bayer05,baseline,0.0028755,0.000117097,2.235e-06,1
bayer05,tuned,0.00186297,0.000104042,6.81e-07,1
bcspwr04,baseline,0.00289685,9.4744e-05,2.075e-06,1
bcspwr04,tuned,0.00178973,8.5616e-05,3.81e-07,1
bcspwr05,baseline,0.00274178,9.6878e-05,2.054e-06,1
bcspwr05,tuned,0.00164988,8.6968e-05,5.41e-07,1
bcsstk01,baseline,0.00274351,7.4725e-05,2.014e-06,1
bcsstk01,tuned,0.0017322,6.5187e-05,5.31e-07,1
bcsstk06,baseline,0.0028592,0.000168977,1.983e-06,1
bcsstk06,tuned,0.00187159,0.000157154,5.91e-07,1
bcsstk11,baseline,0.0027948,0.000374326,1.844e-06,1
bcsstk11,tuned,0.0017409,0.000368384,5.21e-07,1
bcsstk12,baseline,0.00275062,0.000377692,1.994e-06,1
bcsstk12,tuned,0.00165578,0.000362502,6.42e-07,1
bcsstk15,baseline,0.00460781,0.000772149,3.046e-06,1
bcsstk15,tuned,0.00256357,0.000754726,5.11e-07,1
bcsstk16,baseline,0.0030125,0.00215285,2.916e-06,1
bcsstk16,tuned,0.00171892,0.0021107,6.31e-07,1
bcsstk18,baseline,0.00281747,0.00116238,2.554e-06,1
bcsstk18,tuned,0.0016983,0.00115175,5.11e-07,1
bcsstk27,baseline,0.0029235,0.000615075,2.094e-06,1
bcsstk27,tuned,0.00173422,0.000608543,5.5e-07,1
bcsstk30,baseline,0.00314999,0.00930053,4.199e-06,1
bcsstk30,tuned,0.00177991,0.00929209,6.31e-07,1
bcsstk32,baseline,0.003234,0.0103413,3.577e-06,1
bcsstk32,tuned,0.00173986,0.0103521,5.41e-07,1
bcsstk33,baseline,0.00302815,0.00262929,3.066e-06,1
bcsstk33,tuned,0.00171344,0.00262067,5.41e-07,1
bcsstk35,baseline,0.0032491,0.0088473,3.075e-06,1
bcsstk35,tuned,0.00173123,0.00880795,6.51e-07,1
bcsstm01,baseline,0.00291725,7.5075e-05,1.894e-06,2
bcsstm01,tuned,0.00172007,6.3172e-05,4.11e-07,2
bcsstm05,baseline,0.00286016,7.5065e-05,1.864e-06,2
bcsstm05,tuned,0.00168926,6.4815e-05,3.61e-07,2
bcsstm07,baseline,0.00281766,0.000159337,2.014e-06,1
bcsstm07,tuned,0.00169666,0.000148206,4.71e-07,1
bcsstm10,baseline,0.00280436,0.000269419,2.195e-06,1
bcsstm10,tuned,0.00171919,0.000291371,5.91e-07,1
bcsstm19,baseline,0.00281395,8.794e-05,2.034e-06,2
bcsstm19,tuned,0.00177412,7.802e-05,4.11e-07,2
bcsstm20,baseline,0.00393772,7.5936e-05,2.504e-06,1
bcsstm20,tuned,0.00200385,5.8091e-05,3.81e-07,2
bcsstm38,baseline,0.00178089,0.000205292,1.703e-06,1
bcsstm38,tuned,0.00108369,0.000178491,6.01e-07,1
bfwa398,baseline,0.00177666,8.7358e-05,1.653e-06,1
bfwa398,tuned,0.00113047,7.7989e-05,3.41e-07,1
bfwa782,baseline,0.00183012,0.000105211,1.663e-06,1
bfwa782,tuned,0.00109401,9.6304e-05,3.91e-07,1
bfwb782,baseline,0.00173538,0.000108397,1.663e-06,1
bfwb782,tuned,0.00106978,9.5002e-05,3.01e-07,1
biplane-9,baseline,0.00177798,0.000718915,1.884e-06,1
biplane-9,tuned,0.00108955,0.000722071,5e-07,1
bmw7st_1,baseline,0.00223167,0.0224803,3.467e-06,1
bmw7st_1,tuned,0.00125125,0.0220264,5.11e-07,1
bmwcra_1,baseline,0.00216766,0.027959,6.512e-06,1
bmwcra_1,tuned,0.00133352,0.026539,1.262e-06,1
bodyy6,baseline,0.00178623,0.00114012,1.974e-06,1
bodyy6,tuned,0.00111459,0.00115025,3.21e-07,1
bp_1600,baseline,0.00280613,0.000107426,2.204e-06,1
bp_1600,tuned,0.00169308,9.6234e-05,4.1e-07,1
brainpc2,baseline,0.00288942,0.00103858,2.155e-06,5
brainpc2,tuned,0.00176482,0.00107704,4.71e-07,0
bratu3d,baseline,0.00293942,0.000293371,2.194e-06,1
bratu3d,tuned,0.00179889,0.000316416,6.31e-07,1
bwm200,baseline,0.00278137,8.865e-05,2.144e-06,1
bwm200,tuned,0.00175691,7.831e-05,5.51e-07,2
bwm2000,baseline,0.00278339,0.000218298,2.084e-06,1
bwm2000,tuned,0.00169432,0.000223858,5.91e-07,1
c-19,baseline,0.00277086,0.000180686,2.133e-06,1
c-19,tuned,0.00167011,0.000179103,6.72e-07,1
c-27,baseline,0.00284596,0.000294804,2.244e-06,1
c-27,tuned,0.00172438,0.000285137,5.01e-07,1
c-28,baseline,0.00278049,0.000290246,2.084e-06,1
c-28,tuned,0.00172459,0.000291839,4.91e-07,1
c-30,baseline,0.00348747,0.000281534,3.046e-06,0
c-30,tuned,0.0022868,0.000271976,6.32e-07,0
c-31,baseline,0.00179113,0.000247669,1.673e-06,1
c-31,tuned,0.00107184,0.000240476,3.01e-07,1
c-37,baseline,0.00174901,0.000349827,1.584e-06,0
c-37,tuned,0.00111111,0.000347332,4.01e-07,1
c-41,baseline,0.0017871,0.00036695,1.633e-06,0
c-41,tuned,0.00112804,0.000365508,4.71e-07,1
c-43,baseline,0.00176559,0.000450161,1.744e-06,0
c-43,tuned,0.00110486,0.00045473,6.52e-07,0
c-44,baseline,0.00191291,0.000421385,1.783e-06,0
c-44,tuned,0.00129297,0.000421817,5.91e-07,1
c-53,baseline,0.00191191,0.00112239,2.455e-06,0
c-53,tuned,0.0011371,0.00110959,4.11e-07,0
c-54,baseline,0.00192165,0.00107923,1.934e-06,0
c-54,tuned,0.00111005,0.00109538,4.1e-07,0
c-58,baseline,0.001979,0.00131473,2.535e-06,0
c-58,tuned,0.00110626,0.00131377,5.01e-07,0
c-60,baseline,0.0020504,0.00158404,2.355e-06,0
c-60,tuned,0.00126333,0.00160526,6.31e-07,0
c-67b,baseline,0.00208842,0.00211898,2.555e-06,0
c-67b,tuned,0.00120777,0.00211344,3.1e-07,0
c-70,baseline,0.00210487,0.00238425,2.434e-06,0
c-70,tuned,0.00129342,0.00238402,4.01e-07,0
c-72,baseline,0.00202295,0.00291729,2.414e-06,0
c-72,tuned,0.00115093,0.002987,4.61e-07,0
c-73,baseline,0.00394384,0.00647262,3.406e-06,0
c-73,tuned,0.00231933,0.00643134,6.32e-07,0
ca-AstroPh,baseline,0.00210362,0.000615479,2.044e-06,1
ca-AstroPh,tuned,0.00107782,0.000638322,4.21e-07,1
ca-CondMat,baseline,0.00189029,0.000337717,2.064e-06,0
ca-CondMat,tuned,0.00110418,0.000332457,6.91e-07,1
cage13,baseline,0.00218146,0.0242783,4.528e-06,5
cage13,tuned,0.00132321,0.0231342,9.72e-07,1
cage7,baseline,0.00197316,8.7879e-05,2.014e-06,1
cage7,tuned,0.00119021,8.2448e-05,3.61e-07,1
CAG_mat364,baseline,0.0017542,0.000127895,1.804e-06,1
CAG_mat364,tuned,0.00108379,0.000113457,3.91e-07,1
CAG_mat72,baseline,0.00176235,6.786e-05,1.854e-06,1
CAG_mat72,tuned,0.00110735,5.9714e-05,3.8e-07,1
can_187,baseline,0.00203945,7.2349e-05,1.754e-06,1
can_187,tuned,0.00109977,6.6337e-05,6.21e-07,2
can_229,baseline,0.00198454,7.4352e-05,1.783e-06,1
can_229,tuned,0.00113065,6.5735e-05,4.5e-07,1
cant,baseline,0.00206285,0.0199478,2.645e-06,5
cant,tuned,0.00113817,0.0202021,3.6e-07,1
cavity07,baseline,0.00182324,0.000233627,1.634e-06,1
cavity07,tuned,0.00113985,0.000221845,3.1e-07,1
cavity10,baseline,0.00180426,0.000456544,1.814e-06,1
cavity10,tuned,0.0011048,0.000441565,6.1e-07,1
cavity19,baseline,0.0019941,0.000786446,1.684e-06,1
cavity19,tuned,0.00115655,0.000760015,4.11e-07,1
cavity25,baseline,0.0046837,0.00120384,3.436e-06,1
cavity25,tuned,0.00262381,0.00117013,5.52e-07,1
cdde1,baseline,0.00290515,0.000141622,2.054e-06,1
cdde1,tuned,0.0019045,0.000134599,6.61e-07,1
cdde5,baseline,0.0027654,0.000142233,2.004e-06,1
cdde5,tuned,0.00170543,0.000130089,5.62e-07,1
cegb2802,baseline,0.00293285,0.00163091,2.475e-06,1
cegb2802,tuned,0.00170827,0.00159635,7.12e-07,1
cegb3024,baseline,0.0028437,0.000629688,2.245e-06,1
cegb3024,tuned,0.00169248,0.000625941,6.51e-07,1
cell2,baseline,0.00276015,0.000458299,2.144e-06,1
cell2,tuned,0.00169106,0.000434745,6.91e-07,1
cfd1,baseline,0.0031117,0.00734075,2.935e-06,1
cfd1,tuned,0.0017529,0.00737795,6.41e-07,1
chem_master1,baseline,0.0028507,0.00272634,2.675e-06,1
chem_master1,tuned,0.00171489,0.00266492,6.21e-07,1
circuit_2,baseline,0.00277193,0.000269547,2.104e-06,1
circuit_2,tuned,0.00167633,0.000261432,6.11e-07,1
circuit_3,baseline,0.00279974,0.000811317,2.034e-06,0
circuit_3,tuned,0.00168482,0.000775959,6.81e-07,0
circuit_4,baseline,0.0029187,0.00434636,2.806e-06,1
circuit_4,tuned,0.00171301,0.00417732,6.51e-07,1
circuit5M,baseline,0.00313614,0.220621,1.1091e-05,1
circuit5M,tuned,0.00201948,0.222456,2.375e-06,0
cit-HepPh,baseline,0.00299906,0.00098981,2.655e-06,5
cit-HepPh,tuned,0.00176916,0.000913513,5.5e-07,0
cit-HepTh,baseline,0.00356438,0.000809246,2.355e-06,1
cit-HepTh,tuned,0.00216811,0.000770261,3.51e-07,1
cit-Patents,baseline,0.0021027,0.0295404,6.192e-06,5
cit-Patents,tuned,0.00131894,0.02873,1.643e-06,1
ck656,baseline,0.00174794,9.1286e-05,2.124e-06,1
ck656,tuned,0.00108191,7.8302e-05,4.21e-07,1
CO,baseline,0.0495612,0.0317204,4.328e-06,1
CO,tuned,0.0052797,0.0311558,1.323e-06,1
collins_15NN,baseline,0.00653813,0.000245696,2.004e-06,1
collins_15NN,tuned,0.00320566,0.000233432,4.41e-07,1
com-Youtube,baseline,0.00205681,0.00812151,2.725e-06,0
com-Youtube,tuned,0.00130866,0.00772057,8.82e-07,0
cont-201,baseline,0.0266089,0.00208458,2.254e-06,1
