matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.00376137,5.5577e-05,2.475e-06,1
494_bus,tuned,0.00208388,3.6089e-05,4.5e-07,1
685_bus,baseline,0.00154313,6.4123e-05,1.493e-06,1
685_bus,tuned,0.00121072,5.158e-05,4.31e-07,1
adaptive,baseline,0.00186682,0.343229,1.2424e-05,1
adaptive,tuned,0.00136353,0.342089,1.924e-06,1
adder_dcop_03,baseline,0.00156621,0.000153867,1.713e-06,1
adder_dcop_03,tuned,0.00121878,0.000146934,3.91e-07,1
adder_dcop_07,baseline,0.00155777,0.000148295,1.753e-06,1
adder_dcop_07,tuned,0.00124768,0.000142565,4.51e-07,1
adder_dcop_08,baseline,0.00155218,0.000147915,1.613e-06,1
adder_dcop_08,tuned,0.00121505,0.000142275,3.91e-07,1
adder_dcop_09,baseline,0.00154697,0.000148917,1.664e-06,1
adder_dcop_09,tuned,0.00109539,0.000152324,3.9e-07,1
adder_dcop_10,baseline,0.00154303,0.000148877,1.703e-06,1
adder_dcop_10,tuned,0.00109824,0.000142334,4.31e-07,1
adder_dcop_11,baseline,0.00155432,0.000148827,1.653e-06,1
adder_dcop_11,tuned,0.00110709,0.000142014,3.7e-07,1
adder_dcop_20,baseline,0.0015696,0.000147885,1.684e-06,1
adder_dcop_20,tuned,0.00113051,0.000142185,4.71e-07,1
adder_dcop_36,baseline,0.00166756,0.000148877,1.593e-06,1
adder_dcop_36,tuned,0.00128495,0.000142455,4.31e-07,1
adder_dcop_37,baseline,0.00157265,0.000148888,1.644e-06,1
adder_dcop_37,tuned,0.00113688,0.000142355,3.91e-07,1
adder_dcop_47,baseline,0.00164274,0.000148286,1.614e-06,1
adder_dcop_47,tuned,0.00113138,0.000142785,4.81e-07,1
adder_dcop_51,baseline,0.0155277,9.8721e-05,1.853e-06,1
adder_dcop_51,tuned,0.00165614,8.8451e-05,3.81e-07,1
adder_dcop_55,baseline,0.000961459,9.6156e-05,1.834e-06,1
adder_dcop_55,tuned,0.000729811,8.3932e-05,2.71e-07,1
af_shell10,baseline,0.00141181,0.331738,9.258e-06,1
af_shell10,tuned,0.000972551,0.331849,2.535e-06,1
af_shell7,baseline,0.00124627,0.110715,5.461e-06,1
af_shell7,tuned,0.00112007,0.112024,2.334e-06,1
aft01,baseline,0.001017,0.000799686,1.724e-06,1
aft01,tuned,0.000741603,0.000780138,2.9e-07,1
airfoil1,baseline,0.000974885,0.000174387,9.21e-07,1
airfoil1,tuned,0.000773846,0.000168927,3.01e-07,1
amazon0312,baseline,0.00130491,0.0222958,4.458e-06,1
amazon0312,tuned,0.000943685,0.0223307,2.725e-06,1
