matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,1.4922,0.000112767,5.207e-05,1
494_bus,tuned,0.216072,8.7889e-05,3.9015e-05,1
685_bus,baseline,0.215484,0.000131092,4.139e-05,1
685_bus,tuned,0.21193,0.000122024,3.8173e-05,1
adaptive,baseline,0.215585,0.394201,0.000105844,1
adaptive,tuned,0.216819,0.394762,8.843e-05,1
adder_dcop_01,baseline,0.219605,0.000188883,4.7551e-05,1
adder_dcop_01,tuned,0.217658,0.00017707,4.1911e-05,1
adder_dcop_02,baseline,0.212747,0.000189153,4.4986e-05,1
adder_dcop_02,tuned,0.213078,0.00016638,4.0357e-05,1
adder_dcop_06,baseline,0.219482,0.000189505,4.3484e-05,1
adder_dcop_06,tuned,0.22709,0.000166941,4.18e-05,1
adder_dcop_07,baseline,0.232847,0.000190706,5.5277e-05,1
adder_dcop_07,tuned,0.233851,0.000165999,4.2191e-05,1
adder_dcop_08,baseline,0.216994,0.000189163,4.4585e-05,1
adder_dcop_08,tuned,0.218156,0.000164817,4.0908e-05,1
adder_dcop_09,baseline,0.215466,0.000191008,4.4105e-05,1
adder_dcop_09,tuned,0.215693,0.000163184,4.2141e-05,1
adder_dcop_10,baseline,0.220643,0.000191368,4.3874e-05,1
adder_dcop_10,tuned,0.242714,0.000166761,4.0938e-05,1
adder_dcop_19,baseline,0.215978,0.000191057,4.4686e-05,1
adder_dcop_19,tuned,0.215665,0.00016623,4.1249e-05,1
adder_dcop_35,baseline,0.213554,0.000188392,4.4906e-05,1
adder_dcop_35,tuned,0.212771,0.000164176,4.2311e-05,1
adder_dcop_36,baseline,0.213401,0.000185888,4.4456e-05,1
adder_dcop_36,tuned,0.218084,0.000165728,4.1309e-05,1
adder_dcop_50,baseline,0.711092,0.00020169,5.1851e-05,1
adder_dcop_50,tuned,0.215827,0.000163115,4.181e-05,1
adder_dcop_54,baseline,0.2153,0.000191711,4.5027e-05,1
adder_dcop_54,tuned,0.213135,0.000166162,4.2412e-05,1
af_4_k101,baseline,0.218918,0.20012,8.7379e-05,4
af_4_k101,tuned,0.211952,0.198229,7.4474e-05,4
af_5_k101,baseline,0.213549,0.200222,8.5155e-05,4
af_5_k101,tuned,0.213846,0.198511,8.4433e-05,4
af_shell4,baseline,0.213876,0.154976,9.2178e-05,4
af_shell4,tuned,0.211855,0.154452,8.0886e-05,4
amazon0302,baseline,0.21813,0.0067241,4.5979e-05,1
amazon0302,tuned,0.216109,0.00603769,3.8825e-05,1
apache1,baseline,0.213251,0.00921079,4.4717e-05,1
apache1,tuned,0.212894,0.00909801,3.8324e-05,1
arc130,baseline,0.249949,8.6869e-05,4.5078e-05,1
arc130,tuned,0.218493,7.3172e-05,4.0037e-05,1
as-22july06,baseline,0.215964,0.00042881,3.9296e-05,0
as-22july06,tuned,0.215168,0.000356931,3.4617e-05,0
AS365,baseline,0.213333,0.142631,9.8781e-05,1
AS365,tuned,0.212853,0.144992,8.7529e-05,1
ASIC_100ks,baseline,0.217222,0.00852263,4.8654e-05,1
ASIC_100ks,tuned,0.215653,0.00829023,4.6009e-05,1
ASIC_680ks,baseline,0.220577,0.0376918,5.9956e-05,0
ASIC_680ks,tuned,0.216619,0.0366514,5.3374e-05,0
atmosmodm,baseline,0.22392,0.175359,8.5796e-05,4
atmosmodm,tuned,0.215747,0.174886,7.6839e-05,4
aug3dcqp,baseline,0.886159,0.000818281,3.1651e-05,1
aug3dcqp,tuned,0.136257,0.000698451,2.5119e-05,1
b1_ss,baseline,0.142968,5.4795e-05,2.4647e-05,2
b1_ss,tuned,0.140067,4.7512e-05,2.059e-05,2
barth,baseline,0.138328,0.000277773,3.1501e-05,1
barth,tuned,0.137874,0.000257184,2.5398e-05,1
Baumann,baseline,0.165538,0.00894703,3.0308e-05,1
Baumann,tuned,0.162966,0.00874243,2.4727e-05,1
bayer01,baseline,0.134778,0.000393676,3.3755e-05,0
bayer01,tuned,0.132979,0.000293674,2.8234e-05,0
bayer04,baseline,0.139493,0.000224501,3.3986e-05,1
bayer04,tuned,0.139482,0.000167001,3.0809e-05,1
bayer05,baseline,0.136047,9.1186e-05,3.089e-05,1
bayer05,tuned,0.136825,7.2308e-05,2.7853e-05,1
bcspwr04,baseline,0.140756,6.5376e-05,2.8916e-05,1
bcspwr04,tuned,0.137194,5.7641e-05,2.5659e-05,1
bcspwr05,baseline,0.13654,7.0125e-05,2.8424e-05,1
bcspwr05,tuned,0.140272,6.1208e-05,2.5479e-05,1
bcsstk01,baseline,0.153895,5.5296e-05,2.7763e-05,1
bcsstk01,tuned,0.171143,4.8042e-05,2.4367e-05,1
bcsstk06,baseline,0.136409,0.000115031,2.9477e-05,1
bcsstk06,tuned,0.133629,0.000102326,2.5579e-05,1
bcsstk11,baseline,0.136092,0.000247556,2.8284e-05,1
bcsstk11,tuned,0.13608,0.000238048,2.5349e-05,1
bcsstk12,baseline,0.134929,0.000251593,2.7784e-05,1
bcsstk12,tuned,0.134101,0.00023961,2.5038e-05,1
bcsstk15,baseline,0.249449,0.000542995,3.4437e-05,1
bcsstk15,tuned,0.140903,0.000504131,2.8915e-05,1
bcsstk16,baseline,0.137856,0.00140852,3.3555e-05,1
bcsstk16,tuned,0.137662,0.00138327,2.8896e-05,1
bcsstk18,baseline,0.148157,0.000781846,3.5759e-05,1
bcsstk18,tuned,0.139215,0.000741038,2.9296e-05,1
bcsstk27,baseline,0.139548,0.000405872,3.144e-05,1
bcsstk27,tuned,0.138366,0.000388318,2.9297e-05,1
bcsstk30,baseline,0.141196,0.00606452,3.5779e-05,1
bcsstk30,tuned,0.141152,0.00595168,3.8384e-05,1
bcsstk32,baseline,0.137635,0.0066346,3.3545e-05,1
bcsstk32,tuned,0.137289,0.00654855,2.8855e-05,1
bcsstk33,baseline,0.134772,0.00173594,3.3064e-05,1
bcsstk33,tuned,0.133933,0.00171711,2.8285e-05,1
bcsstk35,baseline,0.159675,0.00557991,3.4506e-05,1
bcsstk35,tuned,0.148681,0.00566434,2.9236e-05,1
bcsstm01,baseline,0.13625,6.7481e-05,2.6462e-05,2
bcsstm01,tuned,0.136111,4.9856e-05,2.2784e-05,2
bcsstm05,baseline,0.137093,6.0767e-05,2.7233e-05,2
bcsstm05,tuned,0.136693,5.1008e-05,2.4548e-05,2
bcsstm07,baseline,0.133578,0.000112306,2.9918e-05,1
bcsstm07,tuned,0.132905,0.0001038,2.7313e-05,1
bcsstm10,baseline,0.134411,0.000199154,2.9106e-05,1
bcsstm10,tuned,0.159695,0.000195326,2.6531e-05,1
bcsstm19,baseline,0.139278,7.0426e-05,2.6632e-05,2
bcsstm19,tuned,0.138334,6.7279e-05,2.4768e-05,2
bcsstm20,baseline,0.352801,9.6285e-05,4.5137e-05,1
bcsstm20,tuned,0.214229,7.3421e-05,3.6931e-05,1
bcsstm38,baseline,0.217203,0.000298023,4.5096e-05,1
bcsstm38,tuned,0.215568,0.00029084,3.9917e-05,1
bfwa398,baseline,0.215054,0.000113508,4.5618e-05,1
bfwa398,tuned,0.21291,0.000100243,4.0168e-05,1
bfwa782,baseline,0.214591,0.000143736,4.3995e-05,1
bfwa782,tuned,0.213556,0.000133127,3.9466e-05,1
bfwb782,baseline,0.215327,0.000147975,4.2622e-05,1
bfwb782,tuned,0.216245,0.000133246,3.8805e-05,1
biplane-9,baseline,0.213568,0.00115456,4.3905e-05,1
biplane-9,tuned,0.21244,0.00107312,4.0458e-05,1
bmw7st_1,baseline,0.21472,0.0347343,8.2469e-05,1
bmw7st_1,tuned,0.213819,0.0343855,7.0135e-05,1
bmwcra_1,baseline,0.219102,0.0414344,0.000106796,1
bmwcra_1,tuned,0.218029,0.0413503,0.000102186,1
bodyy6,baseline,0.213609,0.00182411,4.8373e-05,1
bodyy6,tuned,0.210775,0.00177349,4.2161e-05,1
bp_1600,baseline,0.218071,0.000107456,4.3894e-05,1
bp_1600,tuned,0.214529,8.895e-05,3.9124e-05,1
brainpc2,baseline,0.217552,0.00111655,3.672e-05,0
brainpc2,tuned,0.215865,0.00101986,3.1952e-05,0
bratu3d,baseline,0.216554,0.0004539,4.175e-05,1
bratu3d,tuned,0.215513,0.000331435,3.7492e-05,1
bwm200,baseline,0.214798,8.6766e-05,4.2811e-05,1
bwm200,tuned,0.212314,7.5816e-05,3.8023e-05,1
bwm2000,baseline,0.218428,0.000248998,3.9255e-05,1
bwm2000,tuned,0.217388,0.000222076,3.4436e-05,1
c-19,baseline,0.213217,0.000192349,4.5898e-05,1
c-19,tuned,0.21219,0.00017203,4.16e-05,1
c-27,baseline,0.237967,0.000322178,4.683e-05,1
c-27,tuned,0.21023,0.000284846,4.2041e-05,1
c-28,baseline,0.213304,0.000318,4.6609e-05,1
c-28,tuned,0.219765,0.000285197,4.3262e-05,1
c-30,baseline,0.353327,0.000431808,4.2111e-05,0
c-30,tuned,0.218094,0.000411388,3.5508e-05,0
c-31,baseline,0.215976,0.000365781,5.0567e-05,1
c-31,tuned,0.21563,0.000334782,4.4866e-05,1
c-37,baseline,0.215911,0.00051087,5.185e-05,0
c-37,tuned,0.213931,0.000471455,4.4375e-05,0
c-41,baseline,0.22005,0.000572408,4.8433e-05,0
c-41,tuned,0.245409,0.000545126,4.4515e-05,0
c-43,baseline,0.218059,0.000721524,4.2291e-05,0
c-43,tuned,0.214038,0.000661038,3.6801e-05,0
c-44,baseline,0.219056,0.000622825,4.8133e-05,0
c-44,tuned,0.216649,0.000585753,4.3574e-05,0
c-53,baseline,0.219319,0.00170335,4.4575e-05,0
c-53,tuned,0.215368,0.00159025,3.8133e-05,0
c-54,baseline,0.216214,0.00166474,4.4816e-05,0
c-54,tuned,0.215698,0.00157565,3.8284e-05,0
c-58,baseline,0.215386,0.00185576,4.3052e-05,0
c-58,tuned,0.215759,0.00187599,3.7623e-05,0
c-60,baseline,0.222838,0.00237925,4.2732e-05,0
c-60,tuned,0.218086,0.00226292,4.4516e-05,0
c-67b,baseline,0.272161,0.00301367,4.2041e-05,0
c-67b,tuned,0.237557,0.00283614,3.6349e-05,0
c-70,baseline,0.21732,0.00334421,4.1079e-05,0
c-70,tuned,0.213608,0.0033682,3.5769e-05,0
c-72,baseline,0.21484,0.00417482,4.2001e-05,0
c-72,tuned,0.213348,0.00417515,3.7061e-05,0
c-73,baseline,0.239908,0.00643872,3.2192e-05,0
c-73,tuned,0.13932,0.00649157,2.5188e-05,0
ca-AstroPh,baseline,0.142326,0.000602071,3.3624e-05,1
ca-AstroPh,tuned,0.139136,0.00053864,2.8004e-05,1
ca-CondMat,baseline,0.153365,0.00036111,3.3064e-05,0
ca-CondMat,tuned,0.141843,0.000306837,2.9346e-05,0
cage13,baseline,0.137746,0.0244976,9.0473e-05,1
cage13,tuned,0.136761,0.0235354,8.4301e-05,1
cage7,baseline,0.15705,7.9842e-05,2.9847e-05,1
cage7,tuned,0.14107,6.821e-05,2.5799e-05,1
CAG_mat364,baseline,0.141148,0.000111122,2.8594e-05,1
CAG_mat364,tuned,0.140781,0.000100031,2.616e-05,1
CAG_mat72,baseline,0.136322,5.9744e-05,2.6391e-05,1
CAG_mat72,tuned,0.189031,5.1669e-05,2.4206e-05,1
can_187,baseline,0.135672,6.4263e-05,2.7923e-05,1
can_187,tuned,0.134996,5.729e-05,2.5529e-05,1
can_229,baseline,0.139032,6.6588e-05,3.7071e-05,1
can_229,tuned,0.140377,5.9063e-05,2.5428e-05,1
cant,baseline,0.135388,0.0200465,3.8524e-05,1
cant,tuned,0.138231,0.0198043,3.3674e-05,1
cavity07,baseline,0.145392,0.000233546,3.0018e-05,1
cavity07,tuned,0.137705,0.000220402,2.649e-05,1
cavity10,baseline,0.141788,0.000454409,2.8615e-05,1
cavity10,tuned,0.140182,0.00042404,2.4778e-05,1
cavity19,baseline,0.13804,0.00075904,2.8484e-05,1
cavity19,tuned,0.138558,0.000750805,2.647e-05,1
cavity25,baseline,0.24957,0.000782838,3.5969e-05,1
cavity25,tuned,0.157473,0.000755246,2.9326e-05,1
cdde1,baseline,0.16062,0.00010407,2.8064e-05,1
cdde1,tuned,0.14291,9.4643e-05,2.4578e-05,1
cdde5,baseline,0.135548,0.000103289,2.6701e-05,1
cdde5,tuned,0.133818,9.4462e-05,2.3906e-05,1
cegb2802,baseline,0.137551,0.00101948,3.1732e-05,1
cegb2802,tuned,0.135531,0.00101353,2.7863e-05,1
cegb3024,baseline,0.135883,0.000438234,3.0549e-05,1
cegb3024,tuned,0.134544,0.000406203,2.8705e-05,1
cell2,baseline,0.136266,0.000315958,3.0249e-05,1
cell2,tuned,0.134654,0.000299026,2.8825e-05,1
cfd1,baseline,0.138005,0.00483776,3.5819e-05,1
cfd1,tuned,0.135893,0.00491098,2.9667e-05,1
chem_master1,baseline,0.154399,0.00185871,2.8656e-05,1
chem_master1,tuned,0.136612,0.00176592,3.3294e-05,1
circuit_2,baseline,0.138988,0.00022301,5.1119e-05,1
circuit_2,tuned,0.141524,0.000183554,3.9045e-05,1
circuit_3,baseline,0.139508,0.000525001,3.1521e-05,1
circuit_3,tuned,0.135409,0.000494713,2.5359e-05,1
circuit_4,baseline,0.138806,0.00283217,3.0388e-05,1
