matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.218118,5.4414e-05,1.8906e-05,1
494_bus,tuned,0.1194,3.8635e-05,1.6882e-05,1
685_bus,baseline,0.120586,6.8802e-05,2.11e-05,1
685_bus,tuned,0.120121,5.3463e-05,1.9258e-05,1
adaptive,baseline,0.12124,0.341972,6.2601e-05,1
adaptive,tuned,0.120587,0.341498,5.9594e-05,1
adder_dcop_03,baseline,0.119891,0.000160348,2.604e-05,1
adder_dcop_03,tuned,0.118567,0.000158425,2.4347e-05,1
adder_dcop_07,baseline,0.120268,0.000158886,2.5349e-05,1
adder_dcop_07,tuned,0.12089,0.000164296,2.4688e-05,1
adder_dcop_08,baseline,0.119516,0.000154417,2.5138e-05,1
adder_dcop_08,tuned,0.122606,0.000149257,2.3966e-05,1
adder_dcop_09,baseline,0.120819,0.000153255,2.4578e-05,1
adder_dcop_09,tuned,0.119118,0.000149989,2.5349e-05,1
adder_dcop_10,baseline,0.121384,0.000153485,2.4718e-05,1
adder_dcop_10,tuned,0.119577,0.000150019,2.3836e-05,1
adder_dcop_11,baseline,0.120008,0.000166099,2.5789e-05,1
adder_dcop_11,tuned,0.60026,0.000149618,2.4668e-05,1
adder_dcop_20,baseline,0.129259,0.000177401,3.079e-05,1
adder_dcop_20,tuned,0.120108,0.000149938,2.5078e-05,1
adder_dcop_36,baseline,0.120471,0.000155359,2.4197e-05,1
adder_dcop_36,tuned,0.116585,0.000148907,2.591e-05,1
adder_dcop_37,baseline,0.119791,0.000176219,3.105e-05,1
adder_dcop_37,tuned,0.11932,0.000147995,2.4407e-05,1
adder_dcop_47,baseline,0.120208,0.000153856,2.5519e-05,1
adder_dcop_47,tuned,0.523978,0.000149117,2.3715e-05,1
adder_dcop_51,baseline,1.34804,9.9672e-05,1.4888e-05,1
adder_dcop_51,tuned,0.07805,9.1325e-05,1.528e-05,1
adder_dcop_55,baseline,0.0799871,9.6655e-05,1.4508e-05,1
adder_dcop_55,tuned,0.07912,9.3089e-05,1.4407e-05,1
af_shell10,baseline,0.0764594,0.334996,5.1278e-05,1
af_shell10,tuned,0.0784478,0.338914,5.1098e-05,1
af_shell7,baseline,0.0806064,0.114219,5.9584e-05,1
af_shell7,tuned,0.079729,0.112427,5.3041e-05,1
aft01,baseline,0.079841,0.000861935,1.1833e-05,1
aft01,tuned,0.0776768,0.000804525,1.3626e-05,1
airfoil1,baseline,0.121472,0.000185626,1.018e-05,1
airfoil1,tuned,0.100196,0.000185416,9.488e-06,1
amazon0312,baseline,0.08199,0.0234674,5.5186e-05,1
amazon0312,tuned,0.0804734,0.0230205,5.6378e-05,1
amazon0601,baseline,0.0787967,0.0242479,5.6789e-05,1
amazon0601,tuned,0.0801632,0.0242351,6.1898e-05,1
AS365,baseline,0.0775073,0.211391,5.7991e-05,1
AS365,tuned,0.0774275,0.209161,5.4044e-05,1
astro-ph,baseline,0.0789868,0.00170217,1.8295e-05,1
astro-ph,tuned,0.0779508,0.00165481,1.7744e-05,1
atmosmodm,baseline,0.0770995,0.0691759,4.4365e-05,1
atmosmodm,tuned,0.080481,0.0692428,4.1129e-05,1
aug2d,baseline,0.0780049,0.000680527,1.1001e-05,1
aug2d,tuned,0.0766069,0.000659336,1.044e-05,1
auto,baseline,0.0764399,0.0452249,4.0848e-05,1
auto,tuned,0.0763235,0.0438653,4.0417e-05,1
av41092,baseline,0.379319,0.0197842,4.0468e-05,1
av41092,tuned,0.119197,0.0200776,3.8934e-05,1
barrier2-4,baseline,0.122485,0.0425163,7.1697e-05,1
barrier2-4,tuned,0.121059,0.0425247,6.8391e-05,1
barrier2-9,baseline,0.123911,0.0428682,8.1947e-05,1
barrier2-9,tuned,0.122036,0.042895,7.7268e-05,1
bayer02,baseline,0.122808,0.000833036,1.8806e-05,1
bayer02,tuned,0.122793,0.000899533,2.1762e-05,1
bayer09,baseline,0.121393,0.00027662,1.9517e-05,1
bayer09,tuned,0.119714,0.000294745,1.9177e-05,1
bcspwr02,baseline,0.122115,2.1411e-05,2.1161e-05,1
bcspwr02,tuned,0.117406,1.4879e-05,2.079e-05,1
bcspwr08,baseline,0.121155,9.93e-05,2.0209e-05,1
bcspwr08,tuned,0.119753,9.6705e-05,1.8956e-05,1
bcsstk01,baseline,0.122695,2.2953e-05,2.4877e-05,1
bcsstk01,tuned,0.119246,1.7755e-05,2.0851e-05,1
bcsstk02,baseline,0.123066,7.5124e-05,2.2253e-05,1
bcsstk02,tuned,0.120544,5.9814e-05,2.1281e-05,1
bcsstk04,baseline,0.127378,5.7741e-05,2.1912e-05,1
bcsstk04,tuned,0.120188,5.25e-05,2.136e-05,1
bcsstk13,baseline,0.161949,0.00093929,2.2353e-05,1
bcsstk13,tuned,0.136866,0.000969938,2.1692e-05,1
bcsstk16,baseline,0.143445,0.00326979,2.1682e-05,1
bcsstk16,tuned,0.144302,0.00325918,1.9688e-05,1
bcsstk18,baseline,0.12225,0.00177387,2.2323e-05,1
bcsstk18,tuned,0.122381,0.0016565,2.1632e-05,1
bcsstk19,baseline,1.37769,7.0084e-05,1.2514e-05,1
bcsstk19,tuned,0.0769187,5.2791e-05,1.1973e-05,1
bcsstk21,baseline,0.0781381,0.000195955,1.1212e-05,1
bcsstk21,tuned,0.0756683,0.000184222,1.068e-05,1
bcsstk26,baseline,0.0757315,0.000205793,1.1462e-05,1
bcsstk26,tuned,0.077478,0.000198349,1.1202e-05,1
bcsstk29,baseline,0.0780606,0.00405294,1.4277e-05,1
bcsstk29,tuned,0.0769874,0.00401459,1.3647e-05,1
bcsstk31,baseline,0.0778206,0.00769193,2.2403e-05,1
bcsstk31,tuned,0.0764378,0.00770659,2.076e-05,1
bcsstk32,baseline,0.0765536,0.0130642,5.3543e-05,1
bcsstk32,tuned,0.0750424,0.0131561,5.0837e-05,1
bcsstm03,baseline,0.0783486,1.9788e-05,7.524e-06,0
bcsstm03,tuned,0.0748523,9.348e-06,6.913e-06,0
bcsstm22,baseline,0.0749624,1.4007e-05,7.133e-06,0
bcsstm22,tuned,0.0740061,9.599e-06,6.893e-06,0
bcsstm26,baseline,0.0755611,3.7903e-05,6.793e-06,0
bcsstm26,tuned,0.0735063,3.4707e-05,6.532e-06,0
bcsstm38,baseline,0.0758047,0.000134969,8.587e-06,0
bcsstm38,tuned,0.0767562,0.000121522,8.547e-06,0
bcsstm39,baseline,0.0741695,0.000641125,6.633e-06,0
bcsstm39,tuned,0.0733381,0.00060639,6.954e-06,0
bfwa398,baseline,0.075044,3.8634e-05,1.067e-05,1
bfwa398,tuned,0.0747408,3.4406e-05,1.4077e-05,1
