matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.00292994,0.000491798,5.8e-07,1
494_bus,tuned,0.0361492,0.000390022,2.95e-07,1
685_bus,baseline,0.00130545,0.000455312,2.76e-07,1
685_bus,tuned,0.000832252,0.000386407,2.63e-07,1
adder_dcop_01,baseline,0.00130873,0.000461109,3.52e-07,1
adder_dcop_01,tuned,0.000896476,0.000393155,2.52e-07,1
adder_dcop_05,baseline,0.00142129,0.000459023,3.52e-07,1
adder_dcop_05,tuned,0.000914503,0.000394122,2.44e-07,1
adder_dcop_09,baseline,0.00182747,0.000468482,3.65e-07,1
adder_dcop_09,tuned,0.000865477,0.000387241,2.52e-07,1
adder_dcop_10,baseline,0.00151217,0.000759755,3.56e-07,1
adder_dcop_10,tuned,0.000917309,0.000677493,2.24e-07,1
adder_dcop_11,baseline,0.00131815,0.000463061,3.41e-07,1
adder_dcop_11,tuned,0.000854562,0.000395955,2.28e-07,1
adder_dcop_12,baseline,0.00132105,0.000458043,3.07e-07,1
adder_dcop_12,tuned,0.000854808,0.000391624,2.91e-07,1
adder_dcop_13,baseline,0.00221338,0.000478148,4.63e-07,1
adder_dcop_13,tuned,0.000892332,0.000397025,2.48e-07,1
adder_dcop_22,baseline,0.00191389,0.000469355,3.48e-07,1
adder_dcop_22,tuned,0.00087963,0.000392127,3.48e-07,1
adder_dcop_38,baseline,0.00188322,0.000465499,2.82e-07,1
adder_dcop_38,tuned,0.00087992,0.000378411,2.54e-07,1
adder_dcop_39,baseline,0.00145048,0.000473746,4.12e-07,1
adder_dcop_39,tuned,0.000884347,0.000385288,6.04e-07,1
adder_dcop_49,baseline,0.00136037,0.000474604,2.91e-07,1
adder_dcop_49,tuned,0.000892989,0.000394551,2.16e-07,1
adder_dcop_53,baseline,0.00137518,0.000463648,3.26e-07,1
adder_dcop_53,tuned,0.000861068,0.000388956,2.95e-07,1
adder_dcop_57,baseline,0.00174795,0.000449615,2.68e-07,1
adder_dcop_57,tuned,0.00090325,0.000401285,2.69e-07,1
af_5_k101,baseline,0.00241729,0.00292587,8.07e-07,5
af_5_k101,tuned,0.000879904,0.00275053,2.96e-07,5
af_shell3,baseline,0.00152227,0.0032542,4.88e-07,5
