matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt_dual,baseline,0.00460858,0.00171123,7.23e-07,1
3elt_dual,tuned,0.00789238,0.00150948,5.37e-07,1
662_bus,baseline,0.00217282,0.000328676,1.197e-06,1
662_bus,tuned,0.00117044,0.000318454,5.61e-07,1
ACTIVSg70K,baseline,0.00205671,0.00584533,5.5e-07,1
ACTIVSg70K,tuned,0.000993171,0.00589339,4.58e-07,1
add32,baseline,0.0020447,0.000634942,4.86e-07,1
add32,tuned,0.00100137,0.000667471,3.65e-07,1
adder_dcop_01,baseline,0.00204921,0.000321434,4.5e-07,1
adder_dcop_01,tuned,0.000980185,0.000318374,3.97e-07,1
adder_dcop_05,baseline,0.002289,0.000467818,5.63e-07,1
adder_dcop_05,tuned,0.00120236,0.000483102,4.41e-07,1
adder_dcop_06,baseline,0.00220744,0.000480255,5.94e-07,1
adder_dcop_06,tuned,0.00117612,0.000437397,4.15e-07,1
adder_dcop_07,baseline,0.00218825,0.000389522,5.77e-07,1
adder_dcop_07,tuned,0.00110327,0.000359288,4.77e-07,1
adder_dcop_08,baseline,0.00222615,0.000414346,4.89e-07,1
adder_dcop_08,tuned,0.00109619,0.000384415,2.65e-07,1
adder_dcop_09,baseline,0.00207228,0.000376587,4.91e-07,1
adder_dcop_09,tuned,0.00105169,0.000342405,3.7e-07,1
adder_dcop_18,baseline,0.00211978,0.00033506,4.68e-07,1
adder_dcop_18,tuned,0.00102893,0.000317319,4.03e-07,1
adder_dcop_34,baseline,0.00208661,0.000395384,4.68e-07,1
adder_dcop_34,tuned,0.00106402,0.000413205,3.83e-07,1
adder_dcop_35,baseline,0.00208207,0.000392481,5.44e-07,1
adder_dcop_35,tuned,0.00108378,0.000389327,3.72e-07,1
adder_dcop_49,baseline,0.00211474,0.000411062,4.64e-07,1
adder_dcop_49,tuned,0.00104824,0.000392632,4.47e-07,1
adder_dcop_53,baseline,0.00215035,0.000375511,5.09e-07,1
adder_dcop_53,tuned,0.00103132,0.000334168,3.72e-07,1
