matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.016223,5.3317e-05,4.03e-07,1
494_bus,tuned,0.0541458,1.8208e-05,4.1e-07,1
685_bus,baseline,0.00145164,3.0097e-05,4.45e-07,1
685_bus,tuned,0.000991727,2.112e-05,4.76e-07,1
ACTIVSg70K,baseline,0.00141305,0.00106493,3.66e-07,1
ACTIVSg70K,tuned,0.000912703,0.000885871,3.29e-07,1
adaptive,baseline,0.00175008,0.135758,9.73e-07,1
adaptive,tuned,0.0011513,0.134674,8.76e-07,1
adder_dcop_02,baseline,0.00153449,0.000106535,4.36e-07,1
adder_dcop_02,tuned,0.000938168,4.9518e-05,2.69e-07,1
adder_dcop_06,baseline,0.00127723,5.4785e-05,3.02e-07,1
adder_dcop_06,tuned,0.00121533,8.737e-05,2.88e-07,1
adder_dcop_07,baseline,0.00130102,5.7189e-05,4.02e-07,1
adder_dcop_07,tuned,0.000932133,5.0227e-05,3.22e-07,1
adder_dcop_08,baseline,0.0013207,5.3098e-05,3.51e-07,1
adder_dcop_08,tuned,0.00085222,4.9015e-05,2.92e-07,1
adder_dcop_09,baseline,0.00138616,5.534e-05,3.84e-07,1
adder_dcop_09,tuned,0.00108157,5.1007e-05,3.19e-07,1
adder_dcop_10,baseline,0.00141093,5.6071e-05,3.66e-07,1
adder_dcop_10,tuned,0.000946434,5.0438e-05,3.42e-07,1
adder_dcop_19,baseline,0.00136029,8.6766e-05,4.39e-07,1
adder_dcop_19,tuned,0.000851836,5.0909e-05,2.86e-07,1
adder_dcop_35,baseline,0.00139942,4.8162e-05,3.26e-07,1
adder_dcop_35,tuned,0.000910074,0.000112097,6.37e-07,1
adder_dcop_36,baseline,0.00139785,5.3633e-05,3.69e-07,1
adder_dcop_36,tuned,0.00103975,4.9114e-05,3.45e-07,1
adder_dcop_50,baseline,0.00143073,6.9374e-05,4.1e-07,1
adder_dcop_50,tuned,0.00100937,8.7985e-05,3.56e-07,1
adder_dcop_54,baseline,0.00163084,9.8101e-05,4.37e-07,1
adder_dcop_54,tuned,0.000977239,4.8694e-05,3.16e-07,1
af_shell1,baseline,0.00186101,0.042593,8.03e-07,1
af_shell1,tuned,0.0012204,0.0424783,6.22e-07,1
af_shell6,baseline,0.00156265,0.0472186,1.569e-06,1
af_shell6,tuned,0.00128244,0.0471509,6.96e-07,1
af_shell9,baseline,0.00163862,0.0462331,9.35e-07,1
af_shell9,tuned,0.00113359,0.0451431,6.54e-07,1
aft01,baseline,0.00143387,0.000484961,3.16e-07,1
aft01,tuned,0.00117135,0.000375899,2.76e-07,1
amazon0302,baseline,0.00159609,0.00879299,3.74e-07,1
amazon0302,tuned,0.00102487,0.00586428,3.61e-07,0
amazon0505,baseline,0.00174447,0.0190437,5.49e-07,1
amazon0505,tuned,0.00101898,0.0138074,2.82e-07,1
apache2,baseline,0.00159781,0.0172596,6.9e-07,1
apache2,tuned,0.00110264,0.0131797,3.54e-07,1
ASIC_320k,baseline,0.00150461,0.0113327,3.85e-07,1
ASIC_320k,tuned,0.00106541,0.00931293,3.19e-07,1
ASIC_680ks,baseline,0.00153968,0.0131121,5.5e-07,0
ASIC_680ks,tuned,0.00104262,0.00987062,3.4e-07,0
astro-ph,baseline,0.0013488,0.000914315,3.47e-07,1
astro-ph,tuned,0.00092753,0.00082234,2.88e-07,1
audikw_1,baseline,0.00238723,0.225239,7.35e-07,1
audikw_1,tuned,0.00121111,0.224796,7.13e-07,1
barrier2-1,baseline,0.0016443,0.0117825,4.46e-07,1
barrier2-1,tuned,0.00111878,0.0102068,3.07e-07,1
barrier2-10,baseline,0.00158375,0.0123861,4.3e-07,1
barrier2-10,tuned,0.0010485,0.011043,2.74e-07,1
barrier2-9,baseline,0.00177557,0.01201,4.77e-07,1
