matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,2.0132,0.000587252,3.4493e-05,1
494_bus,tuned,0.133056,0.000412671,2.5737e-05,1
685_bus,baseline,0.145387,0.00045511,2.3702e-05,1
685_bus,tuned,0.135312,0.000386086,1.9206e-05,1
adder_dcop_01,baseline,0.133558,0.000463825,2.2317e-05,1
adder_dcop_01,tuned,0.138106,0.000400793,1.8467e-05,1
adder_dcop_05,baseline,0.14536,0.000467615,2.3735e-05,1
adder_dcop_05,tuned,0.13836,0.000818055,1.9268e-05,1
adder_dcop_09,baseline,0.145589,0.00047953,2.1596e-05,1
adder_dcop_09,tuned,0.146535,0.000406744,1.9525e-05,1
adder_dcop_10,baseline,0.14882,0.000464059,2.1618e-05,1
adder_dcop_10,tuned,0.134333,0.0003926,1.9448e-05,1
adder_dcop_11,baseline,0.137463,0.000483917,2.2354e-05,1
adder_dcop_11,tuned,0.13699,0.000423846,2.1171e-05,1
adder_dcop_12,baseline,0.136394,0.000473919,2.1919e-05,1
adder_dcop_12,tuned,0.139419,0.000404717,1.883e-05,1
adder_dcop_13,baseline,0.134571,0.000468301,2.2799e-05,1
adder_dcop_13,tuned,0.126229,0.000400118,1.902e-05,1
adder_dcop_22,baseline,0.140631,0.000470328,2.4894e-05,1
adder_dcop_22,tuned,0.145745,0.000395977,1.919e-05,1
adder_dcop_38,baseline,0.142368,0.000465107,2.2552e-05,1
adder_dcop_38,tuned,0.142336,0.000391077,1.9282e-05,1
adder_dcop_39,baseline,0.140468,0.000746967,2.2477e-05,1
adder_dcop_39,tuned,0.141384,0.000397252,1.894e-05,1
adder_dcop_49,baseline,0.14058,0.000464617,2.5174e-05,1
adder_dcop_49,tuned,0.146075,0.00040412,1.9086e-05,1
adder_dcop_53,baseline,0.137554,0.000468211,2.2968e-05,1
adder_dcop_53,tuned,0.14123,0.000395545,1.9596e-05,1
adder_dcop_57,baseline,0.142365,0.000500642,2.2511e-05,1
adder_dcop_57,tuned,0.148724,0.000394435,1.836e-05,1
af_5_k101,baseline,0.124819,0.00290863,3.8776e-05,5
af_5_k101,tuned,0.130378,0.00274281,1.7881e-05,5
af_shell3,baseline,0.13948,0.00323959,3.8249e-05,5
af_shell3,tuned,0.128872,0.0033534,1.9448e-05,5
af_shell5,baseline,0.135009,0.00304336,3.8472e-05,5
af_shell5,tuned,0.12775,0.0028243,1.9068e-05,5
af_shell6,baseline,0.130329,0.00295089,2.3396e-05,5
af_shell6,tuned,0.136783,0.00280851,1.7888e-05,5
amazon-2008,baseline,0.128641,0.00261965,5.1249e-05,1
amazon-2008,tuned,0.131295,0.00285685,2.464e-05,1
as-735,baseline,0.137574,0.000494664,2.5043e-05,1
as-735,tuned,0.137171,0.000423993,2.1438e-05,1
as-caida,baseline,0.133291,0.000498579,2.5238e-05,1
as-caida,tuned,0.135513,0.00055553,2.3742e-05,1
asia_osm,baseline,0.131252,0.0210922,3.2786e-05,1
asia_osm,tuned,0.136731,0.0207231,2.282e-05,1
ASIC_100ks,baseline,0.127741,0.00124207,4.2394e-05,1
ASIC_100ks,tuned,0.121178,0.000910518,3.078e-05,1
aug2d,baseline,0.135324,0.000483239,2.3204e-05,1
aug2d,tuned,0.121497,0.000412143,2.2328e-05,1
aug3d,baseline,0.132516,0.000483037,2.2689e-05,1
