matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt_dual,baseline,1.87474,0.00145408,0.000133744,1
3elt_dual,tuned,0.170212,0.000905301,6.8024e-05,1
662_bus,baseline,0.163525,0.000242283,7.7002e-05,1
662_bus,tuned,0.161196,0.000225907,7.0017e-05,1
ACTIVSg70K,baseline,0.168181,0.00498957,7.7337e-05,1
ACTIVSg70K,tuned,0.167438,0.00541128,6.7151e-05,1
add32,baseline,0.163689,0.000591575,7.4754e-05,1
add32,tuned,0.168094,0.000564946,7.8234e-05,1
adder_dcop_01,baseline,0.163289,0.000344287,7.3502e-05,1
adder_dcop_01,tuned,0.160055,0.000305038,8.6011e-05,1
adder_dcop_05,baseline,0.164627,0.000321972,7.6686e-05,1
adder_dcop_05,tuned,0.161925,0.000310338,7.2271e-05,1
adder_dcop_06,baseline,0.16204,0.000351929,8.1834e-05,1
adder_dcop_06,tuned,0.159899,0.000340668,7.9687e-05,1
adder_dcop_07,baseline,0.161329,0.000326515,7.2377e-05,1
adder_dcop_07,tuned,0.159303,0.000313786,6.9807e-05,1
adder_dcop_08,baseline,0.180157,0.000329104,7.9457e-05,1
adder_dcop_08,tuned,0.163915,0.000320602,7.1573e-05,1
adder_dcop_09,baseline,0.162436,0.000325465,7.5706e-05,1
adder_dcop_09,tuned,0.160655,0.00033021,8.1922e-05,1
adder_dcop_18,baseline,0.161265,0.000355463,7.3787e-05,1
adder_dcop_18,tuned,0.160614,0.000318664,7.0066e-05,1
adder_dcop_34,baseline,0.163602,0.000329535,7.3326e-05,1
adder_dcop_34,tuned,0.16176,0.000341968,7.1353e-05,1
adder_dcop_35,baseline,0.162767,0.000358133,7.5232e-05,1
adder_dcop_35,tuned,0.161207,0.000311441,7.9911e-05,1
adder_dcop_49,baseline,0.162296,0.000323307,7.5873e-05,1
adder_dcop_49,tuned,0.15901,0.000311428,7.1035e-05,1
adder_dcop_53,baseline,0.161353,0.000352216,7.7782e-05,1
adder_dcop_53,tuned,0.160321,0.000321809,7.2802e-05,1
af_0_k101,baseline,0.162944,0.166372,0.000116984,5
af_0_k101,tuned,0.160312,0.163026,0.000103038,5
af_shell10,baseline,0.164298,0.467701,0.000114467,5
af_shell10,tuned,0.164145,0.573404,0.000114108,5
af_shell6,baseline,0.163737,0.248088,0.000110142,5
af_shell6,tuned,0.161944,0.236809,0.000110164,5
al2010,baseline,0.159503,0.0060136,7.3377e-05,1
al2010,tuned,0.159359,0.00700979,7.041e-05,1
amazon-2008,baseline,0.162819,0.0873153,9.0736e-05,1
amazon-2008,tuned,0.161884,0.082023,7.4399e-05,1
apache2,baseline,0.161916,0.0915211,6.9644e-05,1
apache2,tuned,0.161296,0.0907031,6.9726e-05,1
appu,baseline,0.167657,0.00469676,7.4093e-05,1
appu,tuned,0.167123,0.00468811,7.1707e-05,1
as-caida,baseline,0.166993,0.000608039,6.4607e-05,0
as-caida,tuned,0.163783,0.000423554,6.1242e-05,0
