matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,1.67179,5.3488e-05,2.674e-05,1
494_bus,tuned,0.118275,2.0808e-05,2.0687e-05,1
685_bus,baseline,0.112791,3.308e-05,3.3069e-05,1
685_bus,tuned,0.112456,2.0882e-05,1.704e-05,1
ACTIVSg70K,baseline,0.113241,0.00129559,1.7664e-05,1
ACTIVSg70K,tuned,0.111914,0.001307,1.922e-05,1
adaptive,baseline,0.108363,0.145128,4.8354e-05,1
adaptive,tuned,0.10765,0.142748,5.3939e-05,1
adder_dcop_02,baseline,0.108767,6.9439e-05,1.7487e-05,1
adder_dcop_02,tuned,0.107502,7.7648e-05,3.284e-05,1
adder_dcop_06,baseline,0.108602,6.416e-05,1.6719e-05,1
adder_dcop_06,tuned,0.105311,5.8494e-05,1.6937e-05,1
adder_dcop_07,baseline,0.107961,7.1365e-05,1.803e-05,1
adder_dcop_07,tuned,0.108679,6.3117e-05,1.8101e-05,1
adder_dcop_08,baseline,0.108259,6.5124e-05,1.6925e-05,1
adder_dcop_08,tuned,0.106047,5.8072e-05,1.7589e-05,1
adder_dcop_09,baseline,0.110401,0.000101346,3.5767e-05,1
adder_dcop_09,tuned,0.108263,5.9929e-05,1.8869e-05,1
adder_dcop_10,baseline,0.108686,6.9367e-05,1.7486e-05,1
adder_dcop_10,tuned,0.106032,7.6286e-05,1.6703e-05,1
adder_dcop_19,baseline,0.109142,9.103e-05,1.8402e-05,1
adder_dcop_19,tuned,0.107928,5.837e-05,1.7772e-05,1
adder_dcop_35,baseline,0.108356,7.5745e-05,3.461e-05,1
adder_dcop_35,tuned,0.109038,8.6334e-05,1.8781e-05,1
adder_dcop_36,baseline,0.109855,6.7893e-05,4.6228e-05,1
adder_dcop_36,tuned,0.110121,5.9314e-05,1.876e-05,1
adder_dcop_50,baseline,0.111102,6.9607e-05,1.8316e-05,1
adder_dcop_50,tuned,0.10804,7.7667e-05,3.2771e-05,1
adder_dcop_54,baseline,0.111388,6.9863e-05,4.5929e-05,1
adder_dcop_54,tuned,0.110025,5.9579e-05,1.8735e-05,1
af_shell1,baseline,0.105252,0.0442363,4.9405e-05,1
af_shell1,tuned,0.104688,0.0435721,5.4016e-05,1
af_shell6,baseline,0.105106,0.0443918,5.0479e-05,1
af_shell6,tuned,0.103694,0.0438299,5.4475e-05,1
af_shell9,baseline,0.104514,0.0537674,5.3003e-05,1
af_shell9,tuned,0.107819,0.044361,5.4879e-05,1
aft01,baseline,0.101789,0.000416737,1.696e-05,1
aft01,tuned,0.102473,0.000328621,1.6788e-05,1
