matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt,baseline,0.0236026,0.00158956,3.41e-07,1
3elt,tuned,0.0340157,0.000505328,2.71e-07,5
ACTIVSg70K,baseline,0.00157085,0.00165069,4.01e-07,1
ACTIVSg70K,tuned,0.00144255,0.000568967,3.8e-07,1
adder_dcop_05,baseline,0.00153673,0.00137551,3.1e-07,1
adder_dcop_05,tuned,0.00142144,0.00044268,2.71e-07,1
adder_dcop_09,baseline,0.00145873,0.00141245,2.6e-07,1
adder_dcop_09,tuned,0.00145651,0.000449202,2.81e-07,1
adder_dcop_15,baseline,0.00136714,0.00136411,3e-07,1
adder_dcop_15,tuned,0.00130436,0.000446628,3e-07,1
adder_dcop_16,baseline,0.00147797,0.00149493,2.81e-07,1
adder_dcop_16,tuned,0.00134207,0.000439765,2.71e-07,1
adder_dcop_17,baseline,0.00149824,0.00150917,2.81e-07,1
adder_dcop_17,tuned,0.00146927,0.000541807,3e-07,1
adder_dcop_27,baseline,0.00160308,0.00151363,3.11e-07,1
adder_dcop_27,tuned,0.0015415,0.000458477,2.81e-07,1
adder_dcop_29,baseline,0.00158475,0.00139972,3.11e-07,1
adder_dcop_29,tuned,0.00152659,0.000452696,2.81e-07,1
adder_dcop_34,baseline,0.00147859,0.0014374,2.9e-07,1
adder_dcop_34,tuned,0.00135299,0.000434402,2.7e-07,1
adder_dcop_40,baseline,0.00133551,0.00150874,3e-07,1
adder_dcop_40,tuned,0.00126017,0.000433541,2.7e-07,1
adder_dcop_42,baseline,0.00144935,0.0014888,2.91e-07,1
adder_dcop_42,tuned,0.0013515,0.000428882,4.5e-07,1
adder_dcop_53,baseline,0.00141968,0.00149633,2.8e-07,1
adder_dcop_53,tuned,0.00126255,0.000440904,2.9e-07,1
af_1_k101,baseline,0.00163099,0.00267214,3.9e-07,5
af_1_k101,tuned,0.00148161,0.00164234,3.51e-07,5
af_2_k101,baseline,0.00164619,0.0027324,3.31e-07,5
af_2_k101,tuned,0.00147324,0.00164305,3.41e-07,5
af_3_k101,baseline,0.00149339,0.00270497,3.6e-07,5
af_3_k101,tuned,0.00131287,0.0016269,3.6e-07,5
af_shell5,baseline,0.00148199,0.00279585,4e-07,3
af_shell5,tuned,0.00128179,0.0016899,3.61e-07,3
amazon0302,baseline,0.00166997,0.00182076,3.31e-07,1
amazon0302,tuned,0.00148631,0.000790643,4.91e-07,5
appu,baseline,0.0014683,0.00160742,2.91e-07,1
appu,tuned,0.0014661,0.000546866,2.4e-07,1
ash85,baseline,0.00135309,0.00141967,2.61e-07,1
ash85,tuned,0.00127552,0.000410931,2.41e-07,1
ASIC_320ks,baseline,0.00142846,0.0019937,3.91e-07,1
ASIC_320ks,tuned,0.00126803,0.000893796,3.61e-07,1
ASIC_680ks,baseline,0.00142166,0.00226099,3.5e-07,1
ASIC_680ks,tuned,0.00129798,0.00121534,3.51e-07,0
atmosmodm,baseline,0.0014891,0.00323295,3.31e-07,2
atmosmodm,tuned,0.00150378,0.00226035,2.91e-07,2
auto,baseline,0.00159146,0.00205495,2.8e-07,5
auto,tuned,0.00145174,0.00094729,1.9e-07,5
b1_ss,baseline,0.00161251,0.00138247,2.81e-07,1
b1_ss,tuned,0.00154658,0.000330368,2.3e-07,1
b2_ss,baseline,0.00138321,0.00146194,2.3e-07,5
b2_ss,tuned,0.00131833,0.000405839,1.8e-07,5
