matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt,baseline,1.38449,0.00172907,1.6161e-05,5
3elt,tuned,0.0969249,0.000532449,1.1832e-05,5
ACTIVSg70K,baseline,0.0988657,0.00170844,1.5619e-05,1
ACTIVSg70K,tuned,0.0958316,0.000608432,1.8444e-05,1
adder_dcop_05,baseline,0.0989809,0.001602,1.4236e-05,1
adder_dcop_05,tuned,0.0971133,0.000521378,1.2974e-05,1
adder_dcop_09,baseline,0.0982513,0.0016301,1.3124e-05,1
adder_dcop_09,tuned,0.0974118,0.000521448,1.1832e-05,1
adder_dcop_15,baseline,0.0973777,0.00159318,1.2614e-05,1
adder_dcop_15,tuned,0.0966662,0.000530115,1.2052e-05,1
adder_dcop_16,baseline,0.0981716,0.00158766,1.6841e-05,1
adder_dcop_16,tuned,0.0968531,0.000526607,1.1963e-05,1
adder_dcop_17,baseline,0.0982007,0.00159858,1.2934e-05,1
adder_dcop_17,tuned,0.096967,0.000518202,1.1982e-05,1
adder_dcop_27,baseline,0.0985327,0.00159991,1.2894e-05,1
adder_dcop_27,tuned,0.097101,0.000519374,1.2463e-05,1
adder_dcop_29,baseline,0.10154,0.00158184,1.2934e-05,1
adder_dcop_29,tuned,0.0996245,0.00053836,1.1942e-05,1
adder_dcop_34,baseline,0.101358,0.00158295,1.6671e-05,1
adder_dcop_34,tuned,0.100848,0.000535384,1.2434e-05,1
adder_dcop_40,baseline,0.102648,0.00159054,1.1842e-05,1
adder_dcop_40,tuned,0.102352,0.000532999,1.2263e-05,1
adder_dcop_42,baseline,0.0985536,0.00159773,1.2674e-05,1
adder_dcop_42,tuned,0.101183,0.000535124,1.1492e-05,1
adder_dcop_53,baseline,0.0972624,0.00156726,1.3616e-05,1
adder_dcop_53,tuned,0.0981716,0.000522701,1.1842e-05,1
af_1_k101,baseline,0.0992838,0.00282142,1.9837e-05,5
af_1_k101,tuned,0.0985278,0.00172603,1.5019e-05,5
af_2_k101,baseline,0.102458,0.00276574,1.8384e-05,5
af_2_k101,tuned,0.100186,0.00173689,1.5669e-05,5
af_3_k101,baseline,0.100887,0.00279933,1.8615e-05,5
af_3_k101,tuned,0.0990377,0.00171449,1.7483e-05,5
af_shell5,baseline,0.0984896,0.00287565,2.0178e-05,3
af_shell5,tuned,0.0971646,0.00178426,1.9046e-05,3
amazon0302,baseline,0.0987502,0.00194946,1.7052e-05,1
amazon0302,tuned,0.0968387,0.000797396,1.7022e-05,1
appu,baseline,0.0998871,0.00168651,1.3576e-05,1
appu,tuned,0.0990957,0.000731471,1.3516e-05,1
ash85,baseline,0.0969131,0.00164041,1.2093e-05,1
ash85,tuned,0.0968254,0.000497143,1.1181e-05,1
ASIC_320ks,baseline,0.105171,0.00208445,1.8244e-05,1
ASIC_320ks,tuned,0.104089,0.00101186,1.5709e-05,1
ASIC_680ks,baseline,0.096369,0.0023348,1.7513e-05,1
ASIC_680ks,tuned,0.101616,0.00132544,1.5829e-05,1
atmosmodm,baseline,0.0988051,0.00332189,1.1481e-05,2
atmosmodm,tuned,0.104264,0.00229513,1.0921e-05,2
auto,baseline,0.0999795,0.00204541,1.2493e-05,5
auto,tuned,0.0990365,0.00101872,1.1913e-05,5
b1_ss,baseline,0.0990898,0.00145674,1.2723e-05,1
b1_ss,tuned,0.100452,0.000396541,1.2353e-05,1
b2_ss,baseline,0.100472,0.00153403,1.1251e-05,5
b2_ss,tuned,0.0991803,0.000501638,1.083e-05,5
barrier2-10,baseline,0.100738,0.00191418,1.4867e-05,4
barrier2-10,tuned,0.100837,0.00082936,1.4627e-05,4
barrier2-9,baseline,0.107804,0.00191627,1.9145e-05,4
barrier2-9,tuned,0.0995759,0.000846002,1.2894e-05,4
barth4,baseline,0.101655,0.00154754,1.1952e-05,1
barth4,tuned,0.100692,0.000515884,1.1532e-05,1
Baumann,baseline,0.0994167,0.00182352,1.1331e-05,2
Baumann,tuned,0.0998512,0.000773767,1.0119e-05,2
bayer01,baseline,0.0977278,0.00166166,1.3615e-05,5
bayer01,tuned,0.0981529,0.0005515,1.1562e-05,5
bayer07,baseline,0.106361,0.00151126,1.3626e-05,1
bayer07,tuned,0.101042,0.000520493,1.2022e-05,1
bayer09,baseline,0.0993722,0.00154134,1.3284e-05,1
