matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt_dual,baseline,0.00253057,0.000489754,1.06e-06,1
3elt_dual,tuned,0.00283822,0.000408355,5.3e-07,1
662_bus,baseline,0.00263076,0.000147079,7.85e-07,1
662_bus,tuned,0.00209445,7.9134e-05,7.2e-07,1
ACTIVSg2000,baseline,0.00221347,0.000316281,6.55e-07,1
ACTIVSg2000,tuned,0.00146827,0.000239822,5.1e-07,1
add32,baseline,0.00203453,0.000481289,6.9e-07,1
add32,tuned,0.00167388,0.000290736,5.45e-07,1
adder_dcop_04,baseline,0.001991,0.000208853,5.85e-07,1
adder_dcop_04,tuned,0.00128081,0.000139178,5.25e-07,1
adder_dcop_05,baseline,0.00229696,0.000209167,7.15e-07,1
adder_dcop_05,tuned,0.00194905,0.000155643,7.6e-07,1
adder_dcop_06,baseline,0.00252375,0.000212252,6.2e-07,1
adder_dcop_06,tuned,0.00176277,0.000141199,5.45e-07,1
adder_dcop_07,baseline,0.00262906,0.000210542,6.25e-07,1
adder_dcop_07,tuned,0.00181743,0.000135779,5e-07,1
adder_dcop_08,baseline,0.00283355,0.000209833,6.65e-07,1
adder_dcop_08,tuned,0.00185923,0.000139683,6.75e-07,1
adder_dcop_17,baseline,0.00273762,0.000209338,5.7e-07,1
adder_dcop_17,tuned,0.00188003,0.000140933,5.95e-07,1
adder_dcop_33,baseline,0.00307666,0.000219728,7.1e-07,1
adder_dcop_33,tuned,0.00245325,0.000148448,6.35e-07,1
adder_dcop_34,baseline,0.0020502,0.000211683,5.6e-07,1
adder_dcop_34,tuned,0.00136791,0.000140064,5.05e-07,1
adder_dcop_48,baseline,0.00318288,0.000241322,8.85e-07,1
adder_dcop_48,tuned,0.00235165,0.000126939,8.5e-07,1
adder_dcop_52,baseline,0.00270832,0.000207313,6.24e-07,1
adder_dcop_52,tuned,0.00222207,0.000146813,5.75e-07,1
af_1_k101,baseline,0.00290274,0.214003,1.49e-06,1
af_1_k101,tuned,0.00212006,0.210145,1.455e-06,1
af_4_k101,baseline,0.0037095,0.241715,2.47e-06,1
af_4_k101,tuned,0.00261877,0.215982,2.47e-06,1
af_shell4,baseline,0.00293292,0.213725,1.895e-06,1
af_shell4,tuned,0.00218248,0.222239,1.605e-06,1
af_shell7,baseline,0.00251579,0.218843,2.455e-06,1
af_shell7,tuned,0.00243364,0.201337,1.51e-06,1
af_shell8,baseline,0.00281357,0.333002,1.59e-06,1
af_shell8,tuned,0.00205091,0.358741,8.55e-07,1
airfoil_2d,baseline,0.00255987,0.00159269,9.05e-07,1
