matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.00268097,5.0755e-05,1.005e-06,1
494_bus,tuned,0.00161047,3.7334e-05,5.4e-07,1
685_bus,baseline,0.0032107,6.6945e-05,6.2e-07,1
685_bus,tuned,0.0016776,5.6074e-05,5.15e-07,1
add20,baseline,0.0025801,0.000267421,7.4e-07,1
add20,tuned,0.00138645,0.000258442,5.5e-07,1
adder_dcop_03,baseline,0.00248492,0.000178423,5.25e-07,1
adder_dcop_03,tuned,0.00160993,0.000169903,5.45e-07,1
adder_dcop_07,baseline,0.00249888,0.000179018,6.25e-07,1
adder_dcop_07,tuned,0.00151019,0.000170173,5.65e-07,1
adder_dcop_08,baseline,0.00230606,0.000180738,6.4e-07,1
adder_dcop_08,tuned,0.00135582,0.000171323,5.95e-07,1
adder_dcop_09,baseline,0.00235961,0.000180348,6.25e-07,1
adder_dcop_09,tuned,0.00147339,0.000171302,5.8e-07,1
adder_dcop_10,baseline,0.00265075,0.000179023,6.3e-07,1
adder_dcop_10,tuned,0.00195388,0.000171128,6.25e-07,1
adder_dcop_11,baseline,0.00246389,0.000179443,5.8e-07,1
adder_dcop_11,tuned,0.00129578,0.000170823,5.05e-07,1
adder_dcop_20,baseline,0.00261193,0.000188183,9.7e-07,1
adder_dcop_20,tuned,0.00129059,0.000171953,5.9e-07,1
adder_dcop_36,baseline,0.00275593,0.000188473,1.13e-06,1
adder_dcop_36,tuned,0.00161349,0.000172818,6.4e-07,1
adder_dcop_37,baseline,0.00207028,0.000191042,1.045e-06,1
adder_dcop_37,tuned,0.00109844,0.000172373,5.3e-07,1
adder_dcop_51,baseline,0.00207843,0.000185643,5.85e-07,1
adder_dcop_51,tuned,0.00111436,0.000171533,4.9e-07,1
adder_dcop_55,baseline,0.00275617,0.000181808,6.55e-07,1
adder_dcop_55,tuned,0.00165954,0.000173878,6.69e-07,1
af_shell10,baseline,0.00294055,0.694695,2.815e-06,1
af_shell10,tuned,0.00133701,0.693698,1.875e-06,1
af_shell7,baseline,0.00296921,0.233018,1.9e-06,1
af_shell7,tuned,0.00158056,0.231483,1.97e-06,1
aft01,baseline,0.00252406,0.00159288,1.865e-06,1
aft01,tuned,0.00243445,0.00154978,6.55e-07,1
airfoil1,baseline,0.00324234,0.00034004,7.25e-07,5
airfoil1,tuned,0.00158065,0.000329786,5.65e-07,1
amazon0312,baseline,0.00384829,0.0972688,1.155e-06,1
amazon0312,tuned,0.00171965,0.0955029,6.15e-07,1
amazon0601,baseline,0.00313243,0.100275,1.61e-06,1
amazon0601,tuned,0.00193832,0.0986648,6.4e-07,1
as-22july06,baseline,0.00217471,0.00181516,1.54e-06,1
as-22july06,tuned,0.00123278,0.00170523,4.75e-07,1
ASIC_680ks,baseline,0.00312575,0.0404395,1.41e-06,1
ASIC_680ks,tuned,0.00168635,0.0380002,6.6e-07,1
atmosmodj,baseline,0.00270564,0.118992,2.295e-06,1
atmosmodj,tuned,0.00163377,0.117956,2e-06,1
