matrix,Version,Initialization,FeatureExtraction,Inference,Format
3elt_dual,baseline,0.217722,0.000566688,5.081e-05,1
3elt_dual,tuned,0.202123,0.000478534,4.273e-05,1
662_bus,baseline,0.214131,0.000166648,4.9704e-05,1
662_bus,tuned,0.211314,7.8414e-05,4.292e-05,1
ACTIVSg2000,baseline,0.237919,0.000355586,5.6314e-05,1
ACTIVSg2000,tuned,0.245143,0.000263326,4.7755e-05,1
add32,baseline,0.188007,0.00041672,4.8494e-05,1
add32,tuned,0.218054,0.000318131,4.072e-05,1
adder_dcop_04,baseline,0.185305,0.000243532,4.9874e-05,1
adder_dcop_04,tuned,0.206803,0.000152768,4.3654e-05,1
adder_dcop_05,baseline,0.203318,0.000225077,4.9254e-05,1
adder_dcop_05,tuned,0.199354,0.000155363,4.1885e-05,1
adder_dcop_06,baseline,0.197417,0.000231062,5.0344e-05,1
adder_dcop_06,tuned,0.197056,0.000168143,4.2859e-05,1
adder_dcop_07,baseline,0.196347,0.000225292,5.0809e-05,1
adder_dcop_07,tuned,0.19675,0.000150618,4.2835e-05,1
adder_dcop_08,baseline,0.191343,0.000227727,4.9729e-05,1
adder_dcop_08,tuned,0.216781,0.000153048,4.478e-05,1
adder_dcop_17,baseline,0.195569,0.000236852,4.8785e-05,1
adder_dcop_17,tuned,0.197551,0.000152988,4.3949e-05,1
adder_dcop_33,baseline,0.250013,0.000224073,5.7924e-05,1
adder_dcop_33,tuned,0.2475,0.000146214,4.7674e-05,1
adder_dcop_34,baseline,0.175819,0.000198118,4.8549e-05,1
adder_dcop_34,tuned,0.18935,0.000130129,4.147e-05,1
adder_dcop_48,baseline,0.178018,0.000210083,4.938e-05,1
adder_dcop_48,tuned,0.177931,0.000186308,8.7939e-05,1
adder_dcop_52,baseline,0.213661,0.000210868,8.6244e-05,1
adder_dcop_52,tuned,0.205422,0.000192803,8.6835e-05,1
af_1_k101,baseline,0.204521,0.371016,0.000140293,1
af_1_k101,tuned,0.225122,0.378199,6.1234e-05,1
af_4_k101,baseline,0.203445,0.239945,0.000151018,1
af_4_k101,tuned,0.225047,0.240124,9.0164e-05,1
af_shell4,baseline,0.209679,0.356148,0.000139033,1
af_shell4,tuned,0.278722,0.378,6.8804e-05,1
af_shell7,baseline,0.231789,0.229898,0.000149823,1
af_shell7,tuned,0.187951,0.226726,8.5039e-05,1
af_shell8,baseline,0.202693,0.240705,0.000148743,1
af_shell8,tuned,0.213678,0.229332,8.3934e-05,1
airfoil_2d,baseline,0.190736,0.00164827,5.0824e-05,1
airfoil_2d,tuned,0.184969,0.00151966,4.2719e-05,1
amazon-2008,baseline,0.200556,0.0825475,7.2709e-05,1
amazon-2008,tuned,0.204038,0.0803849,7.2564e-05,1
as-caida,baseline,0.198474,0.00046745,5.5589e-05,1
as-caida,tuned,0.204804,0.000304506,4.6425e-05,1
asia_osm,baseline,0.213289,0.748016,0.000183777,1
asia_osm,tuned,0.207062,0.77415,0.000167563,1
ASIC_320ks,baseline,0.192483,0.031101,5.5834e-05,1
ASIC_320ks,tuned,0.194969,0.0315673,5.9234e-05,1
atmosmodl,baseline,0.212871,0.134417,0.000156614,1
atmosmodl,tuned,0.18989,0.141381,8.3844e-05,1
b1_ss,baseline,0.190739,0.000125868,4.0415e-05,2
b1_ss,tuned,0.203602,4.888e-05,3.2314e-05,2
b2_ss,baseline,0.186689,0.000124328,4.875e-05,1
b2_ss,tuned,0.19138,5.9944e-05,4.1839e-05,1
barrier2-1,baseline,0.198454,0.0140066,5.3249e-05,1
barrier2-1,tuned,0.200464,0.0146489,4.8169e-05,1
barrier2-3,baseline,0.193495,0.0139916,5.2444e-05,1
barrier2-3,tuned,0.185488,0.0139524,4.9025e-05,1
bayer04,baseline,0.187772,0.000304336,5.1355e-05,1
bayer04,tuned,0.197353,0.000172783,4.2205e-05,1
bayer07,baseline,0.197078,0.000171108,4.9989e-05,1
bayer07,tuned,0.196205,8.8149e-05,4.1515e-05,1
bayer10,baseline,0.207852,0.000244137,4.8049e-05,1
bayer10,tuned,0.201168,0.000130409,4.0204e-05,1
bcspwr08,baseline,0.189679,0.000303162,5.4165e-05,1
bcspwr08,tuned,0.195123,0.000162388,4.288e-05,1
bcsstk03,baseline,0.21624,0.000131758,5.113e-05,1
bcsstk03,tuned,0.202837,5.9469e-05,4.3565e-05,1
bcsstk04,baseline,0.1945,0.000146858,4.924e-05,1
bcsstk04,tuned,0.201134,8.2714e-05,0.000111474,1
bcsstk06,baseline,0.206179,0.000235878,4.7729e-05,1
bcsstk06,tuned,0.188607,0.000164813,4.2345e-05,1
bcsstk11,baseline,0.194411,0.000395955,5.1645e-05,1
bcsstk11,tuned,0.202682,0.000312671,4.298e-05,1
bcsstk14,baseline,0.202005,0.000671177,5.3609e-05,1
bcsstk14,tuned,0.20402,0.000628737,4.2559e-05,1
bcsstk16,baseline,0.207289,0.00165727,5.3724e-05,1
bcsstk16,tuned,0.191927,0.00157357,4.4054e-05,1
bcsstk17,baseline,0.208011,0.003068,5.1215e-05,1
bcsstk17,tuned,0.198662,0.00310696,4.2879e-05,1
bcsstk20,baseline,0.201013,0.000193198,5.1584e-05,1
bcsstk20,tuned,0.201959,0.000115864,4.5349e-05,1
bcsstk36,baseline,0.171032,0.00899092,5.1365e-05,1
bcsstk36,tuned,0.193109,0.0087257,4.3189e-05,1
bcsstk38,baseline,0.167356,0.0023427,5.0275e-05,1
bcsstk38,tuned,0.184718,0.00227942,4.7039e-05,1
bcsstm04,baseline,0.207349,0.000120409,3.746e-05,2
bcsstm04,tuned,0.20859,5.4699e-05,3.205e-05,2
bcsstm09,baseline,0.188585,0.000148119,3.9869e-05,2
bcsstm09,tuned,0.193099,7.6944e-05,3.222e-05,2
bcsstm11,baseline,0.186247,0.000171893,4.0985e-05,2
bcsstm11,tuned,0.195912,0.000102689,3.418e-05,2
bcsstm12,baseline,0.183123,0.000309122,4.8964e-05,1
bcsstm12,tuned,0.201916,0.000229023,4.2429e-05,1
bcsstm19,baseline,0.205874,0.000145068,3.937e-05,2
bcsstm19,tuned,0.201081,7.2714e-05,3.32e-05,2
bcsstm39,baseline,0.206293,0.00147289,3.9314e-05,2
bcsstm39,tuned,0.192842,0.00135528,3.4285e-05,2
