matrix,Version,Initialization,FeatureExtraction,Inference,Format
494_bus,baseline,0.211353,4.9604e-05,3.5985e-05,1
494_bus,tuned,0.21586,4.022e-05,3.9844e-05,1
685_bus,baseline,0.225762,6.6494e-05,3.4615e-05,1
685_bus,tuned,0.211298,5.6659e-05,3.2155e-05,1
add20,baseline,0.194342,0.000277027,3.7015e-05,1
add20,tuned,0.188113,0.000274652,3.5009e-05,1
adder_dcop_03,baseline,0.196398,0.000195773,3.157e-05,1
adder_dcop_03,tuned,0.193744,0.000183943,5.1979e-05,1
adder_dcop_07,baseline,0.205037,0.000198993,3.5055e-05,1
adder_dcop_07,tuned,0.208108,0.000172988,3.1315e-05,1
adder_dcop_08,baseline,0.205774,0.000196403,3.3625e-05,1
adder_dcop_08,tuned,0.199699,0.000181673,4.852e-05,1
adder_dcop_09,baseline,0.192158,0.000193883,3.184e-05,1
adder_dcop_09,tuned,0.194065,0.000173309,3.2489e-05,1
adder_dcop_10,baseline,0.196999,0.000188383,3.1814e-05,1
adder_dcop_10,tuned,0.194275,0.000172378,3.155e-05,1
adder_dcop_11,baseline,0.204886,0.000187503,3.1329e-05,1
adder_dcop_11,tuned,0.199271,0.000172503,3.2839e-05,1
adder_dcop_20,baseline,0.19604,0.000188803,3.233e-05,1
adder_dcop_20,tuned,0.192529,0.000171213,3.3735e-05,1
adder_dcop_36,baseline,0.201217,0.000193723,3.1755e-05,1
adder_dcop_36,tuned,0.205387,0.000177828,3.1345e-05,1
adder_dcop_37,baseline,0.209589,0.000190523,3.2504e-05,1
adder_dcop_37,tuned,0.202896,0.000172998,3.2169e-05,1
adder_dcop_51,baseline,0.18302,0.000197188,3.229e-05,1
adder_dcop_51,tuned,0.194135,0.000171798,3.1055e-05,1
adder_dcop_55,baseline,0.200445,0.000188253,3.181e-05,1
adder_dcop_55,tuned,0.194727,0.000171268,3.158e-05,1
af_shell10,baseline,0.192221,0.691897,7.3414e-05,1
af_shell10,tuned,0.199515,0.690897,7.044e-05,1
af_shell7,baseline,0.198932,0.232004,5.5679e-05,1
af_shell7,tuned,0.209083,0.230878,6.4044e-05,1
aft01,baseline,0.194936,0.00159577,3.303e-05,1
aft01,tuned,0.211101,0.00157866,3.3005e-05,1
airfoil1,baseline,0.206185,0.000350857,3.4624e-05,1
airfoil1,tuned,0.195931,0.000348526,3.562e-05,1
amazon0312,baseline,0.198432,0.0969556,3.6005e-05,1
amazon0312,tuned,0.198463,0.0967431,4.6285e-05,1
amazon0601,baseline,0.191188,0.101021,3.7014e-05,1
amazon0601,tuned,0.197533,0.100705,5.381e-05,1
as-22july06,baseline,0.20555,0.00183137,4.7055e-05,1
as-22july06,tuned,0.201136,0.00176951,3.9185e-05,1
ASIC_680ks,baseline,0.1932,0.0401818,4.8419e-05,1
ASIC_680ks,tuned,0.211172,0.0391987,6.4325e-05,1
atmosmodj,baseline,0.1928,0.118438,7.2704e-05,1
atmosmodj,tuned,0.199883,0.118524,7.4639e-05,1
atmosmodm,baseline,0.192687,0.137442,7.7619e-05,1
atmosmodm,tuned,0.214345,0.137107,7.8359e-05,1
auto,baseline,0.208753,0.218411,5.0449e-05,1
auto,tuned,0.192952,0.217394,5.9019e-05,1
barrier2-3,baseline,0.205852,0.0573861,3.661e-05,1
barrier2-3,tuned,0.194568,0.0567424,4.013e-05,1
barrier2-4,baseline,0.190604,0.0576425,3.7294e-05,1
barrier2-4,tuned,0.209378,0.0569495,4.648e-05,1
barth5,baseline,0.184425,0.000966075,3.528e-05,1
barth5,tuned,0.199555,0.000936035,3.665e-05,1
bayer02,baseline,0.187611,0.00101657,3.8634e-05,1
bayer02,tuned,0.202091,0.000989574,3.942e-05,1
bayer06,baseline,0.207737,0.000415461,3.9809e-05,2
bayer06,tuned,0.192711,0.00040317,3.9505e-05,2
bcspwr07,baseline,0.191155,0.000107028,3.198e-05,1
