matrix,Format,Timings,OptimumFormat
1138_bus,0,4.2508e-05,1
1138_bus,1,2.1892e-05,1
1138_bus,2,9.8496e-05,1
1138_bus,3,4.78459e-05,1
1138_bus,4,6.88246e-05,1
1138_bus,5,4.4577e-05,1
144,0,0.000985266,1
144,1,0.000791691,1
144,2,inf,1
144,3,0.00127102,1
144,4,0.00127969,1
144,5,0.000951443,1
2D_27628_bjtcai,0,0.000167214,1
2D_27628_bjtcai,1,7.57024e-05,1
2D_27628_bjtcai,2,0.0066236,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000261415,1
2D_27628_bjtcai,5,8.44588e-05,1
2D_54019_highK,0,0.000354226,1
2D_54019_highK,1,0.000133357,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00430778,1
2D_54019_highK,4,0.000492231,1
2D_54019_highK,5,0.000178823,1
333SP,0,0.0219402,1
333SP,1,0.0202678,1
333SP,2,inf,1
333SP,3,0.0442912,1
333SP,4,0.0436939,1
333SP,5,0.0207084,1
3D_28984_Tetra,0,0.000236306,1
3D_28984_Tetra,1,0.000122649,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000299542,1
3D_28984_Tetra,5,0.00021515,1
3D_51448_3D,0,0.000371558,1
3D_51448_3D,1,0.000179157,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000512007,1
3D_51448_3D,5,0.000252718,1
3dtube,0,0.00123159,1
3dtube,1,0.000530459,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.00143777,1
3dtube,5,0.000759011,1
3elt,0,4.69255e-05,1
3elt,1,2.41741e-05,1
3elt,2,0.00075813,1
3elt,3,6.054e-05,1
3elt,4,8.02608e-05,1
3elt,5,4.53948e-05,1
3elt_dual,0,4.46967e-05,1
3elt_dual,1,2.67162e-05,1
3elt_dual,2,0.0011652,1
3elt_dual,3,6.36258e-05,1
3elt_dual,4,8.3388e-05,1
3elt_dual,5,5.05453e-05,1
494_bus,0,4.37161e-05,1
494_bus,1,2.2425e-05,1
494_bus,2,4.21882e-05,1
494_bus,3,4.58238e-05,1
494_bus,4,6.74877e-05,1
494_bus,5,4.3824e-05,1
598a,0,0.000610269,1
598a,1,0.000522436,1
598a,2,inf,1
598a,3,0.00100183,1
598a,4,0.000985509,1
598a,5,0.000552005,1
662_bus,0,4.34786e-05,1
662_bus,1,2.22267e-05,1
662_bus,2,5.02122e-05,1
662_bus,3,4.65466e-05,1
662_bus,4,6.83047e-05,1
662_bus,5,4.41328e-05,1
685_bus,0,4.65217e-05,1
685_bus,1,2.27958e-05,1
685_bus,2,4.67644e-05,1
685_bus,3,5.00584e-05,1
685_bus,4,7.10836e-05,1
685_bus,5,4.63969e-05,1
a0nsdsil,0,0.000171575,1
a0nsdsil,1,0.000128213,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.000439599,1
a0nsdsil,5,0.000190197,1
a2nnsnsl,0,0.000140839,1
a2nnsnsl,1,0.000127808,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.00048945,1
a2nnsnsl,5,0.000187076,1
a5esindl,0,0.000128022,0
a5esindl,1,0.000138463,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.000237231,0
a5esindl,5,0.000187107,0
ABACUS_shell_ud,0,0.000116464,1
ABACUS_shell_ud,1,5.30647e-05,1
ABACUS_shell_ud,2,0.00174198,1
ABACUS_shell_ud,3,0.0001647,1
ABACUS_shell_ud,4,0.000181583,1
ABACUS_shell_ud,5,7.07893e-05,1
ACTIVSg10K,0,6.98004e-05,1
ACTIVSg10K,1,4.23732e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.00015538,1
ACTIVSg10K,4,0.000136067,1
ACTIVSg10K,5,6.99107e-05,1
ACTIVSg2000,0,4.78409e-05,1
ACTIVSg2000,1,2.49134e-05,1
ACTIVSg2000,2,0.00107731,1
ACTIVSg2000,3,0.000161679,1
ACTIVSg2000,4,8.02546e-05,1
ACTIVSg2000,5,4.61493e-05,1
ACTIVSg70K,0,7.6984e-05,1
ACTIVSg70K,1,7.46267e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,0.000347551,1
ACTIVSg70K,4,0.000329741,1
ACTIVSg70K,5,0.000123238,1
adaptive,0,0.0132337,1
adaptive,1,0.0124407,1
adaptive,2,inf,1
adaptive,3,0.0359292,1
adaptive,4,0.0435679,1
adaptive,5,0.0164316,1
add20,0,4.65644e-05,1
add20,1,2.60123e-05,1
add20,2,0.000657521,1
add20,3,0.000511918,1
add20,4,7.72367e-05,1
add20,5,4.5542e-05,1
add32,0,4.76892e-05,1
add32,1,2.50657e-05,1
add32,2,0.00168942,1
add32,3,0.0010085,1
add32,4,8.28261e-05,1
add32,5,4.6698e-05,1
adder_dcop_01,0,4.43532e-05,1
adder_dcop_01,1,2.60983e-05,1
adder_dcop_01,2,0.000585656,1
adder_dcop_01,3,0.000128698,1
adder_dcop_01,4,0.000108815,1
adder_dcop_01,5,4.75509e-05,1
adder_dcop_02,0,4.40203e-05,1
adder_dcop_02,1,2.58209e-05,1
adder_dcop_02,2,0.000556062,1
adder_dcop_02,3,0.000128264,1
adder_dcop_02,4,0.000102708,1
adder_dcop_02,5,4.80298e-05,1
adder_dcop_03,0,4.43126e-05,1
adder_dcop_03,1,2.60424e-05,1
adder_dcop_03,2,0.000589628,1
adder_dcop_03,3,0.000128045,1
adder_dcop_03,4,0.000104929,1
adder_dcop_03,5,4.693e-05,1
adder_dcop_04,0,4.41154e-05,1
adder_dcop_04,1,2.57408e-05,1
adder_dcop_04,2,0.000557061,1
adder_dcop_04,3,0.000127992,1
adder_dcop_04,4,0.000104789,1
adder_dcop_04,5,4.75885e-05,1
adder_dcop_05,0,4.45614e-05,1
adder_dcop_05,1,2.58946e-05,1
adder_dcop_05,2,0.000556427,1
adder_dcop_05,3,0.00012797,1
adder_dcop_05,4,0.000105706,1
adder_dcop_05,5,4.75265e-05,1
adder_dcop_06,0,4.43751e-05,1
adder_dcop_06,1,2.58406e-05,1
adder_dcop_06,2,0.000558676,1
adder_dcop_06,3,0.000127948,1
adder_dcop_06,4,0.000102439,1
adder_dcop_06,5,4.76565e-05,1
adder_dcop_07,0,4.42873e-05,1
adder_dcop_07,1,2.58248e-05,1
adder_dcop_07,2,0.000558748,1
adder_dcop_07,3,0.000128319,1
adder_dcop_07,4,0.000102168,1
adder_dcop_07,5,4.75279e-05,1
adder_dcop_08,0,4.43176e-05,1
adder_dcop_08,1,2.61674e-05,1
adder_dcop_08,2,0.000591358,1
adder_dcop_08,3,0.000127911,1
adder_dcop_08,4,0.000100503,1
adder_dcop_08,5,4.79443e-05,1
adder_dcop_09,0,4.4101e-05,1
adder_dcop_09,1,2.61556e-05,1
adder_dcop_09,2,0.000564636,1
adder_dcop_09,3,0.000128616,1
adder_dcop_09,4,0.000105503,1
adder_dcop_09,5,4.75147e-05,1
adder_dcop_10,0,4.41192e-05,1
adder_dcop_10,1,2.59091e-05,1
adder_dcop_10,2,0.000560404,1
adder_dcop_10,3,0.000127917,1
adder_dcop_10,4,0.000101868,1
adder_dcop_10,5,4.71203e-05,1
adder_dcop_11,0,4.40143e-05,1
adder_dcop_11,1,2.5807e-05,1
adder_dcop_11,2,0.000556654,1
adder_dcop_11,3,0.000157436,1
adder_dcop_11,4,0.000100217,1
adder_dcop_11,5,4.75527e-05,1
adder_dcop_12,0,4.45131e-05,1
