matrix,Format,Timings,OptimumFormat
1138_bus,0,2.67359e-05,0
1138_bus,1,4.32311e-05,0
1138_bus,2,0.00337139,0
1138_bus,3,0.000156478,0
1138_bus,4,0.000127135,0
1138_bus,5,5.57097e-05,0
144,0,0.0278372,5
144,1,0.0247337,5
144,2,inf,5
144,3,0.05188,5
144,4,0.0500996,5
144,5,0.0244749,5
2D_27628_bjtcai,0,0.00461477,5
2D_27628_bjtcai,1,0.00226914,5
2D_27628_bjtcai,2,0.267676,5
2D_27628_bjtcai,3,inf,5
2D_27628_bjtcai,4,0.0095517,5
2D_27628_bjtcai,5,0.00152478,5
2D_54019_highK,0,0.0114025,1
2D_54019_highK,1,0.0054565,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.142146,1
2D_54019_highK,4,0.0200203,1
2D_54019_highK,5,0.00619694,1
333SP,0,0.357808,0
333SP,1,0.461354,0
333SP,2,inf,0
333SP,3,1.24002,0
333SP,4,1.13179,0
333SP,5,0.534488,0
3D_28984_Tetra,0,0.00721506,1
3D_28984_Tetra,1,0.00323529,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.0114407,1
3D_28984_Tetra,5,0.00591898,1
3D_51448_3D,0,0.0127316,1
3D_51448_3D,1,0.00558759,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.0203041,1
3D_51448_3D,5,0.00879209,1
3dtube,0,0.0518893,1
3dtube,1,0.0168002,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0573789,1
3dtube,5,0.0257063,1
3elt,0,0.000196325,1
3elt,1,0.000176417,1
3elt,2,0.030806,1
3elt,3,0.000792455,1
3elt,4,0.000689998,1
3elt,5,0.000177612,1
3elt_dual,0,0.000123596,0
3elt_dual,1,0.000328938,0
3elt_dual,2,0.0494525,0
3elt_dual,3,0.000949126,0
3elt_dual,4,0.000901133,0
3elt_dual,5,0.000404439,0
494_bus,0,1.0331e-05,0
494_bus,1,1.79577e-05,0
494_bus,2,0.00106457,0
494_bus,3,6.46833e-05,0
494_bus,4,5.48634e-05,0
494_bus,5,1.94749e-05,0
598a,0,0.019159,5
598a,1,0.0201014,5
598a,2,inf,5
598a,3,0.0369095,5
598a,4,0.036091,5
598a,5,0.0177265,5
662_bus,0,1.55876e-05,0
662_bus,1,2.47408e-05,0
662_bus,2,0.00141755,0
662_bus,3,8.95511e-05,0
662_bus,4,7.29778e-05,0
662_bus,5,2.6612e-05,0
685_bus,0,2.29235e-05,0
685_bus,1,2.7336e-05,0
685_bus,2,0.00123384,0
685_bus,3,0.000111255,0
685_bus,4,9.51747e-05,0
685_bus,5,3.38687e-05,0
a0nsdsil,0,0.00246636,0
a0nsdsil,1,0.00314684,0
a0nsdsil,2,inf,0
a0nsdsil,3,inf,0
a0nsdsil,4,0.010273,0
a0nsdsil,5,0.00328262,0
a2nnsnsl,0,0.00239243,0
a2nnsnsl,1,0.00314737,0
a2nnsnsl,2,inf,0
a2nnsnsl,3,inf,0
a2nnsnsl,4,0.0102707,0
a2nnsnsl,5,0.00326037,0
a5esindl,0,0.00171,0
a5esindl,1,0.00233607,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.00759688,0
a5esindl,5,0.0024299,0
ABACUS_shell_ud,0,0.00189437,5
ABACUS_shell_ud,1,0.00169605,5
ABACUS_shell_ud,2,0.0745344,5
ABACUS_shell_ud,3,0.00539698,5
ABACUS_shell_ud,4,0.00516826,5
ABACUS_shell_ud,5,0.0010667,5
ACTIVSg10K,0,0.00116325,1
ACTIVSg10K,1,0.00104196,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.00748508,1
ACTIVSg10K,4,0.00344567,1
ACTIVSg10K,5,0.00124956,1
ACTIVSg2000,0,0.000256175,1
ACTIVSg2000,1,0.000218851,1
ACTIVSg2000,2,0.0439822,1
ACTIVSg2000,3,0.00652611,1
ACTIVSg2000,4,0.000751824,1
ACTIVSg2000,5,0.000224484,1
ACTIVSg70K,0,0.00145833,0
ACTIVSg70K,1,0.00262911,0
ACTIVSg70K,2,inf,0
ACTIVSg70K,3,0.00971142,0
ACTIVSg70K,4,0.00800631,0
ACTIVSg70K,5,0.00351715,0
adaptive,0,0.235632,0
adaptive,1,0.362673,0
adaptive,2,inf,0
adaptive,3,1.02559,0
adaptive,4,0.906684,0
adaptive,5,0.514558,0
add20,0,0.000188022,1
add20,1,0.000150698,1
add20,2,0.026818,1
add20,3,0.0142797,1
add20,4,0.000453367,1
add20,5,0.000150884,1
add32,0,0.000181297,0
add32,1,0.000234784,0
add32,2,0.0719068,0
add32,3,0.0280202,0
add32,4,0.000732405,0
add32,5,0.000236664,0
adder_dcop_01,0,9.71259e-05,1
adder_dcop_01,1,7.88784e-05,1
adder_dcop_01,2,0.0225013,1
adder_dcop_01,3,0.00385458,1
adder_dcop_01,4,0.000328267,1
adder_dcop_01,5,9.05146e-05,1
adder_dcop_02,0,9.81415e-05,1
adder_dcop_02,1,7.87841e-05,1
adder_dcop_02,2,0.022547,1
adder_dcop_02,3,0.00387412,1
adder_dcop_02,4,0.000327573,1
adder_dcop_02,5,9.07582e-05,1
adder_dcop_03,0,9.98236e-05,1
adder_dcop_03,1,9.04565e-05,1
adder_dcop_03,2,0.0225856,1
adder_dcop_03,3,0.0038544,1
adder_dcop_03,4,0.000337382,1
adder_dcop_03,5,0.000102197,1
adder_dcop_04,0,9.66431e-05,1
adder_dcop_04,1,7.89922e-05,1
adder_dcop_04,2,0.0225828,1
adder_dcop_04,3,0.00384943,1
adder_dcop_04,4,0.000328857,1
adder_dcop_04,5,9.07022e-05,1
adder_dcop_05,0,9.66757e-05,1
adder_dcop_05,1,7.87018e-05,1
adder_dcop_05,2,0.0225343,1
adder_dcop_05,3,0.00378506,1
adder_dcop_05,4,0.000328628,1
adder_dcop_05,5,9.0263e-05,1
adder_dcop_06,0,9.78878e-05,1
adder_dcop_06,1,7.87921e-05,1
adder_dcop_06,2,0.0225593,1
adder_dcop_06,3,0.00386244,1
adder_dcop_06,4,0.00032693,1
adder_dcop_06,5,9.03575e-05,1
