matrix,Format,Timings,OptimumFormat
1138_bus,0,0.000748825,3
1138_bus,1,0.000670557,3
1138_bus,2,0.000713581,3
1138_bus,3,0.000669127,3
1138_bus,4,0.00139592,3
1138_bus,5,0.00134178,3
144,0,0.000893524,1
144,1,0.000760824,1
144,2,inf,1
144,3,0.00077655,1
144,4,0.00155112,1
144,5,0.00145441,1
2D_27628_bjtcai,0,0.0007728,1
2D_27628_bjtcai,1,0.000672243,1
2D_27628_bjtcai,2,0.00110396,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.00141906,1
2D_27628_bjtcai,5,0.00132841,1
2D_54019_highK,0,0.000794728,1
2D_54019_highK,1,0.000688667,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00114634,1
2D_54019_highK,4,0.00141601,1
2D_54019_highK,5,0.00134398,1
333SP,0,0.00182134,1
333SP,1,0.0014454,1
333SP,2,inf,1
333SP,3,0.00182135,1
333SP,4,0.00228381,1
333SP,5,0.00217898,1
3D_28984_Tetra,0,0.000784426,1
3D_28984_Tetra,1,0.00068752,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.0013985,1
3D_28984_Tetra,5,0.00138852,1
3D_51448_3D,0,0.000795181,1
3D_51448_3D,1,0.000697555,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.00139783,1
3D_51448_3D,5,0.001367,1
3dtube,0,0.000890205,1
3dtube,1,0.000824708,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.00189397,1
3dtube,5,0.00147359,1
3elt,0,0.000730241,1
3elt,1,0.000660065,1
3elt,2,0.000910203,1
3elt,3,0.000660357,1
3elt,4,0.00137958,1
3elt,5,0.00130717,1
3elt_dual,0,0.000735611,1
3elt_dual,1,0.000667006,1
3elt_dual,2,0.000897078,1
3elt_dual,3,0.000667859,1
3elt_dual,4,0.00139297,1
3elt_dual,5,0.00132874,1
494_bus,0,0.000724953,1
494_bus,1,0.000668243,1
494_bus,2,0.000693902,1
494_bus,3,0.000668624,1
494_bus,4,0.00138511,1
494_bus,5,0.00132596,1
598a,0,0.000827625,1
598a,1,0.000693725,1
598a,2,inf,1
598a,3,0.000733419,1
598a,4,0.00147287,1
598a,5,0.00135096,1
662_bus,0,0.0007276,1
662_bus,1,0.000668988,1
662_bus,2,0.000700791,1
662_bus,3,0.000672412,1
662_bus,4,0.00138889,1
662_bus,5,0.00133305,1
685_bus,0,0.000726666,1
685_bus,1,0.000667933,1
685_bus,2,0.000689691,1
685_bus,3,0.000669391,1
685_bus,4,0.00138603,1
685_bus,5,0.00133167,1
a0nsdsil,0,0.000780366,0
a0nsdsil,1,0.000830532,0
a0nsdsil,2,inf,0
a0nsdsil,3,inf,0
a0nsdsil,4,0.00140926,0
a0nsdsil,5,0.00156775,0
a2nnsnsl,0,0.000779286,0
a2nnsnsl,1,0.000809766,0
a2nnsnsl,2,inf,0
a2nnsnsl,3,inf,0
a2nnsnsl,4,0.00140502,0
a2nnsnsl,5,0.00156648,0
a5esindl,0,0.000774661,0
a5esindl,1,0.000926763,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.00140311,0
a5esindl,5,0.00176803,0
ABACUS_shell_ud,0,0.000783965,1
ABACUS_shell_ud,1,0.000667386,1
ABACUS_shell_ud,2,0.000841584,1
ABACUS_shell_ud,3,0.000670045,1
ABACUS_shell_ud,4,0.00139042,1
ABACUS_shell_ud,5,0.00132447,1
ACTIVSg10K,0,0.00076203,1
ACTIVSg10K,1,0.000666401,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.000672734,1
ACTIVSg10K,4,0.00139679,1
ACTIVSg10K,5,0.00132469,1
ACTIVSg2000,0,0.000737695,1
ACTIVSg2000,1,0.000664064,1
ACTIVSg2000,2,0.00106691,1
ACTIVSg2000,3,0.000755337,1
ACTIVSg2000,4,0.00138759,1
ACTIVSg2000,5,0.0013237,1
ACTIVSg70K,0,0.00076342,1
ACTIVSg70K,1,0.000667415,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,0.000673332,1
ACTIVSg70K,4,0.00140242,1
ACTIVSg70K,5,0.00132544,1
adaptive,0,0.001818,1
adaptive,1,0.00151781,1
adaptive,2,inf,1
adaptive,3,0.00199096,1
adaptive,4,0.00263152,1
adaptive,5,0.00203892,1
add20,0,0.000733079,1
add20,1,0.000667258,1
add20,2,0.00102637,1
add20,3,0.00181514,1
add20,4,0.00138871,1
add20,5,0.00132627,1
add32,0,0.000734689,1
add32,1,0.000664106,1
add32,2,0.00114958,1
add32,3,0.00180583,1
add32,4,0.00138939,1
add32,5,0.00132418,1
adder_dcop_01,0,0.000727518,1
adder_dcop_01,1,0.000689377,1
adder_dcop_01,2,0.000973985,1
adder_dcop_01,3,0.000804037,1
adder_dcop_01,4,0.0013882,1
adder_dcop_01,5,0.00135359,1
adder_dcop_02,0,0.000731667,0
adder_dcop_02,1,0.000800801,0
adder_dcop_02,2,0.00120345,0
adder_dcop_02,3,0.000809372,0
adder_dcop_02,4,0.00139385,0
adder_dcop_02,5,0.00135993,0
adder_dcop_03,0,0.000732558,1
adder_dcop_03,1,0.000690664,1
adder_dcop_03,2,0.000977903,1
adder_dcop_03,3,0.000809676,1
adder_dcop_03,4,0.00139168,1
adder_dcop_03,5,0.00135932,1
adder_dcop_04,0,0.000731941,1
adder_dcop_04,1,0.000691432,1
adder_dcop_04,2,0.000978613,1
adder_dcop_04,3,0.000809258,1
adder_dcop_04,4,0.00138943,1
adder_dcop_04,5,0.00135804,1
adder_dcop_05,0,0.0007336,1
adder_dcop_05,1,0.000691409,1
adder_dcop_05,2,0.000977476,1
adder_dcop_05,3,0.000809885,1
