matrix,Format,Timings,OptimumFormat
1138_bus,0,1.17478e-05,1
1138_bus,1,5.45309e-06,1
1138_bus,2,0.00011308,1
1138_bus,3,1.38888e-05,1
1138_bus,4,1.81237e-05,1
1138_bus,5,1.04895e-05,1
144,0,0.000597383,1
144,1,0.000297251,1
144,2,inf,1
144,3,0.00121143,1
144,4,0.00128231,1
144,5,0.000354955,1
2D_27628_bjtcai,0,0.000142159,5
2D_27628_bjtcai,1,6.00717e-05,5
2D_27628_bjtcai,2,0.00994106,5
2D_27628_bjtcai,3,inf,5
2D_27628_bjtcai,4,0.000214927,5
2D_27628_bjtcai,5,4.82132e-05,5
2D_54019_highK,0,0.000264657,1
2D_54019_highK,1,0.000115275,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00776514,1
2D_54019_highK,4,0.000445371,1
2D_54019_highK,5,0.000149774,1
333SP,0,0.0228438,1
333SP,1,0.0167443,1
333SP,2,inf,1
333SP,3,0.0503957,1
333SP,4,0.0513953,1
333SP,5,0.0194733,1
3D_28984_Tetra,0,0.000180123,1
3D_28984_Tetra,1,7.97402e-05,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000247536,1
3D_28984_Tetra,5,0.00016417,1
3D_51448_3D,0,0.000291887,1
3D_51448_3D,1,0.000127934,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000425754,1
3D_51448_3D,5,0.000207537,1
3dtube,0,0.00115478,1
3dtube,1,0.000411917,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.00145008,1
3dtube,5,0.00077028,1
3elt,0,1.49191e-05,1
3elt,1,8.03389e-06,1
3elt,2,0.000926363,1
3elt,3,2.8932e-05,1
3elt,4,3.23018e-05,1
3elt,5,1.35212e-05,1
3elt_dual,0,1.41504e-05,1
3elt_dual,1,8.03478e-06,1
3elt_dual,2,0.00148687,1
3elt_dual,3,3.58517e-05,1
3elt_dual,4,3.91328e-05,1
3elt_dual,5,1.60271e-05,1
494_bus,0,1.12363e-05,1
494_bus,1,5.23308e-06,1
494_bus,2,3.67648e-05,1
494_bus,3,1.1685e-05,1
494_bus,4,1.62344e-05,1
494_bus,5,1.03352e-05,1
598a,0,0.000424647,1
598a,1,0.000233782,1
598a,2,inf,1
598a,3,0.000951072,1
598a,4,0.000900793,1
598a,5,0.000264072,1
662_bus,0,1.12513e-05,1
662_bus,1,5.26918e-06,1
662_bus,2,5.24196e-05,1
662_bus,3,1.20975e-05,1
662_bus,4,1.67028e-05,1
662_bus,5,1.0104e-05,1
685_bus,0,1.15775e-05,1
685_bus,1,5.3569e-06,1
685_bus,2,4.24819e-05,1
685_bus,3,1.23693e-05,1
685_bus,4,1.72269e-05,1
685_bus,5,1.0281e-05,1
a0nsdsil,0,0.00010988,1
a0nsdsil,1,6.22838e-05,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.0002959,1
a0nsdsil,5,0.000105157,1
a2nnsnsl,0,0.000129889,1
a2nnsnsl,1,7.79885e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.000309258,1
a2nnsnsl,5,0.000112726,1
a5esindl,0,0.000113611,1
a5esindl,1,7.2426e-05,1
a5esindl,2,inf,1
a5esindl,3,inf,1
a5esindl,4,0.000221539,1
a5esindl,5,0.000109585,1
ABACUS_shell_ud,0,5.45443e-05,1
ABACUS_shell_ud,1,2.81045e-05,1
ABACUS_shell_ud,2,0.0027591,1
ABACUS_shell_ud,3,0.000141423,1
ABACUS_shell_ud,4,0.000146436,1
ABACUS_shell_ud,5,3.32608e-05,1
ACTIVSg10K,0,5.02963e-05,1
ACTIVSg10K,1,2.8152e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.000168197,1
ACTIVSg10K,4,9.9433e-05,1
ACTIVSg10K,5,2.99562e-05,1
ACTIVSg2000,0,1.60988e-05,1
ACTIVSg2000,1,9.44615e-06,1
ACTIVSg2000,2,0.00139687,1
ACTIVSg2000,3,0.000246772,1
ACTIVSg2000,4,3.75231e-05,1
ACTIVSg2000,5,1.42419e-05,1
ACTIVSg70K,0,4.60124e-05,0
ACTIVSg70K,1,6.93451e-05,0
ACTIVSg70K,2,inf,0
ACTIVSg70K,3,0.000261041,0
ACTIVSg70K,4,0.000243996,0
ACTIVSg70K,5,7.72045e-05,0
adaptive,0,0.0276692,1
adaptive,1,0.0213215,1
adaptive,2,inf,1
adaptive,3,0.0550212,1
adaptive,4,0.060555,1
adaptive,5,0.0260783,1
add20,0,1.63973e-05,1
add20,1,1.17703e-05,1
add20,2,0.000847487,1
add20,3,0.00068192,1
add20,4,2.69152e-05,1
add20,5,1.32875e-05,1
add32,0,1.61501e-05,1
add32,1,1.0482e-05,1
add32,2,0.0023397,1
add32,3,0.00136329,1
add32,4,3.21205e-05,1
add32,5,1.36622e-05,1
adder_dcop_01,0,1.29604e-05,1
adder_dcop_01,1,1.00067e-05,1
adder_dcop_01,2,0.000709106,1
adder_dcop_01,3,0.000172694,1
adder_dcop_01,4,2.28397e-05,1
adder_dcop_01,5,1.45226e-05,1
adder_dcop_02,0,1.29448e-05,1
adder_dcop_02,1,9.81121e-06,1
adder_dcop_02,2,0.000708378,1
adder_dcop_02,3,0.000171562,1
adder_dcop_02,4,2.28661e-05,1
adder_dcop_02,5,1.42038e-05,1
adder_dcop_03,0,1.27266e-05,1
adder_dcop_03,1,9.88677e-06,1
adder_dcop_03,2,0.000707117,1
adder_dcop_03,3,0.000172614,1
adder_dcop_03,4,2.31382e-05,1
adder_dcop_03,5,1.41636e-05,1
adder_dcop_04,0,1.28255e-05,1
adder_dcop_04,1,9.6973e-06,1
adder_dcop_04,2,0.000702987,1
adder_dcop_04,3,0.000172853,1
adder_dcop_04,4,2.24877e-05,1
adder_dcop_04,5,1.43634e-05,1
adder_dcop_05,0,1.29909e-05,1
adder_dcop_05,1,9.76555e-06,1
adder_dcop_05,2,0.000710033,1
adder_dcop_05,3,0.000172471,1
adder_dcop_05,4,2.32708e-05,1
adder_dcop_05,5,1.41925e-05,1
adder_dcop_06,0,1.3009e-05,1
adder_dcop_06,1,9.75154e-06,1
adder_dcop_06,2,0.000705461,1
adder_dcop_06,3,0.000171996,1
adder_dcop_06,4,2.29782e-05,1
adder_dcop_06,5,1.43637e-05,1
adder_dcop_07,0,1.28358e-05,1
adder_dcop_07,1,9.58465e-06,1
adder_dcop_07,2,0.000708797,1
adder_dcop_07,3,0.00017241,1
adder_dcop_07,4,2.23398e-05,1
adder_dcop_07,5,1.43495e-05,1
adder_dcop_08,0,1.31487e-05,1
adder_dcop_08,1,9.91539e-06,1
adder_dcop_08,2,0.000708879,1
adder_dcop_08,3,0.000171943,1
adder_dcop_08,4,2.2819e-05,1
adder_dcop_08,5,1.46161e-05,1
adder_dcop_09,0,1.29499e-05,1
adder_dcop_09,1,9.8422e-06,1
adder_dcop_09,2,0.000704786,1
adder_dcop_09,3,0.000172912,1
adder_dcop_09,4,2.31701e-05,1
adder_dcop_09,5,1.44298e-05,1
adder_dcop_10,0,1.30613e-05,1
adder_dcop_10,1,9.62088e-06,1
adder_dcop_10,2,0.00070953,1
adder_dcop_10,3,0.00017244,1
adder_dcop_10,4,2.28486e-05,1
adder_dcop_10,5,1.42594e-05,1
adder_dcop_11,0,1.2964e-05,1
adder_dcop_11,1,9.66111e-06,1
adder_dcop_11,2,0.000704865,1
adder_dcop_11,3,0.000172631,1
adder_dcop_11,4,2.2492e-05,1
adder_dcop_11,5,1.42375e-05,1
adder_dcop_12,0,1.34018e-05,1
adder_dcop_12,1,9.62797e-06,1
adder_dcop_12,2,0.000702559,1
adder_dcop_12,3,0.000173048,1
adder_dcop_12,4,2.23289e-05,1
adder_dcop_12,5,1.41943e-05,1
adder_dcop_13,0,1.42624e-05,1
adder_dcop_13,1,9.93843e-06,1
adder_dcop_13,2,0.000704653,1
adder_dcop_13,3,0.000172209,1
adder_dcop_13,4,2.29402e-05,1
adder_dcop_13,5,1.45841e-05,1
adder_dcop_14,0,1.28844e-05,1
adder_dcop_14,1,9.59292e-06,1
adder_dcop_14,2,0.000723104,1
adder_dcop_14,3,0.000172692,1
adder_dcop_14,4,2.25282e-05,1
adder_dcop_14,5,1.42215e-05,1
adder_dcop_15,0,1.31676e-05,1
adder_dcop_15,1,9.76973e-06,1
adder_dcop_15,2,0.000708651,1
adder_dcop_15,3,0.000172075,1
adder_dcop_15,4,2.28268e-05,1
adder_dcop_15,5,1.41724e-05,1
adder_dcop_16,0,1.30022e-05,1
adder_dcop_16,1,9.85538e-06,1
adder_dcop_16,2,0.000707361,1
adder_dcop_16,3,0.000171852,1
adder_dcop_16,4,2.29697e-05,1
adder_dcop_16,5,1.4332e-05,1
adder_dcop_17,0,1.30574e-05,1
adder_dcop_17,1,9.72049e-06,1
adder_dcop_17,2,0.000703167,1
adder_dcop_17,3,0.000173028,1
adder_dcop_17,4,2.28133e-05,1
adder_dcop_17,5,1.46328e-05,1
adder_dcop_18,0,1.3963e-05,1
adder_dcop_18,1,9.85232e-06,1
adder_dcop_18,2,0.000707544,1
adder_dcop_18,3,0.000172509,1
adder_dcop_18,4,2.31082e-05,1
adder_dcop_18,5,1.42565e-05,1
adder_dcop_19,0,1.28795e-05,1
adder_dcop_19,1,9.61844e-06,1
adder_dcop_19,2,0.000702254,1
adder_dcop_19,3,0.000172081,1
adder_dcop_19,4,2.24611e-05,1
adder_dcop_19,5,1.42369e-05,1
adder_dcop_20,0,1.29754e-05,1
adder_dcop_20,1,9.824e-06,1
adder_dcop_20,2,0.000707965,1
adder_dcop_20,3,0.000172137,1
adder_dcop_20,4,2.31083e-05,1
adder_dcop_20,5,1.42675e-05,1
adder_dcop_21,0,1.30251e-05,1
adder_dcop_21,1,9.8301e-06,1
adder_dcop_21,2,0.000709556,1
adder_dcop_21,3,0.000172574,1
adder_dcop_21,4,2.26782e-05,1
adder_dcop_21,5,1.42758e-05,1
adder_dcop_22,0,1.28358e-05,1
adder_dcop_22,1,9.63664e-06,1
adder_dcop_22,2,0.000699468,1
adder_dcop_22,3,0.000172521,1
adder_dcop_22,4,2.23938e-05,1
adder_dcop_22,5,1.42495e-05,1
adder_dcop_23,0,1.31486e-05,1
adder_dcop_23,1,9.86028e-06,1
adder_dcop_23,2,0.000713239,1
adder_dcop_23,3,0.000174966,1
adder_dcop_23,4,2.3122e-05,1
adder_dcop_23,5,1.46336e-05,1
adder_dcop_24,0,1.29704e-05,1
adder_dcop_24,1,9.72284e-06,1
adder_dcop_24,2,0.000716043,1
adder_dcop_24,3,0.000171771,1
adder_dcop_24,4,2.2992e-05,1
adder_dcop_24,5,1.44094e-05,1
adder_dcop_25,0,1.29961e-05,1
adder_dcop_25,1,9.80864e-06,1
adder_dcop_25,2,0.000707161,1
adder_dcop_25,3,0.000172213,1
adder_dcop_25,4,2.31826e-05,1
adder_dcop_25,5,1.42277e-05,1
adder_dcop_26,0,1.30651e-05,1
adder_dcop_26,1,9.78481e-06,1
adder_dcop_26,2,0.000707933,1
adder_dcop_26,3,0.000173074,1
adder_dcop_26,4,2.22542e-05,1
adder_dcop_26,5,1.45539e-05,1
adder_dcop_27,0,1.33212e-05,1
adder_dcop_27,1,9.87649e-06,1
adder_dcop_27,2,0.000705789,1
adder_dcop_27,3,0.000172303,1
adder_dcop_27,4,2.3495e-05,1
adder_dcop_27,5,1.48064e-05,1
adder_dcop_28,0,1.31497e-05,1
adder_dcop_28,1,9.6555e-06,1
adder_dcop_28,2,0.000713137,1
adder_dcop_28,3,0.000172591,1
adder_dcop_28,4,2.30769e-05,1
adder_dcop_28,5,1.41368e-05,1
adder_dcop_29,0,1.37313e-05,1
adder_dcop_29,1,9.76597e-06,1
adder_dcop_29,2,0.000713656,1
adder_dcop_29,3,0.000173823,1
adder_dcop_29,4,2.25729e-05,1
adder_dcop_29,5,1.47728e-05,1
adder_dcop_30,0,1.29621e-05,1
adder_dcop_30,1,9.63546e-06,1
adder_dcop_30,2,0.000703072,1
adder_dcop_30,3,0.000172227,1
adder_dcop_30,4,2.23833e-05,1
adder_dcop_30,5,1.4393e-05,1
adder_dcop_31,0,1.31415e-05,1
adder_dcop_31,1,9.77897e-06,1
adder_dcop_31,2,0.000708112,1
adder_dcop_31,3,0.000172269,1
adder_dcop_31,4,2.31132e-05,1
adder_dcop_31,5,1.42877e-05,1
adder_dcop_32,0,1.30046e-05,1
adder_dcop_32,1,9.67884e-06,1
adder_dcop_32,2,0.000709142,1
adder_dcop_32,3,0.000172473,1
adder_dcop_32,4,2.2345e-05,1
adder_dcop_32,5,1.42712e-05,1
adder_dcop_33,0,1.36276e-05,1
adder_dcop_33,1,9.74286e-06,1
adder_dcop_33,2,0.000710628,1
adder_dcop_33,3,0.000172599,1
adder_dcop_33,4,2.30394e-05,1
adder_dcop_33,5,1.47052e-05,1
adder_dcop_34,0,1.32419e-05,1
adder_dcop_34,1,9.90832e-06,1
adder_dcop_34,2,0.00070966,1
adder_dcop_34,3,0.000172241,1
adder_dcop_34,4,2.34723e-05,1
adder_dcop_34,5,1.45036e-05,1
adder_dcop_35,0,1.30779e-05,1
adder_dcop_35,1,9.8728e-06,1
adder_dcop_35,2,0.00070993,1
adder_dcop_35,3,0.000171939,1
adder_dcop_35,4,2.31499e-05,1
adder_dcop_35,5,1.42111e-05,1
adder_dcop_36,0,1.34407e-05,1
adder_dcop_36,1,9.66903e-06,1
adder_dcop_36,2,0.000704998,1
adder_dcop_36,3,0.00017255,1
adder_dcop_36,4,2.23407e-05,1
adder_dcop_36,5,1.53077e-05,1
adder_dcop_37,0,1.29701e-05,1
adder_dcop_37,1,9.64843e-06,1
adder_dcop_37,2,0.000704244,1
adder_dcop_37,3,0.000172375,1
adder_dcop_37,4,2.271e-05,1
adder_dcop_37,5,1.41349e-05,1
adder_dcop_38,0,1.3118e-05,1
adder_dcop_38,1,9.79645e-06,1
adder_dcop_38,2,0.000707412,1
adder_dcop_38,3,0.00017222,1
adder_dcop_38,4,2.31023e-05,1
adder_dcop_38,5,1.42219e-05,1
adder_dcop_39,0,1.28242e-05,1
adder_dcop_39,1,9.65896e-06,1
adder_dcop_39,2,0.000709284,1
adder_dcop_39,3,0.000172524,1
adder_dcop_39,4,2.32792e-05,1
adder_dcop_39,5,1.46248e-05,1
adder_dcop_40,0,1.30472e-05,1
adder_dcop_40,1,9.63608e-06,1
adder_dcop_40,2,0.000703651,1
adder_dcop_40,3,0.00017276,1
adder_dcop_40,4,2.22773e-05,1
adder_dcop_40,5,1.4644e-05,1
adder_dcop_41,0,1.30288e-05,1
adder_dcop_41,1,9.6829e-06,1
adder_dcop_41,2,0.000706421,1
adder_dcop_41,3,0.000172638,1
adder_dcop_41,4,2.24386e-05,1
adder_dcop_41,5,1.42393e-05,1
adder_dcop_42,0,1.30493e-05,1
adder_dcop_42,1,9.82934e-06,1
adder_dcop_42,2,0.000715452,1
adder_dcop_42,3,0.000171724,1
adder_dcop_42,4,2.27777e-05,1
adder_dcop_42,5,1.41908e-05,1
adder_dcop_43,0,1.30139e-05,1
adder_dcop_43,1,9.78748e-06,1
adder_dcop_43,2,0.000706609,1
adder_dcop_43,3,0.000172577,1
adder_dcop_43,4,2.30016e-05,1
adder_dcop_43,5,1.42731e-05,1
adder_dcop_44,0,1.30356e-05,1
adder_dcop_44,1,9.80967e-06,1
adder_dcop_44,2,0.000704221,1
adder_dcop_44,3,0.000173273,1
adder_dcop_44,4,2.26418e-05,1
adder_dcop_44,5,1.48725e-05,1
adder_dcop_45,0,1.30401e-05,1
adder_dcop_45,1,9.74144e-06,1
adder_dcop_45,2,0.000706644,1
adder_dcop_45,3,0.000172601,1
adder_dcop_45,4,2.28372e-05,1
adder_dcop_45,5,1.42382e-05,1
adder_dcop_46,0,1.30384e-05,1
adder_dcop_46,1,9.8138e-06,1
adder_dcop_46,2,0.000707887,1
adder_dcop_46,3,0.000171723,1
adder_dcop_46,4,2.28372e-05,1
adder_dcop_46,5,1.41789e-05,1
adder_dcop_47,0,1.31101e-05,1
adder_dcop_47,1,9.90601e-06,1
adder_dcop_47,2,0.000702999,1
adder_dcop_47,3,0.00017283,1
adder_dcop_47,4,2.28066e-05,1
adder_dcop_47,5,1.45132e-05,1
adder_dcop_48,0,1.31606e-05,1
adder_dcop_48,1,9.80259e-06,1
adder_dcop_48,2,0.000707011,1
adder_dcop_48,3,0.000172373,1
adder_dcop_48,4,2.28043e-05,1
adder_dcop_48,5,1.45058e-05,1
adder_dcop_49,0,1.34147e-05,1
adder_dcop_49,1,9.72343e-06,1
adder_dcop_49,2,0.000707056,1
adder_dcop_49,3,0.000171988,1
adder_dcop_49,4,2.27288e-05,1
adder_dcop_49,5,1.49245e-05,1
adder_dcop_50,0,1.30799e-05,1
adder_dcop_50,1,9.83477e-06,1
adder_dcop_50,2,0.000708305,1
adder_dcop_50,3,0.000172545,1
adder_dcop_50,4,2.23296e-05,1
adder_dcop_50,5,1.46039e-05,1
adder_dcop_51,0,1.30239e-05,1
adder_dcop_51,1,9.8435e-06,1
adder_dcop_51,2,0.000701745,1
adder_dcop_51,3,0.000172804,1
adder_dcop_51,4,2.25967e-05,1
adder_dcop_51,5,1.42933e-05,1
adder_dcop_52,0,1.31442e-05,1
adder_dcop_52,1,9.75249e-06,1
adder_dcop_52,2,0.00070799,1
adder_dcop_52,3,0.00017229,1
adder_dcop_52,4,2.30896e-05,1
adder_dcop_52,5,1.42047e-05,1
adder_dcop_53,0,1.29303e-05,1
adder_dcop_53,1,9.63633e-06,1
adder_dcop_53,2,0.000710973,1
adder_dcop_53,3,0.00017272,1
adder_dcop_53,4,2.283e-05,1
adder_dcop_53,5,1.45115e-05,1
adder_dcop_54,0,1.30113e-05,1
adder_dcop_54,1,9.62555e-06,1
adder_dcop_54,2,0.000713514,1
adder_dcop_54,3,0.000172313,1
adder_dcop_54,4,2.23984e-05,1
adder_dcop_54,5,1.42594e-05,1
adder_dcop_55,0,1.29619e-05,1
adder_dcop_55,1,9.71359e-06,1
adder_dcop_55,2,0.000798612,1
adder_dcop_55,3,0.000172988,1
adder_dcop_55,4,2.24306e-05,1
adder_dcop_55,5,1.46054e-05,1
adder_dcop_56,0,1.30061e-05,1
adder_dcop_56,1,9.63853e-06,1
adder_dcop_56,2,0.000707939,1
adder_dcop_56,3,0.000173313,1
adder_dcop_56,4,2.27405e-05,1
adder_dcop_56,5,1.4164e-05,1
adder_dcop_57,0,1.32176e-05,1
adder_dcop_57,1,9.78908e-06,1
adder_dcop_57,2,0.000704531,1
adder_dcop_57,3,0.000172188,1
adder_dcop_57,4,2.323e-05,1
adder_dcop_57,5,1.42398e-05,1
adder_dcop_58,0,1.31224e-05,1
adder_dcop_58,1,9.87399e-06,1
adder_dcop_58,2,0.00070719,1
adder_dcop_58,3,0.000171916,1
adder_dcop_58,4,2.29978e-05,1
adder_dcop_58,5,1.45267e-05,1
adder_dcop_59,0,1.30093e-05,1
adder_dcop_59,1,9.66017e-06,1
adder_dcop_59,2,0.0007076,1
adder_dcop_59,3,0.000172686,1
adder_dcop_59,4,2.26345e-05,1
adder_dcop_59,5,1.42796e-05,1
adder_dcop_60,0,1.29514e-05,1
adder_dcop_60,1,9.61725e-06,1
adder_dcop_60,2,0.000704496,1
adder_dcop_60,3,0.000172719,1
adder_dcop_60,4,2.22791e-05,1
adder_dcop_60,5,1.46939e-05,1
adder_dcop_61,0,1.2963e-05,1
adder_dcop_61,1,9.77699e-06,1
adder_dcop_61,2,0.00070926,1
adder_dcop_61,3,0.000172257,1
adder_dcop_61,4,2.26392e-05,1
adder_dcop_61,5,1.42317e-05,1
adder_dcop_62,0,1.30006e-05,1
adder_dcop_62,1,9.62548e-06,1
adder_dcop_62,2,0.00070365,1
adder_dcop_62,3,0.000173183,1
adder_dcop_62,4,2.26051e-05,1
adder_dcop_62,5,1.42097e-05,1
adder_dcop_63,0,1.29903e-05,1
adder_dcop_63,1,9.59967e-06,1
adder_dcop_63,2,0.000731873,1
adder_dcop_63,3,0.000172697,1
adder_dcop_63,4,2.24254e-05,1
adder_dcop_63,5,1.43318e-05,1
adder_dcop_64,0,1.31575e-05,1
adder_dcop_64,1,9.82784e-06,1
adder_dcop_64,2,0.000708714,1
adder_dcop_64,3,0.000172739,1
adder_dcop_64,4,2.2675e-05,1
adder_dcop_64,5,1.44707e-05,1
adder_dcop_65,0,1.3088e-05,1
adder_dcop_65,1,9.94732e-06,1
adder_dcop_65,2,0.000703155,1
adder_dcop_65,3,0.000172456,1
adder_dcop_65,4,2.23013e-05,1
adder_dcop_65,5,1.45456e-05,1
adder_dcop_66,0,1.30257e-05,1
adder_dcop_66,1,9.77291e-06,1
adder_dcop_66,2,0.000704581,1
adder_dcop_66,3,0.000172963,1
adder_dcop_66,4,2.24605e-05,1
adder_dcop_66,5,1.462e-05,1
adder_dcop_67,0,1.30303e-05,1
adder_dcop_67,1,9.81127e-06,1
adder_dcop_67,2,0.000703416,1
adder_dcop_67,3,0.000173072,1
adder_dcop_67,4,2.24196e-05,1
adder_dcop_67,5,1.47922e-05,1
adder_dcop_68,0,1.47148e-05,1
adder_dcop_68,1,9.68467e-06,1
adder_dcop_68,2,0.000709802,1
adder_dcop_68,3,0.000172578,1
