matrix,Format,Timings,OptimumFormat
1138_bus,0,9.08145e-06,1
1138_bus,1,6.41072e-06,1
1138_bus,2,0.00162811,1
1138_bus,3,6.52615e-05,1
1138_bus,4,7.16504e-05,1
1138_bus,5,1.28578e-05,1
144,0,0.00851737,1
144,1,0.0045434,1
144,2,inf,1
144,3,0.0200025,1
144,4,0.0240703,1
144,5,0.00508585,1
2D_27628_bjtcai,0,0.00163958,5
2D_27628_bjtcai,1,0.000598207,5
2D_27628_bjtcai,2,0.130774,5
2D_27628_bjtcai,3,inf,5
2D_27628_bjtcai,4,0.00398552,5
2D_27628_bjtcai,5,0.000483831,5
2D_54019_highK,0,0.00388152,1
2D_54019_highK,1,0.00144593,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.0942636,1
2D_54019_highK,4,0.00669597,1
2D_54019_highK,5,0.00196961,1
333SP,0,0.11858,1
333SP,1,0.0906258,1
333SP,2,inf,1
333SP,3,0.498021,1
333SP,4,0.441651,1
333SP,5,0.101611,1
3D_28984_Tetra,0,0.002352,1
3D_28984_Tetra,1,0.00089947,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.00336723,1
3D_28984_Tetra,5,0.00215933,1
3D_51448_3D,0,0.00417098,1
3D_51448_3D,1,0.00155603,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.00585532,1
3D_51448_3D,5,0.00298868,1
3dtube,0,0.017939,1
3dtube,1,0.00589826,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0232353,1
3dtube,5,0.011302,1
3elt,0,0.000116135,1
3elt,1,4.09466e-05,1
3elt,2,0.0152852,1
3elt,3,0.000326436,1
3elt,4,0.000319067,1
3elt,5,5.03556e-05,1
3elt_dual,0,4.84713e-05,1
3elt_dual,1,4.31388e-05,1
3elt_dual,2,0.0239715,1
3elt_dual,3,0.000426827,1
3elt_dual,4,0.000507216,1
3elt_dual,5,7.49632e-05,1
494_bus,0,3.52927e-06,1
494_bus,1,2.56137e-06,1
494_bus,2,0.000490936,1
494_bus,3,2.76286e-05,1
494_bus,4,3.1811e-05,1
494_bus,5,3.58437e-06,1
598a,0,0.00586267,1
598a,1,0.00334479,1
598a,2,inf,1
598a,3,0.0160278,1
598a,4,0.0176523,1
598a,5,0.00342139,1
662_bus,0,5.28644e-06,1
662_bus,1,3.63075e-06,1
662_bus,2,0.000731698,1
662_bus,3,3.77628e-05,1
662_bus,4,4.16005e-05,1
662_bus,5,5.00118e-06,1
685_bus,0,7.51087e-06,1
685_bus,1,4.73916e-06,1
685_bus,2,0.000573644,1
685_bus,3,4.10693e-05,1
685_bus,4,4.45508e-05,1
685_bus,5,8.07887e-06,1
a0nsdsil,0,0.000985484,1
a0nsdsil,1,0.000526438,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.00503503,1
a0nsdsil,5,0.0011223,1
a2nnsnsl,0,0.000888082,1
a2nnsnsl,1,0.000559302,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.00507532,1
a2nnsnsl,5,0.00116388,1
a5esindl,0,0.000610716,1
a5esindl,1,0.000376306,1
a5esindl,2,inf,1
a5esindl,3,inf,1
a5esindl,4,0.00377856,1
a5esindl,5,0.00083594,1
ABACUS_shell_ud,0,0.000642569,1
ABACUS_shell_ud,1,0.000272272,1
ABACUS_shell_ud,2,0.0375149,1
ABACUS_shell_ud,3,0.0021346,1
ABACUS_shell_ud,4,0.00214833,1
ABACUS_shell_ud,5,0.000313649,1
ACTIVSg10K,0,0.000395922,1
ACTIVSg10K,1,0.000336994,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.00273183,1
ACTIVSg10K,4,0.00154244,1
ACTIVSg10K,5,0.000517801,1
ACTIVSg2000,0,8.52004e-05,1
ACTIVSg2000,1,4.53533e-05,1
ACTIVSg2000,2,0.0224291,1
ACTIVSg2000,3,0.00385449,1
ACTIVSg2000,4,0.00033473,1
ACTIVSg2000,5,6.63317e-05,1
ACTIVSg70K,0,0.000607427,0
ACTIVSg70K,1,0.00104094,0
ACTIVSg70K,2,inf,0
ACTIVSg70K,3,0.00417611,0
ACTIVSg70K,4,0.00440433,0
ACTIVSg70K,5,0.0013301,0
adaptive,0,0.104551,1
adaptive,1,0.0852356,1
adaptive,2,inf,1
adaptive,3,0.430883,1
adaptive,4,0.462022,1
adaptive,5,0.121687,1
add20,0,6.4275e-05,5
add20,1,3.16223e-05,5
add20,2,0.0140735,5
add20,3,0.0109197,5
add20,4,0.000198236,5
add20,5,2.93297e-05,5
add32,0,6.15054e-05,1
add32,1,3.61501e-05,1
add32,2,0.0379389,1
add32,3,0.021836,1
add32,4,0.000353821,1
add32,5,5.05307e-05,1
adder_dcop_01,0,3.37558e-05,1
adder_dcop_01,1,1.76424e-05,1
adder_dcop_01,2,0.0115916,1
adder_dcop_01,3,0.00261411,1
adder_dcop_01,4,0.000145965,1
adder_dcop_01,5,2.38081e-05,1
adder_dcop_02,0,3.41239e-05,1
adder_dcop_02,1,1.77016e-05,1
adder_dcop_02,2,0.0114374,1
adder_dcop_02,3,0.00258712,1
adder_dcop_02,4,0.000150231,1
adder_dcop_02,5,2.39946e-05,1
adder_dcop_03,0,3.33301e-05,1
adder_dcop_03,1,1.79715e-05,1
adder_dcop_03,2,0.011474,1
adder_dcop_03,3,0.00256068,1
adder_dcop_03,4,0.000141033,1
adder_dcop_03,5,2.31036e-05,1
adder_dcop_04,0,3.40076e-05,1
adder_dcop_04,1,1.74083e-05,1
adder_dcop_04,2,0.0115287,1
adder_dcop_04,3,0.00259597,1
adder_dcop_04,4,0.000147096,1
adder_dcop_04,5,2.31553e-05,1
adder_dcop_05,0,3.34197e-05,1
adder_dcop_05,1,1.74628e-05,1
adder_dcop_05,2,0.0115092,1
adder_dcop_05,3,0.00258878,1
adder_dcop_05,4,0.000143351,1
adder_dcop_05,5,2.34004e-05,1
adder_dcop_06,0,3.39963e-05,1
adder_dcop_06,1,1.78574e-05,1
adder_dcop_06,2,0.0114714,1
adder_dcop_06,3,0.0025879,1
adder_dcop_06,4,0.000148701,1
adder_dcop_06,5,2.32577e-05,1
adder_dcop_07,0,3.35047e-05,1
adder_dcop_07,1,1.77288e-05,1
adder_dcop_07,2,0.0113834,1
adder_dcop_07,3,0.00256409,1
adder_dcop_07,4,0.000145767,1
adder_dcop_07,5,2.34556e-05,1
adder_dcop_08,0,3.38669e-05,1
adder_dcop_08,1,1.71697e-05,1
adder_dcop_08,2,0.0115291,1
adder_dcop_08,3,0.00258945,1
adder_dcop_08,4,0.000150324,1
adder_dcop_08,5,2.3772e-05,1
adder_dcop_09,0,3.36925e-05,1
adder_dcop_09,1,1.77245e-05,1
adder_dcop_09,2,0.0114552,1
adder_dcop_09,3,0.00254748,1
adder_dcop_09,4,0.00014724,1
adder_dcop_09,5,2.26287e-05,1
adder_dcop_10,0,3.37716e-05,1
adder_dcop_10,1,1.79382e-05,1
adder_dcop_10,2,0.0115842,1
adder_dcop_10,3,0.00261495,1
adder_dcop_10,4,0.000146186,1
adder_dcop_10,5,2.46955e-05,1
adder_dcop_11,0,3.39607e-05,1
adder_dcop_11,1,1.75004e-05,1
adder_dcop_11,2,0.011553,1
adder_dcop_11,3,0.00256628,1
adder_dcop_11,4,0.000142129,1
adder_dcop_11,5,2.29604e-05,1
