matrix,Format,Timings,OptimumFormat
1138_bus,0,0.000125248,1
1138_bus,1,8.50822e-05,1
1138_bus,2,0.000132738,1
1138_bus,3,8.55573e-05,1
1138_bus,4,0.000199469,1
1138_bus,5,0.000159527,1
144,0,0.000246157,3
144,1,0.000159553,3
144,2,inf,3
144,3,0.000158395,3
144,4,0.000239741,3
144,5,0.000228,3
2D_27628_bjtcai,0,0.000173323,1
2D_27628_bjtcai,1,9.10279e-05,1
2D_27628_bjtcai,2,0.000579614,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000222347,1
2D_27628_bjtcai,5,0.000160799,1
2D_54019_highK,0,0.000189169,1
2D_54019_highK,1,0.000116748,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.000583088,1
2D_54019_highK,4,0.000219887,1
2D_54019_highK,5,0.000188323,1
333SP,0,0.0021592,1
333SP,1,0.00150429,1
333SP,2,inf,1
333SP,3,0.00207421,1
333SP,4,0.00229106,1
333SP,5,0.00170543,1
3D_28984_Tetra,0,0.000175856,1
3D_28984_Tetra,1,0.000130861,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000209404,1
3D_28984_Tetra,5,0.000251131,1
3D_51448_3D,0,0.000179591,1
3D_51448_3D,1,0.000142166,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000198808,1
3D_51448_3D,5,0.000230455,1
3dtube,0,0.000240551,1
3dtube,1,0.0001577,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000238352,1
3dtube,5,0.000197408,1
3elt,0,0.000124808,1
3elt,1,7.76151e-05,1
3elt,2,0.000247456,1
3elt,3,8.0002e-05,1
3elt,4,0.000185293,1
3elt,5,0.000142556,1
3elt_dual,0,0.000123866,1
3elt_dual,1,7.79571e-05,1
3elt_dual,2,0.000234323,1
3elt_dual,3,7.99077e-05,1
3elt_dual,4,0.00018618,1
3elt_dual,5,0.000147728,1
494_bus,0,0.000114701,1
494_bus,1,7.83545e-05,1
494_bus,2,0.000110254,1
494_bus,3,8.04807e-05,1
494_bus,4,0.000185223,1
494_bus,5,0.000149117,1
598a,0,0.000222739,1
598a,1,0.000132308,1
598a,2,inf,1
598a,3,0.000134596,1
598a,4,0.000229669,1
598a,5,0.000192069,1
662_bus,0,0.000115146,1
662_bus,1,7.74977e-05,1
662_bus,2,0.000114423,1
662_bus,3,8.03873e-05,1
662_bus,4,0.000183619,1
662_bus,5,0.000148529,1
685_bus,0,0.000116558,1
685_bus,1,7.90747e-05,1
685_bus,2,0.000105867,1
685_bus,3,8.00159e-05,1
685_bus,4,0.000182986,1
685_bus,5,0.000149243,1
a0nsdsil,0,0.000159336,0
a0nsdsil,1,0.000236521,0
a0nsdsil,2,inf,0
a0nsdsil,3,inf,0
a0nsdsil,4,0.000203116,0
a0nsdsil,5,0.000409772,0
a2nnsnsl,0,0.00015884,0
a2nnsnsl,1,0.000232101,0
a2nnsnsl,2,inf,0
a2nnsnsl,3,inf,0
a2nnsnsl,4,0.000201228,0
a2nnsnsl,5,0.000386451,0
a5esindl,0,0.000154719,0
a5esindl,1,0.00033882,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.000198654,0
a5esindl,5,0.00051483,0
ABACUS_shell_ud,0,0.000149026,3
ABACUS_shell_ud,1,8.40821e-05,3
ABACUS_shell_ud,2,0.000235612,3
ABACUS_shell_ud,3,8.30918e-05,3
ABACUS_shell_ud,4,0.000189905,3
ABACUS_shell_ud,5,0.000150898,3
ACTIVSg10K,0,0.000153034,1
ACTIVSg10K,1,8.08092e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,9.24475e-05,1
ACTIVSg10K,4,0.000194648,1
ACTIVSg10K,5,0.000149641,1
ACTIVSg2000,0,0.000125447,1
ACTIVSg2000,1,7.8332e-05,1
ACTIVSg2000,2,0.000378586,1
ACTIVSg2000,3,0.000236259,1
ACTIVSg2000,4,0.000184969,1
ACTIVSg2000,5,0.000147973,1
ACTIVSg70K,0,0.000150495,1
ACTIVSg70K,1,8.21084e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,9.58384e-05,1
ACTIVSg70K,4,0.000204989,1
ACTIVSg70K,5,0.000150042,1
adaptive,0,0.00180153,1
adaptive,1,0.00118077,1
adaptive,2,inf,1
adaptive,3,0.0020535,1
adaptive,4,0.00250472,1
adaptive,5,0.00135534,1
add20,0,0.000127103,1
add20,1,8.60196e-05,1
add20,2,0.00037524,1
add20,3,0.000864128,1
add20,4,0.000197235,1
add20,5,0.000159712,1
add32,0,0.000122219,1
add32,1,8.00479e-05,1
add32,2,0.000441511,1
add32,3,0.000843222,1
add32,4,0.0001853,1
add32,5,0.000147845,1
adder_dcop_01,0,0.000126726,1
adder_dcop_01,1,0.00010442,1
adder_dcop_01,2,0.000394853,1
adder_dcop_01,3,0.000313567,1
adder_dcop_01,4,0.000199345,1
adder_dcop_01,5,0.000187666,1
adder_dcop_02,0,0.000125038,1
adder_dcop_02,1,0.000102549,1
adder_dcop_02,2,0.000399323,1
adder_dcop_02,3,0.000312967,1
adder_dcop_02,4,0.000196397,1
adder_dcop_02,5,0.000193243,1
adder_dcop_03,0,0.000126171,1
adder_dcop_03,1,0.000103105,1
adder_dcop_03,2,0.000398284,1
adder_dcop_03,3,0.000312741,1
adder_dcop_03,4,0.000196877,1
adder_dcop_03,5,0.000193618,1
adder_dcop_04,0,0.00012327,1
adder_dcop_04,1,0.000102573,1
adder_dcop_04,2,0.000398792,1
adder_dcop_04,3,0.000313068,1
adder_dcop_04,4,0.000195153,1
adder_dcop_04,5,0.000185104,1
adder_dcop_05,0,0.000126675,1
adder_dcop_05,1,0.000102619,1
adder_dcop_05,2,0.000397969,1
adder_dcop_05,3,0.000313301,1
adder_dcop_05,4,0.000196327,1
adder_dcop_05,5,0.00019279,1
adder_dcop_06,0,0.000128014,1
