matrix,Format,Timings,OptimumFormat
1138_bus,0,4.48449e-05,1
1138_bus,1,1.51297e-05,1
1138_bus,2,5.50897e-05,1
1138_bus,3,2.59114e-05,1
1138_bus,4,4.06602e-05,1
1138_bus,5,2.231e-05,1
144,0,0.000269146,1
144,1,0.000191674,1
144,2,inf,1
144,3,0.000438388,1
144,4,0.000398941,1
144,5,0.00023033,1
2D_27628_bjtcai,0,5.97798e-05,1
2D_27628_bjtcai,1,2.6427e-05,1
2D_27628_bjtcai,2,0.00714428,1
2D_27628_bjtcai,3,0.000149697,1
2D_27628_bjtcai,4,9.08542e-05,1
2D_27628_bjtcai,5,5.37145e-05,1
2D_54019_highK,0,0.000101501,1
2D_54019_highK,1,5.17854e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00617065,1
2D_54019_highK,4,0.000141194,1
2D_54019_highK,5,7.63934e-05,1
333SP,0,0.0137458,1
333SP,1,0.0104893,1
333SP,2,inf,1
333SP,3,0.0356239,1
333SP,4,0.036452,1
333SP,5,0.0112205,1
3D_28984_Tetra,0,7.94938e-05,1
3D_28984_Tetra,1,4.2195e-05,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000103261,1
3D_28984_Tetra,5,8.89777e-05,1
3D_51448_3D,0,0.00011663,1
3D_51448_3D,1,5.93274e-05,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000148633,1
3D_51448_3D,5,0.000106208,1
3dtube,0,0.000359715,1
3dtube,1,0.000168837,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000463612,1
3dtube,5,0.000314306,1
3elt,0,3.00347e-05,1
3elt,1,1.33147e-05,1
3elt,2,0.000341723,1
3elt,3,2.98917e-05,1
3elt,4,4.66287e-05,1
3elt,5,2.4401e-05,1
3elt_dual,0,2.80252e-05,1
3elt_dual,1,1.27344e-05,1
3elt_dual,2,0.000527184,1
3elt_dual,3,3.46174e-05,1
3elt_dual,4,4.88866e-05,1
3elt_dual,5,2.4857e-05,1
494_bus,0,3.01028e-05,1
494_bus,1,1.12923e-05,1
494_bus,2,2.05556e-05,1
494_bus,3,2.4592e-05,1
494_bus,4,4.32946e-05,1
494_bus,5,2.2899e-05,1
598a,0,0.000202189,1
598a,1,0.000160768,1
598a,2,inf,1
598a,3,0.000376597,1
598a,4,0.000332148,1
598a,5,0.000173609,1
662_bus,0,4.58155e-05,1
662_bus,1,1.56021e-05,1
662_bus,2,2.70505e-05,1
662_bus,3,2.84072e-05,1
662_bus,4,4.21595e-05,1
662_bus,5,2.31722e-05,1
685_bus,0,4.51053e-05,1
685_bus,1,1.53132e-05,1
685_bus,2,6.1112e-05,1
685_bus,3,2.57598e-05,1
685_bus,4,4.06402e-05,1
685_bus,5,2.25439e-05,1
a0nsdsil,0,5.42788e-05,1
a0nsdsil,1,3.9818e-05,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.000168405,1
a0nsdsil,5,6.60665e-05,1
a2nnsnsl,0,6.21581e-05,1
a2nnsnsl,1,4.18028e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.000169609,1
a2nnsnsl,5,6.71611e-05,1
a5esindl,0,4.71243e-05,0
a5esindl,1,4.72385e-05,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.000135713,0
a5esindl,5,6.74386e-05,0
ABACUS_shell_ud,0,4.05009e-05,1
ABACUS_shell_ud,1,1.77472e-05,1
ABACUS_shell_ud,2,0.00118441,1
ABACUS_shell_ud,3,6.15194e-05,1
ABACUS_shell_ud,4,7.98599e-05,1
ABACUS_shell_ud,5,3.07479e-05,1
ACTIVSg10K,0,3.45656e-05,1
ACTIVSg10K,1,1.74102e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,7.62004e-05,1
ACTIVSg10K,4,6.99115e-05,1
ACTIVSg10K,5,2.96952e-05,1
ACTIVSg2000,0,2.90683e-05,1
ACTIVSg2000,1,1.22971e-05,1
ACTIVSg2000,2,0.000487353,1
ACTIVSg2000,3,3.27193e-05,1
ACTIVSg2000,4,4.60051e-05,1
ACTIVSg2000,5,2.31039e-05,1
ACTIVSg70K,0,3.78295e-05,1
ACTIVSg70K,1,2.43493e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,0.000131048,1
ACTIVSg70K,4,0.000140074,1
ACTIVSg70K,5,4.62923e-05,1
adaptive,0,0.0150621,1
adaptive,1,0.0117295,1
adaptive,2,inf,1
adaptive,3,0.0570874,1
adaptive,4,0.0618896,1
adaptive,5,0.0148129,1
add20,0,3.14351e-05,1
add20,1,1.16375e-05,1
add20,2,0.000298842,1
add20,3,3.26868e-05,1
add20,4,4.25528e-05,1
add20,5,2.29875e-05,1
add32,0,4.44837e-05,1
add32,1,1.48651e-05,1
add32,2,0.000806413,1
add32,3,2.85196e-05,1
add32,4,4.41893e-05,1
add32,5,2.35432e-05,1
adder_dcop_01,0,2.89719e-05,1
adder_dcop_01,1,1.29033e-05,1
adder_dcop_01,2,0.000264293,1
adder_dcop_01,3,8.29894e-05,1
adder_dcop_01,4,4.3381e-05,1
adder_dcop_01,5,2.46781e-05,1
adder_dcop_02,0,3.05999e-05,1
adder_dcop_02,1,1.25234e-05,1
adder_dcop_02,2,0.00026558,1
adder_dcop_02,3,7.86598e-05,1
adder_dcop_02,4,4.51012e-05,1
adder_dcop_02,5,2.40724e-05,1
adder_dcop_03,0,3.26011e-05,1
adder_dcop_03,1,1.41739e-05,1
adder_dcop_03,2,0.000266597,1
adder_dcop_03,3,9.20382e-05,1
adder_dcop_03,4,4.62889e-05,1
adder_dcop_03,5,2.64285e-05,1
adder_dcop_04,0,2.89839e-05,1
adder_dcop_04,1,1.29006e-05,1
adder_dcop_04,2,0.000249933,1
adder_dcop_04,3,8.06283e-05,1
adder_dcop_04,4,4.30853e-05,1
adder_dcop_04,5,2.50542e-05,1
adder_dcop_05,0,3.05203e-05,1
