matrix,Format,Timings,OptimumFormat
1138_bus,0,6.43988e-06,0
1138_bus,1,7.47558e-06,0
1138_bus,2,0.0010541,0
1138_bus,3,5.17635e-05,0
1138_bus,4,4.19555e-05,0
1138_bus,5,8.20334e-06,0
144,0,0.00535286,1
144,1,0.00355027,1
144,2,inf,1
144,3,0.0116011,1
144,4,0.0113625,1
144,5,0.00396904,1
2D_27628_bjtcai,0,0.000946303,1
2D_27628_bjtcai,1,0.000433871,1
2D_27628_bjtcai,2,0.0894474,1
2D_27628_bjtcai,3,0.00355311,1
2D_27628_bjtcai,4,0.00146449,1
2D_27628_bjtcai,5,0.000912441,1
2D_54019_highK,0,0.0019856,1
2D_54019_highK,1,0.000947716,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.0588032,1
2D_54019_highK,4,0.00271687,1
2D_54019_highK,5,0.00133543,1
333SP,0,0.099541,1
333SP,1,0.075139,1
333SP,2,inf,1
333SP,3,0.322805,1
333SP,4,0.329726,1
333SP,5,0.0823404,1
3D_28984_Tetra,0,0.00133421,1
3D_28984_Tetra,1,0.000665962,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.00178354,1
3D_28984_Tetra,5,0.00153485,1
3D_51448_3D,0,0.00213215,1
3D_51448_3D,1,0.00103117,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.00293385,1
3D_51448_3D,5,0.00195561,1
3dtube,0,0.00997488,1
3dtube,1,0.00431608,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0126156,1
3dtube,5,0.00790531,1
3elt,0,4.21859e-05,1
3elt,1,3.16239e-05,1
3elt,2,0.00912597,1
3elt,3,0.000185544,1
3elt,4,0.000171764,1
3elt,5,3.26925e-05,1
3elt_dual,0,3.86182e-05,1
3elt_dual,1,3.37634e-05,1
3elt_dual,2,0.0162706,1
3elt_dual,3,0.000351454,1
3elt_dual,4,0.00039799,1
3elt_dual,5,6.22095e-05,1
494_bus,0,2.39216e-06,1
494_bus,1,2.0537e-06,1
494_bus,2,0.000299219,1
494_bus,3,1.99562e-05,1
494_bus,4,1.69395e-05,1
494_bus,5,2.38323e-06,1
598a,0,0.00417071,1
598a,1,0.00330089,1
598a,2,inf,1
598a,3,0.00853792,1
598a,4,0.00840466,1
598a,5,0.0034168,1
662_bus,0,3.76344e-06,1
662_bus,1,3.32497e-06,1
662_bus,2,0.000465795,1
662_bus,3,2.90945e-05,1
662_bus,4,2.3921e-05,1
662_bus,5,3.66e-06,1
685_bus,0,5.11069e-06,1
685_bus,1,4.15709e-06,1
685_bus,2,0.000372123,1
685_bus,3,3.14097e-05,1
685_bus,4,2.51287e-05,1
685_bus,5,5.81322e-06,1
a0nsdsil,0,0.00058839,1
a0nsdsil,1,0.000385439,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.00277911,1
a0nsdsil,5,0.000781593,1
a2nnsnsl,0,0.000585672,1
a2nnsnsl,1,0.000397653,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.00283703,1
a2nnsnsl,5,0.00084632,1
a5esindl,0,0.000411254,1
a5esindl,1,0.000274258,1
a5esindl,2,inf,1
a5esindl,3,inf,1
a5esindl,4,0.00209018,1
a5esindl,5,0.000568671,1
ABACUS_shell_ud,0,0.000384203,1
ABACUS_shell_ud,1,0.000200882,1
ABACUS_shell_ud,2,0.0259193,1
ABACUS_shell_ud,3,0.00107726,1
ABACUS_shell_ud,4,0.00102273,1
ABACUS_shell_ud,5,0.000235664,1
ACTIVSg10K,0,0.000245454,1
ACTIVSg10K,1,0.000221429,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.00156734,1
ACTIVSg10K,4,0.00086026,1
ACTIVSg10K,5,0.000332261,1
ACTIVSg2000,0,5.33345e-05,1
ACTIVSg2000,1,4.36243e-05,1
ACTIVSg2000,2,0.0149129,1
ACTIVSg2000,3,0.000316649,1
ACTIVSg2000,4,0.000178714,1
ACTIVSg2000,5,5.47014e-05,1
ACTIVSg70K,0,0.000372767,0
ACTIVSg70K,1,0.000603902,0
ACTIVSg70K,2,inf,0
ACTIVSg70K,3,0.00316135,0
ACTIVSg70K,4,0.00259881,0
ACTIVSg70K,5,0.000864689,0
adaptive,0,0.11221,1
adaptive,1,0.0830037,1
adaptive,2,inf,1
adaptive,3,0.398689,1
adaptive,4,0.371152,1
adaptive,5,0.111208,1
add20,0,4.13837e-05,1
add20,1,2.51352e-05,1
add20,2,0.00866295,1
add20,3,0.00029716,1
add20,4,0.000117143,1
add20,5,3.08815e-05,1
add32,0,4.27155e-05,1
add32,1,3.26044e-05,1
add32,2,0.0245022,1
