matrix,Format,Timings,OptimumFormat
1138_bus,0,0.00012538,1
1138_bus,1,2.26844e-05,1
1138_bus,2,0.000360828,1
1138_bus,3,4.26231e-05,1
1138_bus,4,0.000153437,1
1138_bus,5,2.93211e-05,1
144,0,0.00024206,3
144,1,9.24623e-05,3
144,2,inf,3
144,3,8.86939e-05,3
144,4,0.000228607,3
144,5,0.000101221,3
2D_27628_bjtcai,0,0.000154974,1
2D_27628_bjtcai,1,3.60859e-05,1
2D_27628_bjtcai,2,0.00104911,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000210499,1
2D_27628_bjtcai,5,3.62967e-05,1
2D_54019_highK,0,0.000198265,1
2D_54019_highK,1,7.90719e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00119739,1
2D_54019_highK,4,0.000198013,1
2D_54019_highK,5,0.000109866,1
333SP,0,0.00135367,5
333SP,1,0.00122116,5
333SP,2,inf,5
333SP,3,0.00138645,5
333SP,4,0.00166786,5
333SP,5,0.00118227,5
3D_28984_Tetra,0,0.00015916,1
3D_28984_Tetra,1,0.000118086,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000177363,1
3D_28984_Tetra,5,0.000317818,1
3D_51448_3D,0,0.000193217,4
3D_51448_3D,1,0.00018234,4
3D_51448_3D,2,inf,4
3D_51448_3D,3,inf,4
3D_51448_3D,4,0.000173132,4
3D_51448_3D,5,0.00029531,4
3dtube,0,0.000278881,1
3dtube,1,0.000137874,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000235145,1
3dtube,5,0.000164424,1
3elt,0,0.000140795,5
3elt,1,2.35266e-05,5
3elt,2,0.000698231,5
3elt,3,3.86823e-05,5
3elt,4,0.000166858,5
3elt,5,2.04456e-05,5
3elt_dual,0,0.000145333,1
3elt_dual,1,2.33797e-05,1
3elt_dual,2,0.000588431,1
3elt_dual,3,3.65646e-05,1
3elt_dual,4,0.000162071,1
3elt_dual,5,2.99183e-05,1
494_bus,0,0.000109476,1
494_bus,1,2.15966e-05,1
494_bus,2,0.00026748,1
494_bus,3,3.91916e-05,1
494_bus,4,0.000143579,1
494_bus,5,2.62223e-05,1
598a,0,0.000206844,5
598a,1,7.71852e-05,5
598a,2,inf,5
598a,3,7.51721e-05,5
598a,4,0.000207514,5
598a,5,7.18523e-05,5
662_bus,0,0.000131403,1
662_bus,1,2.16267e-05,1
662_bus,2,0.00028507,1
662_bus,3,3.96371e-05,1
662_bus,4,0.000161755,1
662_bus,5,2.69673e-05,1
685_bus,0,0.000134351,1
685_bus,1,2.21642e-05,1
685_bus,2,0.000215704,1
685_bus,3,4.0636e-05,1
685_bus,4,0.000141372,1
685_bus,5,2.76251e-05,1
a0nsdsil,0,0.000166733,0
a0nsdsil,1,0.000699206,0
a0nsdsil,2,inf,0
a0nsdsil,3,inf,0
a0nsdsil,4,0.000182108,0
a0nsdsil,5,0.00103185,0
a2nnsnsl,0,0.000163603,4
a2nnsnsl,1,0.000679432,4
a2nnsnsl,2,inf,4
a2nnsnsl,3,inf,4
a2nnsnsl,4,0.000157293,4
a2nnsnsl,5,0.0010159,4
a5esindl,0,0.000152854,0
a5esindl,1,0.00119203,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.000175656,0
a5esindl,5,0.00181407,0
ABACUS_shell_ud,0,0.000168123,1
ABACUS_shell_ud,1,3.06131e-05,1
ABACUS_shell_ud,2,0.000365381,1
ABACUS_shell_ud,3,4.13275e-05,1
ABACUS_shell_ud,4,0.000149226,1
ABACUS_shell_ud,5,3.33175e-05,1
ACTIVSg10K,0,0.000132213,1
ACTIVSg10K,1,2.66969e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,6.32245e-05,1
ACTIVSg10K,4,0.000149762,1
ACTIVSg10K,5,3.45471e-05,1
ACTIVSg2000,0,0.000124729,1
ACTIVSg2000,1,2.40036e-05,1
ACTIVSg2000,2,0.00132851,1
ACTIVSg2000,3,0.000765227,1
ACTIVSg2000,4,0.000148961,1
ACTIVSg2000,5,3.0725e-05,1
ACTIVSg70K,0,0.000162507,1
ACTIVSg70K,1,3.20047e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,4.97341e-05,1
ACTIVSg70K,4,0.000161849,1
ACTIVSg70K,5,3.83939e-05,1
adaptive,0,0.00150939,5
adaptive,1,0.00133222,5
adaptive,2,inf,5
adaptive,3,0.00180099,5
adaptive,4,0.00228945,5
adaptive,5,0.00124264,5
add20,0,0.000132008,1
add20,1,2.96523e-05,1
add20,2,0.00136349,1
add20,3,0.00374616,1
add20,4,0.000145795,1
add20,5,3.56289e-05,1
add32,0,0.000123394,1
add32,1,2.52935e-05,1
add32,2,0.0015772,1
add32,3,0.00365883,1
add32,4,0.000170339,1
add32,5,2.99599e-05,1
adder_dcop_01,0,0.000120776,1
adder_dcop_01,1,0.00011132,1
adder_dcop_01,2,0.00144848,1
adder_dcop_01,3,0.00099734,1
adder_dcop_01,4,0.0001717,1
adder_dcop_01,5,0.000160855,1
adder_dcop_02,0,0.000137639,1
adder_dcop_02,1,0.000109798,1
adder_dcop_02,2,0.00144948,1
adder_dcop_02,3,0.00099263,1
adder_dcop_02,4,0.000163993,1
adder_dcop_02,5,0.000161483,1
adder_dcop_03,0,0.000115648,1
adder_dcop_03,1,0.000110861,1
adder_dcop_03,2,0.0014511,1
adder_dcop_03,3,0.000998125,1
adder_dcop_03,4,0.000140964,1
adder_dcop_03,5,0.000161183,1
adder_dcop_04,0,0.000131428,1
adder_dcop_04,1,0.000111295,1
adder_dcop_04,2,0.00145097,1
adder_dcop_04,3,0.00100098,1
adder_dcop_04,4,0.000141006,1
adder_dcop_04,5,0.000160062,1
adder_dcop_05,0,0.000126876,1
adder_dcop_05,1,0.000111346,1
adder_dcop_05,2,0.00145138,1
adder_dcop_05,3,0.000994594,1
adder_dcop_05,4,0.000157541,1
adder_dcop_05,5,0.000161319,1
adder_dcop_06,0,0.000125782,1
adder_dcop_06,1,0.000111097,1
adder_dcop_06,2,0.00145247,1
adder_dcop_06,3,0.000996411,1
adder_dcop_06,4,0.000158041,1
adder_dcop_06,5,0.000160196,1
adder_dcop_07,0,0.000127087,1
adder_dcop_07,1,0.000111152,1
adder_dcop_07,2,0.00144976,1
adder_dcop_07,3,0.000996226,1
adder_dcop_07,4,0.000157086,1
adder_dcop_07,5,0.000160501,1
adder_dcop_08,0,0.000135452,1
adder_dcop_08,1,0.000110131,1
adder_dcop_08,2,0.001452,1
adder_dcop_08,3,0.000998861,1
adder_dcop_08,4,0.000163321,1
adder_dcop_08,5,0.000160525,1
adder_dcop_09,0,0.00013394,1
adder_dcop_09,1,0.000110299,1
adder_dcop_09,2,0.00144919,1
adder_dcop_09,3,0.00100103,1
adder_dcop_09,4,0.000161789,1
adder_dcop_09,5,0.000161527,1
adder_dcop_10,0,0.000129994,1
adder_dcop_10,1,0.000110766,1
adder_dcop_10,2,0.00144966,1
adder_dcop_10,3,0.000994193,1
adder_dcop_10,4,0.00016212,1
adder_dcop_10,5,0.000161598,1
adder_dcop_11,0,0.000136407,1
adder_dcop_11,1,0.00011038,1
adder_dcop_11,2,0.00145158,1
adder_dcop_11,3,0.00100085,1
adder_dcop_11,4,0.000163926,1
adder_dcop_11,5,0.00016073,1
adder_dcop_12,0,0.000137864,1
adder_dcop_12,1,0.000110274,1
adder_dcop_12,2,0.00145189,1
adder_dcop_12,3,0.00100122,1
adder_dcop_12,4,0.000164053,1
adder_dcop_12,5,0.000161219,1
adder_dcop_13,0,0.000136944,1
adder_dcop_13,1,0.000110331,1
adder_dcop_13,2,0.00145029,1
adder_dcop_13,3,0.000999918,1
adder_dcop_13,4,0.000163291,1
adder_dcop_13,5,0.000161516,1
adder_dcop_14,0,0.000137491,1
adder_dcop_14,1,0.000110038,1
adder_dcop_14,2,0.00144894,1
adder_dcop_14,3,0.00100076,1
adder_dcop_14,4,0.000163942,1
adder_dcop_14,5,0.000161547,1
adder_dcop_15,0,0.000138184,1
adder_dcop_15,1,0.000110553,1
adder_dcop_15,2,0.00145041,1
adder_dcop_15,3,0.000999624,1
adder_dcop_15,4,0.000164132,1
adder_dcop_15,5,0.000161591,1
adder_dcop_16,0,0.000137566,1
adder_dcop_16,1,0.000110323,1
adder_dcop_16,2,0.00145003,1
adder_dcop_16,3,0.000995681,1
adder_dcop_16,4,0.000163911,1
adder_dcop_16,5,0.000162,1
adder_dcop_17,0,0.000137694,1
adder_dcop_17,1,0.000109953,1
adder_dcop_17,2,0.00144984,1
adder_dcop_17,3,0.00100012,1
adder_dcop_17,4,0.000164258,1
adder_dcop_17,5,0.000161637,1
adder_dcop_18,0,0.00013812,1
adder_dcop_18,1,0.000110295,1
adder_dcop_18,2,0.0014509,1
adder_dcop_18,3,0.000993484,1
adder_dcop_18,4,0.000164289,1
adder_dcop_18,5,0.000161553,1
adder_dcop_19,0,0.000137029,1
adder_dcop_19,1,0.000110014,1
adder_dcop_19,2,0.00145036,1
adder_dcop_19,3,0.0010009,1
adder_dcop_19,4,0.000163898,1
adder_dcop_19,5,0.000161654,1
adder_dcop_20,0,0.000137552,1
adder_dcop_20,1,0.00011025,1
adder_dcop_20,2,0.00144993,1
adder_dcop_20,3,0.0010029,1
adder_dcop_20,4,0.000163844,1
adder_dcop_20,5,0.00016153,1
adder_dcop_21,0,0.000138,1
adder_dcop_21,1,0.000110286,1
adder_dcop_21,2,0.00145068,1
adder_dcop_21,3,0.000996451,1
adder_dcop_21,4,0.000164151,1
adder_dcop_21,5,0.000161527,1
adder_dcop_22,0,0.000137514,1
adder_dcop_22,1,0.000110672,1
adder_dcop_22,2,0.00145022,1
adder_dcop_22,3,0.000998954,1
adder_dcop_22,4,0.000164014,1
adder_dcop_22,5,0.000161822,1
adder_dcop_23,0,0.000137941,1
adder_dcop_23,1,0.000110454,1
adder_dcop_23,2,0.00145288,1
adder_dcop_23,3,0.000994429,1
adder_dcop_23,4,0.000163845,1
adder_dcop_23,5,0.000161432,1
adder_dcop_24,0,0.0001377,1
adder_dcop_24,1,0.000109928,1
adder_dcop_24,2,0.00145091,1
adder_dcop_24,3,0.000995854,1
adder_dcop_24,4,0.000164034,1
adder_dcop_24,5,0.000161277,1
adder_dcop_25,0,0.000137457,1
adder_dcop_25,1,0.000110408,1
adder_dcop_25,2,0.00145009,1
adder_dcop_25,3,0.000998499,1
adder_dcop_25,4,0.000164046,1
adder_dcop_25,5,0.00016151,1
