matrix,Format,Timings,OptimumFormat
1138_bus,0,0.000164143,1
1138_bus,1,8.13013e-05,1
1138_bus,2,0.000154177,1
1138_bus,3,0.000164573,1
1138_bus,4,0.000245875,1
1138_bus,5,0.000162253,1
144,0,0.000738333,1
144,1,0.000609333,1
144,2,inf,1
144,3,0.000940624,1
144,4,0.000993353,1
144,5,0.000727072,1
2D_27628_bjtcai,0,0.000238425,1
2D_27628_bjtcai,1,0.000117503,1
2D_27628_bjtcai,2,0.00667387,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000349288,1
2D_27628_bjtcai,5,0.000194316,1
2D_54019_highK,0,0.000329751,1
2D_54019_highK,1,0.000153818,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00473146,1
2D_54019_highK,4,0.0004707,1
2D_54019_highK,5,0.00027545,1
333SP,0,0.00927929,1
333SP,1,0.00696324,1
333SP,2,inf,1
333SP,3,0.0198514,1
333SP,4,0.021275,1
333SP,5,0.00809708,1
3D_28984_Tetra,0,0.000272818,1
3D_28984_Tetra,1,0.000137871,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000379405,1
3D_28984_Tetra,5,0.000285362,1
3D_51448_3D,0,0.000348446,1
3D_51448_3D,1,0.000167656,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000474017,1
3D_51448_3D,5,0.000330687,1
3dtube,0,0.00083012,1
3dtube,1,0.000340668,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0011429,1
3dtube,5,0.000769043,1
3elt,0,0.00016802,1
3elt,1,8.31119e-05,1
3elt,2,0.000742575,1
3elt,3,0.000173813,1
3elt,4,0.000254829,1
3elt,5,0.00016486,1
3elt_dual,0,0.000167962,1
3elt_dual,1,8.39204e-05,1
3elt_dual,2,0.00121012,1
3elt_dual,3,0.000180646,1
3elt_dual,4,0.000263707,1
3elt_dual,5,0.00016665,1
494_bus,0,0.000163421,1
494_bus,1,8.06928e-05,1
494_bus,2,0.000101975,1
494_bus,3,0.000162569,1
494_bus,4,0.000243119,1
494_bus,5,0.000161199,1
598a,0,0.000589912,1
598a,1,0.000508879,1
598a,2,inf,1
598a,3,0.00076805,1
598a,4,0.000811055,1
598a,5,0.000594898,1
662_bus,0,0.00016358,1
662_bus,1,8.0939e-05,1
662_bus,2,0.000114359,1
662_bus,3,0.000163412,1
