matrix,Format,Timings,OptimumFormat
1138_bus,0,1.30744e-05,1
1138_bus,1,1.05446e-05,1
1138_bus,2,0.00193161,1
1138_bus,3,7.14072e-05,1
1138_bus,4,6.38041e-05,1
1138_bus,5,1.79147e-05,1
144,0,0.0116636,1
144,1,0.00728038,1
144,2,inf,1
144,3,0.0203356,1
144,4,0.0190968,1
144,5,0.0082639,1
2D_27628_bjtcai,0,0.00194646,5
2D_27628_bjtcai,1,0.000901165,5
2D_27628_bjtcai,2,0.179043,5
2D_27628_bjtcai,3,inf,5
2D_27628_bjtcai,4,0.00381183,5
2D_27628_bjtcai,5,0.00077459,5
2D_54019_highK,0,0.00457907,1
2D_54019_highK,1,0.00220543,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.129054,1
2D_54019_highK,4,0.00659758,1
2D_54019_highK,5,0.00326975,1
333SP,0,0.176422,1
333SP,1,0.148266,1
333SP,2,inf,1
333SP,3,0.447738,1
333SP,4,0.47957,1
333SP,5,0.182168,1
3D_28984_Tetra,0,0.00280548,1
3D_28984_Tetra,1,0.0012643,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.00387909,1
3D_28984_Tetra,5,0.00314553,1
3D_51448_3D,0,0.0050099,1
3D_51448_3D,1,0.00236962,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.00776125,1
3D_51448_3D,5,0.00505373,1
3dtube,0,0.021079,1
3dtube,1,0.00918602,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0305817,1
3dtube,5,0.016059,1
3elt,0,9.67556e-05,1
3elt,1,6.87836e-05,1
3elt,2,0.0203771,1
3elt,3,0.000315983,1
3elt,4,0.000299701,1
3elt,5,7.71037e-05,1
3elt_dual,0,8.79694e-05,1
3elt_dual,1,7.61766e-05,1
3elt_dual,2,0.0324511,1
3elt_dual,3,0.000465974,1
3elt_dual,4,0.000457755,1
3elt_dual,5,0.000137161,1
494_bus,0,5.19605e-06,1
494_bus,1,4.42757e-06,1
494_bus,2,0.000599987,1
494_bus,3,3.00971e-05,1
494_bus,4,2.64727e-05,1
494_bus,5,4.92712e-06,1
598a,0,0.00856956,1
598a,1,0.00569345,1
598a,2,inf,1
598a,3,0.0163805,1
598a,4,0.0160443,1
598a,5,0.00595561,1
662_bus,0,7.83603e-06,1
662_bus,1,6.23272e-06,1
662_bus,2,0.00085144,1
662_bus,3,4.2087e-05,1
662_bus,4,3.73401e-05,1
662_bus,5,7.18961e-06,1
685_bus,0,1.07384e-05,1
685_bus,1,8.14384e-06,1
685_bus,2,0.000696678,1
685_bus,3,4.59331e-05,1
685_bus,4,4.24948e-05,1
685_bus,5,1.19941e-05,1
a0nsdsil,0,0.00131735,1
a0nsdsil,1,0.000931633,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.00569611,1
a0nsdsil,5,0.00151599,1
a2nnsnsl,0,0.00128698,1
a2nnsnsl,1,0.000943197,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.00537134,1
a2nnsnsl,5,0.00152711,1
a5esindl,0,0.000930167,1
a5esindl,1,0.00072667,1
a5esindl,2,inf,1
a5esindl,3,inf,1
a5esindl,4,0.00431502,1
a5esindl,5,0.00111481,1
ABACUS_shell_ud,0,0.000854643,1
ABACUS_shell_ud,1,0.000465578,1
ABACUS_shell_ud,2,0.0478222,1
ABACUS_shell_ud,3,0.00197437,1
ABACUS_shell_ud,4,0.00204542,1
ABACUS_shell_ud,5,0.000529262,1
ACTIVSg10K,0,0.000540483,1
ACTIVSg10K,1,0.000416661,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.00286611,1
ACTIVSg10K,4,0.00153416,1
ACTIVSg10K,5,0.000584728,1
ACTIVSg2000,0,0.000115716,1
ACTIVSg2000,1,7.4147e-05,1
ACTIVSg2000,2,0.0290184,1
ACTIVSg2000,3,0.00496926,1
ACTIVSg2000,4,0.000310225,1
ACTIVSg2000,5,9.30707e-05,1
ACTIVSg70K,0,0.000842546,0
ACTIVSg70K,1,0.000991179,0
ACTIVSg70K,2,inf,0
ACTIVSg70K,3,0.0051925,0
ACTIVSg70K,4,0.00463017,0
ACTIVSg70K,5,0.00151081,0
adaptive,0,0.204616,0
adaptive,1,0.221711,0
adaptive,2,inf,0
adaptive,3,0.61323,0
adaptive,4,0.593124,0
adaptive,5,0.211538,0
add20,0,8.05362e-05,1
add20,1,4.50237e-05,1
add20,2,0.0173488,1
add20,3,0.014373,1
add20,4,0.000188827,1
add20,5,4.55943e-05,1
add32,0,8.86792e-05,1
add32,1,6.34522e-05,1
add32,2,0.0455076,1
add32,3,0.0306673,1
add32,4,0.000318929,1
add32,5,8.32289e-05,1
adder_dcop_01,0,4.4893e-05,1
adder_dcop_01,1,2.61628e-05,1
adder_dcop_01,2,0.0141233,1
adder_dcop_01,3,0.00322029,1
adder_dcop_01,4,0.000133669,1
adder_dcop_01,5,3.42537e-05,1
adder_dcop_02,0,4.3543e-05,1
adder_dcop_02,1,2.56727e-05,1
adder_dcop_02,2,0.0141385,1
adder_dcop_02,3,0.00321952,1
adder_dcop_02,4,0.000134483,1
adder_dcop_02,5,3.31061e-05,1
adder_dcop_03,0,4.43021e-05,1
adder_dcop_03,1,2.6122e-05,1
adder_dcop_03,2,0.0141394,1
adder_dcop_03,3,0.00322819,1
adder_dcop_03,4,0.000134441,1
adder_dcop_03,5,3.32452e-05,1
adder_dcop_04,0,4.3325e-05,1
adder_dcop_04,1,2.54232e-05,1
adder_dcop_04,2,0.0142603,1
adder_dcop_04,3,0.00341852,1
adder_dcop_04,4,0.000133893,1
adder_dcop_04,5,3.39257e-05,1
adder_dcop_05,0,4.45713e-05,1
adder_dcop_05,1,2.54883e-05,1
adder_dcop_05,2,0.0143247,1
adder_dcop_05,3,0.00324531,1
adder_dcop_05,4,0.000134921,1
adder_dcop_05,5,3.31614e-05,1
adder_dcop_06,0,4.44608e-05,1
adder_dcop_06,1,2.62082e-05,1
adder_dcop_06,2,0.0143316,1
adder_dcop_06,3,0.00322691,1
adder_dcop_06,4,0.000135701,1
adder_dcop_06,5,3.36875e-05,1
adder_dcop_07,0,4.49346e-05,1
adder_dcop_07,1,2.60129e-05,1
adder_dcop_07,2,0.0143698,1
adder_dcop_07,3,0.00323519,1
adder_dcop_07,4,0.000134282,1
adder_dcop_07,5,3.3553e-05,1
adder_dcop_08,0,4.44127e-05,1
adder_dcop_08,1,2.64877e-05,1
adder_dcop_08,2,0.0143548,1
adder_dcop_08,3,0.00323323,1
adder_dcop_08,4,0.000134185,1
adder_dcop_08,5,3.36255e-05,1
adder_dcop_09,0,4.4464e-05,1
adder_dcop_09,1,2.61837e-05,1
adder_dcop_09,2,0.0143648,1
adder_dcop_09,3,0.00323084,1
adder_dcop_09,4,0.000133151,1
adder_dcop_09,5,3.37232e-05,1
adder_dcop_10,0,4.51181e-05,1
adder_dcop_10,1,2.74311e-05,1
adder_dcop_10,2,0.0143582,1
adder_dcop_10,3,0.00322388,1
adder_dcop_10,4,0.000133587,1
adder_dcop_10,5,3.48438e-05,1
adder_dcop_11,0,4.4032e-05,1
adder_dcop_11,1,2.56607e-05,1
adder_dcop_11,2,0.0143769,1
adder_dcop_11,3,0.00322698,1
adder_dcop_11,4,0.000133012,1
adder_dcop_11,5,3.3615e-05,1
adder_dcop_12,0,4.60087e-05,1
adder_dcop_12,1,2.79584e-05,1
adder_dcop_12,2,0.0143653,1
adder_dcop_12,3,0.00322991,1
adder_dcop_12,4,0.000133985,1
adder_dcop_12,5,3.46334e-05,1
adder_dcop_13,0,4.50373e-05,1
adder_dcop_13,1,2.69127e-05,1
adder_dcop_13,2,0.0143578,1
adder_dcop_13,3,0.00323397,1
adder_dcop_13,4,0.000134863,1
adder_dcop_13,5,3.40384e-05,1
adder_dcop_14,0,4.52462e-05,1
adder_dcop_14,1,2.62071e-05,1
adder_dcop_14,2,0.0143446,1
adder_dcop_14,3,0.00322795,1
adder_dcop_14,4,0.000133876,1
adder_dcop_14,5,3.42997e-05,1
adder_dcop_15,0,4.53717e-05,1
adder_dcop_15,1,2.57845e-05,1
adder_dcop_15,2,0.0143582,1
adder_dcop_15,3,0.00323009,1
adder_dcop_15,4,0.000134369,1
adder_dcop_15,5,3.39102e-05,1
adder_dcop_16,0,4.47356e-05,1
adder_dcop_16,1,2.64871e-05,1
adder_dcop_16,2,0.0143485,1
adder_dcop_16,3,0.00324267,1
adder_dcop_16,4,0.000133467,1
adder_dcop_16,5,3.3646e-05,1
adder_dcop_17,0,4.55177e-05,1
adder_dcop_17,1,2.77205e-05,1
adder_dcop_17,2,0.014367,1
adder_dcop_17,3,0.0032566,1
adder_dcop_17,4,0.000134325,1
adder_dcop_17,5,3.4558e-05,1
adder_dcop_18,0,4.40526e-05,1
adder_dcop_18,1,2.65514e-05,1
adder_dcop_18,2,0.0143648,1
adder_dcop_18,3,0.00327293,1
adder_dcop_18,4,0.000133239,1
adder_dcop_18,5,3.45592e-05,1
adder_dcop_19,0,4.41608e-05,1
adder_dcop_19,1,2.66863e-05,1
adder_dcop_19,2,0.0143575,1
adder_dcop_19,3,0.00326202,1
adder_dcop_19,4,0.000134163,1
adder_dcop_19,5,3.48657e-05,1
adder_dcop_20,0,4.37546e-05,1
adder_dcop_20,1,2.60774e-05,1
adder_dcop_20,2,0.0143708,1
adder_dcop_20,3,0.00326129,1
adder_dcop_20,4,0.000133229,1
adder_dcop_20,5,3.37842e-05,1
adder_dcop_21,0,4.42163e-05,1
adder_dcop_21,1,2.653e-05,1
adder_dcop_21,2,0.0143717,1
adder_dcop_21,3,0.00324865,1
adder_dcop_21,4,0.000134305,1
